Rk,Tm,G,Att,Yds,TD,Lng,Y/A,Y/G,Fmb,EXP
1,Minnesota Vikings,16,428,2129,14,72,5,133.1,26,26.85
2,St. Louis Rams,16,383,1843,26,49,4.8,115.2,24,24.3
3,Denver Broncos,16,516,2311,21,80,4.5,144.4,26,0.9
4,Philadelphia Eagles,16,397,1882,13,85,4.7,117.6,22,-0.92
5,Pittsburgh Steelers,16,527,2248,19,45,4.3,140.5,24,-1.37
6,Indianapolis Colts,16,435,1859,14,30,4.3,116.2,20,-8.73
7,San Francisco 49ers,16,416,1801,15,42,4.3,112.6,22,-10.85
8,Cincinnati Bengals,16,495,2314,13,80,4.7,144.6,37,-13.04
9,Oakland Raiders,16,520,2470,23,80,4.8,154.4,18,-14.12
10,Green Bay Packers,16,404,1643,13,39,4.1,102.7,30,-15.85
11,Seattle Seahawks,16,403,1720,10,55,4.3,107.5,35,-22.88
12,Dallas Cowboys,16,463,1953,15,52,4.2,122.1,31,-23.66
13,New Orleans Saints,16,505,2068,14,40,4.1,129.3,26,-25.75
14,Chicago Bears,16,417,1736,6,52,4.2,108.5,27,-26.84
15,Jacksonville Jaguars,16,481,2032,18,71,4.2,127,27,-31.24
16,Tampa Bay Buccaneers,16,490,2066,18,70,4.2,129.1,16,-36.14
17,Buffalo Bills,16,475,1922,11,59,4,120.1,28,-38.22
18,Carolina Panthers,16,363,1186,7,43,3.3,74.1,25,-46.59
19,Baltimore Ravens,16,511,2199,9,45,4.3,137.4,26,-48.51
20,Kansas City Chiefs,16,383,1465,12,69,3.8,91.6,23,-50.25
21,Detroit Lions,16,448,1747,15,38,3.9,109.2,21,-53.69
22,Miami Dolphins,16,496,1894,16,68,3.8,118.4,12,-58.63
23,Washington Redskins,16,445,1748,14,50,3.9,109.3,22,-63.83
24,New York Jets,16,418,1471,11,55,3.5,91.9,18,-66.9
25,Arizona Cardinals,16,343,1278,6,29,3.7,79.9,32,-68.06
26,Cleveland Browns,16,336,1085,7,42,3.2,67.8,21,-69.18
27,Atlanta Falcons,16,350,1214,6,42,3.5,75.9,27,-72.04
28,Tennessee Titans,16,547,2084,14,35,3.8,130.3,24,-72.61
29,New York Giants,16,507,2009,16,78,4,125.6,25,-73.75
30,New England Patriots,16,424,1390,9,35,3.3,86.9,23,-79.06
31,San Diego Chargers,16,351,1062,7,26,3,66.4,38,-104.85
,Avg Team,,441.2,1800.9,13.3,53,4.1,112.6,25,-37
,League Total,,13677,55829,412,85,4.1,112.6,776,
,Avg Tm/G,,27.6,112.6,0.8,,4.1,112.6,1.6,
