Rk,Tm,G,Att,Yds,TD,Lng,Y/A,Y/G,Fmb
1,Pittsburgh Steelers,16,546,2180,15,29,4.0,136.3,18
2,Seattle Seahawks,16,480,2084,16,41,4.3,130.3,31
3,Detroit Lions,16,406,2080,12,85,5.1,130.0,26
4,Indianapolis Colts,16,495,2060,15,52,4.2,128.8,30
5,Dallas Cowboys,16,550,1953,26,46,3.6,122.1,22
6,San Francisco 49ers,16,491,1897,23,28,3.9,118.6,25
7,San Diego Chargers,16,482,1852,13,36,3.8,115.8,19
8,Buffalo Bills,16,483,1831,14,60,3.8,114.4,30
9,Philadelphia Eagles,16,432,1761,14,91,4.1,110.1,23
10,New York Giants,16,525,1754,12,27,3.3,109.6,28
11,Kansas City Chiefs,16,464,1732,12,36,3.7,108.3,21
12,Houston Oilers,16,417,1682,10,33,4.0,105.1,42
13,Miami Dolphins,16,433,1658,13,47,3.8,103.6,28
14,Cleveland Browns,16,449,1657,12,39,3.7,103.6,26
15,Chicago Bears,16,487,1588,10,25,3.3,99.3,21
16,New York Jets,16,416,1566,8,90,3.8,97.9,28
17,Arizona Cardinals,16,480,1560,12,36,3.3,97.5,25
18,Cincinnati Bengals,16,404,1556,5,37,3.9,97.3,31
19,Green Bay Packers,16,417,1543,11,43,3.7,96.4,25
20,Minnesota Vikings,16,419,1524,11,45,3.6,95.3,32
21,Los Angeles Raiders,16,428,1512,7,28,3.5,94.5,22
22,Tampa Bay Buccaneers,16,430,1489,8,27,3.5,93.1,18
23,Denver Broncos,16,431,1470,19,24,3.4,91.9,27
24,Washington Redskins,16,407,1415,5,49,3.5,88.4,21
25,Los Angeles Rams,16,397,1389,6,44,3.5,86.8,26
26,New Orleans Saints,16,373,1336,11,40,3.6,83.5,22
27,New England Patriots,16,478,1332,12,26,2.8,83.3,28
28,Atlanta Falcons,16,330,1249,8,25,3.8,78.1,28
,Avg Team,,448.2,1668.2,12.1,42,3.7,104.3,25.8
,League Total,,12550,46710,340,91,3.7,104.3,723
,Avg Tm/G,,28.0,104.3,0.8,,3.7,104.3,1.6
