Rk,Tm,G,Att,Yds,TD,Lng,Y/A,Y/G,Fmb
1,Chicago Bears,16,583,2727,14,49,4.7,170.4,25
2,Baltimore Colts,16,601,2695,10,56,4.5,168.4,32
3,Washington Redskins,16,629,2625,30,48,4.2,164.1,13
4,Pittsburgh Steelers,16,614,2610,17,50,4.3,163.1,42
5,New England Patriots,16,538,2605,19,77,4.8,162.8,47
6,New Orleans Saints,16,595,2461,19,76,4.1,153.8,37
7,St. Louis Cardinals,16,525,2277,15,46,4.3,142.3,50
8,San Francisco 49ers,16,511,2257,17,71,4.4,141.1,27
9,Los Angeles Rams,16,511,2253,20,85,4.4,140.8,38
10,Los Angeles Raiders,16,542,2240,18,32,4.1,140.0,46
11,Atlanta Falcons,16,492,2224,17,40,4.5,139.0,36
12,Detroit Lions,16,513,2181,18,41,4.3,136.3,41
13,Miami Dolphins,16,568,2150,16,44,3.8,134.4,30
14,Seattle Seahawks,16,546,2119,19,60,3.9,132.4,36
15,Dallas Cowboys,16,519,2117,21,77,4.1,132.3,30
16,Cincinnati Bengals,16,542,2104,24,29,3.9,131.5,35
17,New York Jets,16,474,2068,11,78,4.4,129.3,29
18,Houston Oilers,16,502,1998,16,80,4.0,124.9,26
19,Cleveland Browns,16,465,1922,13,29,4.1,120.1,21
20,Minnesota Vikings,16,470,1808,17,56,3.8,113.0,33
21,Green Bay Packers,16,439,1807,15,71,4.1,112.9,37
22,New York Giants,16,506,1794,9,37,3.5,112.1,39
23,Denver Broncos,16,471,1784,15,52,3.8,111.5,34
24,Buffalo Bills,16,415,1736,4,45,4.2,108.5,24
25,San Diego Chargers,16,423,1536,16,61,3.6,96.0,42
26,Philadelphia Eagles,16,402,1417,5,35,3.5,88.6,37
27,Tampa Bay Buccaneers,16,428,1353,9,75,3.2,84.6,39
28,Kansas City Chiefs,16,387,1254,13,49,3.2,78.4,31
,Avg Team,,507.5,2075.8,15.6,55,4.1,129.7,34.2
,League Total,,14211,58122,437,85,4.1,129.7,957
,Avg Tm/G,,31.7,129.7,1.0,,4.1,129.7,2.1
