Rk,Tm,G,Att,Yds,TD,Lng,Y/A,Y/G,Fmb,EXP
1,Minnesota Vikings,16,423,2081,23,78,4.9,130.1,23,25.14
2,Philadelphia Eagles,16,500,2566,19,65,5.1,160.4,19,22.32
3,Carolina Panthers,16,483,2026,14,56,4.2,126.6,12,17.76
4,Green Bay Packers,16,459,2136,17,67,4.7,133.5,19,16.22
5,Dallas Cowboys,16,336,1504,12,45,4.5,94,18,10.56
6,Indianapolis Colts,16,409,1743,15,51,4.3,108.9,14,5.06
7,Chicago Bears,16,404,1828,13,55,4.5,114.3,21,-1.51
8,Washington Redskins,16,453,2164,14,45,4.8,135.3,30,-8.25
9,Cleveland Browns,16,348,1383,4,45,4,86.4,17,-9.49
10,Kansas City Chiefs,16,442,2056,17,46,4.7,128.5,21,-9.9
11,San Diego Chargers,16,486,1965,9,51,4,122.8,14,-10.93
12,Oakland Raiders,16,437,2000,16,93,4.6,125,27,-11.83
13,Tennessee Titans,16,462,1894,16,39,4.1,118.4,27,-12.25
14,Houston Texans,16,414,1743,7,60,4.2,108.9,21,-17.63
15,Denver Broncos,16,461,1873,16,45,4.1,117.1,27,-18.03
16,San Francisco 49ers,16,505,2201,18,51,4.4,137.6,20,-18.1
17,New England Patriots,16,470,2065,19,47,4.4,129.1,24,-19.61
18,Buffalo Bills,16,546,2307,15,77,4.2,144.2,32,-21.26
19,New Orleans Saints,16,391,1473,10,38,3.8,92.1,12,-22.06
20,New York Jets,16,493,2158,12,69,4.4,134.9,15,-23.34
21,Atlanta Falcons,16,321,1247,11,50,3.9,77.9,17,-27.53
22,Miami Dolphins,16,349,1440,8,55,4.1,90,16,-36.94
23,Cincinnati Bengals,16,481,1755,14,35,3.6,109.7,20,-43.09
24,Seattle Seahawks,16,509,2188,14,43,4.3,136.8,26,-43.64
25,Detroit Lions,16,445,1792,15,39,4,112,28,-43.92
26,St. Louis Rams,16,426,1752,10,65,4.1,109.5,20,-48.54
27,Arizona Cardinals,16,422,1540,12,80,3.6,96.3,22,-50
28,Tampa Bay Buccaneers,16,420,1612,6,80,3.8,100.8,18,-52.12
29,Pittsburgh Steelers,16,394,1383,9,43,3.5,86.4,16,-55.82
30,Jacksonville Jaguars,16,378,1260,7,48,3.3,78.8,18,-60.08
31,Baltimore Ravens,16,423,1328,7,47,3.1,83,15,-83.22
32,New York Giants,16,381,1332,11,49,3.5,83.3,26,-85.03
,Avg Team,,433.5,1806.1,12.8,55,4.2,112.9,20.5,-23
,League Total,,13871,57795,410,93,4.2,112.9,655,
,Avg Tm/G,,27.1,112.9,0.8,,4.2,112.9,1.3,
