Rk,Tm,G,Att,Yds,TD,Lng,Y/A,Y/G,Fmb
1,San Francisco 49ers,15,524,2237,11,35,4.3,149.1,25
2,Los Angeles Raiders,15,475,2197,13,91,4.6,146.5,24
3,New Orleans Saints,15,569,2190,20,38,3.8,146.0,33
4,Cincinnati Bengals,15,538,2164,13,52,4.0,144.3,29
5,Pittsburgh Steelers,15,517,2144,11,51,4.1,142.9,37
6,Indianapolis Colts,15,497,2143,14,53,4.3,142.9,36
7,Washington Redskins,15,500,2102,18,31,4.2,140.1,26
8,Los Angeles Rams,15,512,2097,15,58,4.1,139.8,26
9,Philadelphia Eagles,15,509,2027,12,45,4.0,135.1,44
10,Seattle Seahawks,15,496,2023,13,57,4.1,134.9,31
11,Minnesota Vikings,15,482,1983,20,72,4.1,132.2,28
12,Denver Broncos,15,510,1970,18,29,3.9,131.3,29
13,Chicago Bears,15,485,1954,13,38,4.0,130.3,33
14,Houston Oilers,15,486,1923,12,41,4.0,128.2,32
15,St. Louis Cardinals,15,462,1873,15,42,4.1,124.9,23
16,Dallas Cowboys,15,465,1865,17,62,4.0,124.3,30
17,Buffalo Bills,15,465,1840,9,30,4.0,122.7,41
18,Green Bay Packers,15,464,1801,13,61,3.9,120.1,35
19,Kansas City Chiefs,15,419,1799,7,64,4.3,119.9,41
20,New England Patriots,15,513,1771,12,49,3.5,118.1,36
21,Cleveland Browns,15,474,1745,16,35,3.7,116.3,33
22,New York Jets,15,458,1671,17,30,3.6,111.4,33
23,Miami Dolphins,15,408,1662,16,51,4.1,110.8,37
24,New York Giants,15,440,1457,4,34,3.3,97.1,38
25,Detroit Lions,15,398,1435,9,33,3.6,95.7,29
26,Tampa Bay Buccaneers,15,394,1365,7,46,3.5,91.0,35
27,San Diego Chargers,15,396,1308,11,25,3.3,87.2,38
28,Atlanta Falcons,15,333,1298,5,44,3.9,86.5,27
,Avg Team,,471.0,1858.7,12.9,46,3.9,123.9,32.5
,League Total,,13189,52044,361,91,3.9,123.9,909
,Avg Tm/G,,31.4,123.9,0.9,,3.9,123.9,2.2
