Rk,Tm,G,Att,Yds,TD,Lng,Y/A,Y/G,Fmb
1,Philadelphia Eagles,16,540,2556,10,52,4.7,159.8,32
2,Chicago Bears,16,551,2436,22,52,4.4,152.3,29
3,San Diego Chargers,16,484,2257,14,52,4.7,141.1,24
4,New York Jets,16,476,2127,16,41,4.5,132.9,28
5,Cincinnati Bengals,16,484,2120,16,56,4.4,132.5,25
6,Washington Redskins,16,515,2083,16,26,4.0,130.2,14
7,Buffalo Bills,16,479,2080,20,80,4.3,130.0,17
8,New York Giants,16,541,2049,17,51,3.8,128.1,21
9,Los Angeles Raiders,16,496,2028,20,88,4.1,126.8,24
10,Kansas City Chiefs,16,504,1948,11,53,3.9,121.8,30
11,Detroit Lions,16,366,1927,19,45,5.3,120.4,29
12,Phoenix Cardinals,16,452,1912,13,41,4.2,119.5,25
13,Pittsburgh Steelers,16,456,1880,11,70,4.1,117.5,40
14,Denver Broncos,16,462,1872,19,37,4.1,117.0,30
15,Minnesota Vikings,16,455,1867,10,58,4.1,116.7,30
16,New Orleans Saints,16,464,1850,14,60,4.0,115.6,29
17,Seattle Seahawks,16,457,1749,18,36,3.8,109.3,32
18,San Francisco 49ers,16,454,1718,12,74,3.8,107.4,24
19,Tampa Bay Buccaneers,16,410,1626,7,48,4.0,101.6,38
20,Los Angeles Rams,16,422,1612,17,48,3.8,100.8,25
21,Atlanta Falcons,16,420,1594,11,67,3.8,99.6,40
22,Miami Dolphins,16,420,1535,13,33,3.7,95.9,33
23,Dallas Cowboys,16,393,1500,13,48,3.8,93.8,27
24,Houston Oilers,16,328,1417,10,31,4.3,88.6,34
25,New England Patriots,16,383,1398,4,29,3.7,87.4,33
26,Green Bay Packers,16,350,1369,5,37,3.9,85.6,37
27,Indianapolis Colts,16,335,1282,9,43,3.8,80.1,23
28,Cleveland Browns,16,345,1220,10,42,3.5,76.3,37
,Avg Team,,444.4,1821.9,13.5,50,4.1,113.9,28.9
,League Total,,12442,51012,377,88,4.1,113.9,810
,Avg Tm/G,,27.8,113.9,0.8,,4.1,113.9,1.8
