Rk,Tm,G,Att,Yds,TD,Lng,Y/A,Y/G,Fmb
1,Kansas City Chiefs,16,507,2222,14,76,4.4,138.9,17
2,Dallas Cowboys,16,495,2201,29,60,4.4,137.6,24
3,Seattle Seahawks,16,477,2178,20,86,4.6,136.1,24
4,Philadelphia Eagles,16,508,2121,19,57,4.2,132.6,31
5,Denver Broncos,16,440,1995,14,60,4.5,124.7,25
6,Buffalo Bills,16,521,1993,10,49,3.8,124.6,25
7,Washington Redskins,16,469,1956,15,58,4.2,122.3,24
8,Oakland Raiders,16,463,1932,10,60,4.2,120.8,25
9,Chicago Bears,16,492,1930,15,42,3.9,120.6,26
10,New England Patriots,16,474,1866,16,49,3.9,116.6,32
11,Indianapolis Colts,16,478,1855,14,42,3.9,115.9,21
12,Pittsburgh Steelers,16,494,1852,17,38,3.7,115.8,24
13,New York Giants,16,478,1833,17,36,3.8,114.6,27
14,Detroit Lions,16,387,1753,16,75,4.5,109.6,21
15,San Diego Chargers,16,479,1747,14,48,3.6,109.2,30
16,Minnesota Vikings,16,433,1733,10,66,4.0,108.3,29
17,Jacksonville Jaguars,16,410,1705,9,27,4.2,106.6,23
18,Houston Oilers,16,478,1664,12,74,3.5,104.0,36
19,Tampa Bay Buccaneers,16,398,1587,19,75,4.0,99.2,25
20,Carolina Panthers,16,454,1573,10,53,3.5,98.3,28
21,Miami Dolphins,16,413,1506,16,40,3.6,94.1,24
22,Cleveland Browns,16,398,1482,5,29,3.7,92.6,25
23,San Francisco 49ers,16,415,1479,19,29,3.6,92.4,21
24,Cincinnati Bengals,16,364,1439,7,30,4.0,89.9,23
25,St. Louis Rams,16,392,1431,5,41,3.7,89.4,27
26,Green Bay Packers,16,410,1428,9,40,3.5,89.3,22
27,Atlanta Falcons,16,337,1393,8,31,4.1,87.1,21
28,New Orleans Saints,16,383,1390,11,66,3.6,86.9,19
29,Arizona Cardinals,16,387,1363,3,38,3.5,85.2,41
30,New York Jets,16,365,1279,2,30,3.5,79.9,38
,Avg Team,,440.0,1729.5,12.8,50,3.9,108.1,25.9
,League Total,,13199,51886,385,86,3.9,108.1,778
,Avg Tm/G,,27.5,108.1,0.8,,3.9,108.1,1.6
