Rk,Tm,G,Att,Yds,TD,Lng,Y/A,Y/G,Fmb
1,Cincinnati Bengals,16,529,2483,17,65,4.7,155.2,29
2,Chicago Bears,16,516,2287,22,73,4.4,142.9,23
3,Buffalo Bills,16,532,2264,15,38,4.3,141.5,30
4,Kansas City Chiefs,16,559,2227,18,59,4.0,139.2,32
5,Philadelphia Eagles,16,540,2208,14,51,4.1,138.0,43
6,Denver Broncos,16,554,2092,15,40,3.8,130.8,26
7,Minnesota Vikings,16,514,2066,12,47,4.0,129.1,28
8,Detroit Lions,16,421,2053,23,34,4.9,128.3,37
9,Los Angeles Raiders,16,454,2038,9,92,4.5,127.4,28
10,San Francisco 49ers,16,493,1966,14,29,4.0,122.9,32
11,New Orleans Saints,16,502,1948,19,40,3.9,121.8,28
12,Houston Oilers,16,495,1928,16,60,3.9,120.5,39
13,Los Angeles Rams,16,472,1909,19,47,4.0,119.3,26
14,Washington Redskins,16,514,1904,14,58,3.7,119.0,32
15,New York Giants,16,556,1889,17,36,3.4,118.1,30
16,San Diego Chargers,16,432,1873,13,50,4.3,117.1,24
17,Indianapolis Colts,16,458,1853,11,26,4.0,115.8,33
18,Pittsburgh Steelers,16,500,1818,17,58,3.6,113.6,32
19,New England Patriots,16,485,1749,12,35,3.6,109.3,26
20,Green Bay Packers,16,397,1732,13,68,4.4,108.3,35
21,Cleveland Browns,16,448,1609,14,43,3.6,100.6,23
22,New York Jets,16,400,1596,11,39,4.0,99.8,32
23,Tampa Bay Buccaneers,16,412,1507,10,48,3.7,94.2,21
24,Dallas Cowboys,16,355,1409,7,63,4.0,88.1,29
25,Seattle Seahawks,16,405,1392,5,34,3.4,87.0,43
26,Phoenix Cardinals,16,407,1361,10,44,3.3,85.1,24
27,Miami Dolphins,16,400,1330,10,25,3.3,83.1,30
28,Atlanta Falcons,16,318,1155,11,22,3.6,72.2,26
,Avg Team,,466.7,1844.5,13.9,47,4.0,115.3,30.0
,League Total,,13068,51646,388,92,4.0,115.3,841
,Avg Tm/G,,29.2,115.3,0.9,,4.0,115.3,1.9
