Rk,Tm,G,Att,Yds,TD,Lng,Y/A,Y/G,Fmb
1,Chicago Bears,16,674,2974,22,72,4.4,185.9,31
2,Los Angeles Rams,16,541,2864,16,66,5.3,179.0,31
3,San Francisco 49ers,16,534,2465,21,47,4.6,154.1,26
4,Washington Redskins,16,588,2274,20,31,3.9,142.1,33
5,New York Jets,16,504,2189,17,64,4.3,136.8,26
6,Cincinnati Bengals,16,540,2179,18,33,4.0,136.2,32
7,Pittsburgh Steelers,16,574,2179,13,52,3.8,136.2,40
8,New Orleans Saints,16,523,2171,9,62,4.2,135.7,22
9,St. Louis Cardinals,16,488,2088,21,39,4.3,130.5,32
10,Denver Broncos,16,508,2076,12,52,4.1,129.8,36
11,New England Patriots,16,482,2032,15,73,4.2,127.0,29
12,Indianapolis Colts,16,510,2025,13,31,4.0,126.6,35
13,Green Bay Packers,16,461,2019,18,50,4.4,126.2,17
14,Detroit Lions,16,446,2017,13,81,4.5,126.1,36
15,Atlanta Falcons,16,489,1994,16,57,4.1,124.6,39
16,Miami Dolphins,16,484,1918,18,35,4.0,119.9,26
17,Los Angeles Raiders,16,516,1886,19,52,3.7,117.9,42
18,Minnesota Vikings,16,444,1844,10,39,4.2,115.3,39
19,Tampa Bay Buccaneers,16,483,1776,17,37,3.7,111.0,36
20,Dallas Cowboys,16,469,1714,12,31,3.7,107.1,35
21,Cleveland Browns,16,489,1696,10,54,3.5,106.0,31
22,New York Giants,16,493,1660,12,28,3.4,103.8,17
23,Houston Oilers,16,433,1656,13,51,3.8,103.5,36
24,San Diego Chargers,16,456,1654,18,32,3.6,103.4,35
25,Seattle Seahawks,16,495,1645,10,40,3.3,102.8,24
26,Buffalo Bills,16,398,1643,9,85,4.1,102.7,31
27,Kansas City Chiefs,16,408,1527,12,69,3.7,95.4,34
28,Philadelphia Eagles,16,381,1338,6,27,3.5,83.6,23
,Avg Team,,493.3,1982.3,14.6,50,4.0,123.9,31.2
,League Total,,13811,55503,410,85,4.0,123.9,874
,Avg Tm/G,,30.8,123.9,0.9,,4.0,123.9,2.0
