Rk,Tm,G,Att,Yds,TD,Lng,Y/A,Y/G,Fmb
1,Chicago Bears,16,610,2761,27,40,4.5,172.6,24
2,Washington Redskins,16,571,2523,20,66,4.4,157.7,27
3,Atlanta Falcons,16,560,2466,14,50,4.4,154.1,23
4,New York Giants,16,581,2451,24,65,4.2,153.2,36
5,Indianapolis Colts,16,485,2439,22,67,5.0,152.4,27
6,New England Patriots,16,565,2331,15,65,4.1,145.7,37
7,New York Jets,16,564,2312,18,69,4.1,144.5,35
8,Cleveland Browns,16,533,2285,16,61,4.3,142.8,40
9,Los Angeles Raiders,16,532,2262,18,61,4.3,141.4,27
10,San Francisco 49ers,16,477,2232,20,62,4.7,139.5,29
11,Green Bay Packers,16,470,2208,16,80,4.7,138.0,39
12,Cincinnati Bengals,16,503,2183,20,39,4.3,136.4,35
13,Pittsburgh Steelers,16,541,2177,14,56,4.0,136.1,31
14,Los Angeles Rams,16,503,2057,15,43,4.1,128.6,35
15,St. Louis Cardinals,16,417,1974,14,64,4.7,123.4,38
16,Denver Broncos,16,497,1851,20,42,3.7,115.7,24
17,Dallas Cowboys,16,462,1741,11,60,3.8,108.8,29
18,Miami Dolphins,16,444,1729,19,33,3.9,108.1,31
19,New Orleans Saints,16,431,1683,4,45,3.9,105.2,23
20,San Diego Chargers,16,440,1665,20,56,3.8,104.1,44
21,Seattle Seahawks,16,462,1644,9,38,3.6,102.8,34
22,Tampa Bay Buccaneers,16,434,1644,11,28,3.8,102.8,37
23,Philadelphia Eagles,16,428,1630,8,74,3.8,101.9,25
24,Buffalo Bills,16,412,1611,13,77,3.9,100.7,36
25,Houston Oilers,16,428,1570,13,43,3.7,98.1,41
26,Detroit Lions,16,452,1538,13,29,3.4,96.1,36
27,Minnesota Vikings,16,406,1516,19,37,3.7,94.8,27
28,Kansas City Chiefs,16,428,1486,10,54,3.5,92.9,22
,Avg Team,,487.0,1998.9,15.8,54,4.1,124.9,31.9
,League Total,,13636,55969,443,80,4.1,124.9,892
,Avg Tm/G,,30.4,124.9,1.0,,4.1,124.9,2.0
