Rk,Tm,G,Att,Yds,TD,Lng,Y/A,Y/G,Fmb,EXP
1,Minnesota Vikings,16,473,2507,26,85,5.3,156.7,40,68.92
2,Kansas City Chiefs,16,462,2378,26,56,5.1,148.6,7,67.78
3,San Francisco 49ers,16,489,2244,16,40,4.6,140.3,15,34.81
4,Oakland Raiders,16,414,1762,21,36,4.3,110.1,24,31.97
5,Denver Broncos,16,457,2266,21,59,5,141.6,21,31.07
6,San Diego Chargers,16,466,2137,19,76,4.6,133.6,16,12.19
7,Cincinnati Bengals,16,426,1730,13,67,4.1,108.1,26,4.59
8,Philadelphia Eagles,16,489,2220,15,57,4.5,138.8,28,0.74
9,Jacksonville Jaguars,16,455,2089,19,62,4.6,130.6,12,-1.76
10,Atlanta Falcons,16,523,2368,23,59,4.5,148,24,-7.28
11,Miami Dolphins,16,530,2502,24,63,4.7,156.4,28,-7.4
12,New Orleans Saints,16,426,1764,16,62,4.1,110.3,29,-9.3
13,Seattle Seahawks,16,430,1740,17,58,4,108.8,23,-10.86
14,New England Patriots,16,395,1508,9,45,3.8,94.3,24,-11.93
15,New York Jets,16,400,1618,12,61,4,101.1,16,-27.62
16,Arizona Cardinals,16,414,1823,10,58,4.4,113.9,26,-28.22
17,Tennessee Titans,16,511,1952,16,39,3.8,122,20,-28.4
18,Buffalo Bills,16,388,1596,17,34,4.1,99.8,29,-32.49
19,Washington Redskins,16,442,1889,10,33,4.3,118.1,34,-33.04
20,Detroit Lions,16,358,1477,9,40,4.1,92.3,14,-33.88
21,Baltimore Ravens,16,427,1792,9,75,4.2,112,34,-34.52
22,Indianapolis Colts,16,434,1561,12,49,3.6,97.6,26,-36.02
23,Pittsburgh Steelers,16,512,2120,15,42,4.1,132.5,26,-37.55
24,St. Louis Rams,16,343,1405,11,44,4.1,87.8,29,-37.63
25,Cleveland Browns,16,406,1615,10,64,4,100.9,18,-38.06
26,Green Bay Packers,16,451,1933,12,43,4.3,120.8,28,-40.32
27,Chicago Bears,16,382,1344,8,34,3.5,84,29,-57.59
28,Dallas Cowboys,16,423,1754,7,46,4.1,109.6,33,-65.69
29,Tampa Bay Buccaneers,16,414,1557,6,59,3.8,97.3,24,-74.56
30,New York Giants,16,486,1875,14,70,3.9,117.2,31,-83.01
31,Houston Texans,16,424,1347,6,37,3.2,84.2,34,-96.2
32,Carolina Panthers,16,452,1586,11,59,3.5,99.1,28,-101.45
,Avg Team,,440.7,1858.1,14.4,54,4.2,116.1,24.9,-21.3
,League Total,,14102,59459,460,85,4.2,116.1,796,
,Avg Tm/G,,27.5,116.1,0.9,,4.2,116.1,1.6,
