Rk,Tm,G,Att,Yds,TD,Lng,Y/A,Y/G,Fmb,EXP
1,Carolina Panthers,16,445,2408,26,74,5.4,150.5,13,66.46
2,Minnesota Vikings,16,448,2318,18,67,5.2,144.9,20,43.75
3,New Orleans Saints,16,431,2127,16,36,4.9,132.9,6,43.36
4,Philadelphia Eagles,16,450,2276,20,60,5.1,142.3,23,31.28
5,New England Patriots,16,438,1764,18,33,4,110.3,13,18.27
6,Buffalo Bills,16,391,1921,12,80,4.9,120.1,16,5.5
7,Arizona Cardinals,16,389,1625,12,71,4.2,101.6,24,-9.59
8,Detroit Lions,16,356,1523,9,88,4.3,95.2,20,-11.64
9,Houston Texans,16,546,2448,18,56,4.5,153,20,-13.04
10,San Diego Chargers,16,436,1864,16,41,4.3,116.5,19,-14.23
11,Oakland Raiders,16,466,2110,16,70,4.5,131.9,16,-16.75
12,Green Bay Packers,16,395,1558,12,47,3.9,97.4,15,-17.44
13,Pittsburgh Steelers,16,434,1903,13,76,4.4,118.9,16,-17.78
14,Denver Broncos,16,546,2632,11,60,4.8,164.5,30,-19.17
15,Washington Redskins,16,400,1614,8,39,4,100.9,25,-22.34
16,Chicago Bears,16,456,2015,10,46,4.4,125.9,26,-27.11
17,New York Jets,16,443,1692,14,31,3.8,105.8,25,-31.61
18,Cleveland Browns,16,415,1531,4,40,3.7,95.7,22,-31.94
19,Tampa Bay Buccaneers,16,346,1458,9,54,4.2,91.1,30,-31.99
20,Baltimore Ravens,16,459,1996,15,70,4.3,124.8,24,-32.7
21,Dallas Cowboys,16,408,1807,5,91,4.4,112.9,24,-33.68
22,San Francisco 49ers,16,498,2044,14,55,4.1,127.8,14,-36.86
23,Miami Dolphins,16,469,1987,11,76,4.2,124.2,28,-37.96
24,Atlanta Falcons,16,453,1834,14,81,4,114.6,12,-38.04
25,Seattle Seahawks,16,444,1756,15,48,4,109.8,22,-39.1
26,Cincinnati Bengals,16,455,1778,10,42,3.9,111.1,17,-39.47
27,Indianapolis Colts,16,382,1594,8,80,4.2,99.6,24,-41.92
28,Jacksonville Jaguars,16,489,1970,9,56,4,123.1,27,-46.04
29,St. Louis Rams,16,409,1667,7,47,4.1,104.2,27,-50.48
30,Tennessee Titans,16,376,1438,8,48,3.8,89.9,17,-51.37
31,Kansas City Chiefs,16,487,1893,5,34,3.9,118.3,17,-56.34
32,New York Giants,16,411,1427,17,37,3.5,89.2,18,-63.61
,Avg Team,,436.6,1874.3,12.5,57,4.3,117.1,20.3,-19.5
,League Total,,13971,59978,400,91,4.3,117.1,650,
,Avg Tm/G,,27.3,117.1,0.8,,4.3,117.1,1.3,
