Rk,Tm,G,Att,Yds,TD,Lng,Y/A,Y/G,Fmb
1,Chicago Bears,16,606,2700,21,75,4.5,168.8,36
2,Cincinnati Bengals,16,521,2533,24,61,4.9,158.3,31
3,Atlanta Falcons,16,578,2524,12,48,4.4,157.8,31
4,Los Angeles Rams,16,578,2457,16,42,4.3,153.6,39
5,Seattle Seahawks,16,513,2300,15,60,4.5,143.8,29
6,New York Giants,16,558,2245,18,54,4.0,140.3,31
7,Pittsburgh Steelers,16,564,2223,18,45,3.9,138.9,27
8,New Orleans Saints,16,505,2074,15,50,4.1,129.6,33
9,Philadelphia Eagles,16,499,2002,8,50,4.0,125.1,34
10,San Francisco 49ers,16,510,1986,16,29,3.9,124.1,32
11,Dallas Cowboys,16,447,1969,21,84,4.4,123.1,44
12,Tampa Bay Buccaneers,16,455,1863,12,59,4.1,116.4,36
13,Los Angeles Raiders,16,475,1790,6,28,3.8,111.9,36
14,St. Louis Cardinals,16,419,1787,8,44,4.3,111.7,25
15,Detroit Lions,16,470,1771,13,60,3.8,110.7,30
16,Minnesota Vikings,16,461,1738,14,60,3.8,108.6,31
17,Washington Redskins,16,474,1732,23,42,3.7,108.3,29
18,New York Jets,16,490,1729,16,41,3.5,108.1,37
19,Houston Oilers,16,490,1700,13,43,3.5,106.3,28
20,Denver Broncos,16,455,1678,17,42,3.7,104.9,24
21,Buffalo Bills,16,419,1654,9,42,3.9,103.4,40
22,Cleveland Browns,16,470,1650,20,47,3.5,103.1,31
23,Green Bay Packers,16,424,1614,8,50,3.8,100.9,35
24,San Diego Chargers,16,471,1576,19,24,3.3,98.5,29
25,Miami Dolphins,16,349,1545,9,54,4.4,96.6,37
26,Indianapolis Colts,16,407,1491,10,70,3.7,93.2,41
27,Kansas City Chiefs,16,432,1468,10,40,3.4,91.8,27
28,New England Patriots,16,469,1373,10,31,2.9,85.8,27
,Avg Team,,482.5,1899.0,14.3,49,3.9,118.7,32.5
,League Total,,13509,53172,401,84,3.9,118.7,910
,Avg Tm/G,,30.2,118.7,0.9,,3.9,118.7,2.0
