Rk,Tm,G,Att,Yds,TD,Lng,Y/A,Y/G,Fmb,EXP
1,Denver Broncos,16,542,2539,25,68,4.7,158.7,19,46.55
2,Seattle Seahawks,16,519,2457,29,88,4.7,153.6,18,45.16
3,San Diego Chargers,16,465,2072,22,83,4.5,129.5,22,28.3
4,Kansas City Chiefs,16,520,2382,26,49,4.6,148.9,23,24.12
5,Atlanta Falcons,16,531,2546,17,65,4.8,159.1,26,17.43
6,New York Giants,16,469,2209,17,95,4.7,138.1,17,-6.54
7,Cincinnati Bengals,16,459,1910,15,33,4.2,119.4,18,-10.64
8,Indianapolis Colts,16,465,1703,18,33,3.7,106.4,14,-13.61
9,Houston Texans,16,437,1816,9,44,4.2,113.5,30,-15.86
10,Detroit Lions,16,404,1471,10,77,3.6,91.9,21,-25.6
11,Oakland Raiders,16,361,1369,11,27,3.8,85.6,26,-28.65
12,Jacksonville Jaguars,16,502,1959,18,71,3.9,122.4,27,-32.89
13,Pittsburgh Steelers,16,549,2223,21,80,4,138.9,22,-34.41
14,Miami Dolphins,16,444,1898,11,65,4.3,118.6,31,-34.89
15,Tampa Bay Buccaneers,16,457,1826,13,71,4,114.1,16,-39.4
16,New England Patriots,16,439,1512,16,31,3.4,94.5,19,-39.61
17,St. Louis Rams,16,380,1535,13,51,4,95.9,24,-48.27
18,Philadelphia Eagles,16,365,1432,11,59,3.9,89.5,34,-48.79
19,Buffalo Bills,16,428,1607,6,39,3.8,100.4,26,-51.38
20,New Orleans Saints,16,423,1688,8,42,4,105.5,23,-51.55
21,Chicago Bears,16,488,2099,11,42,4.3,131.2,32,-54.15
22,Washington Redskins,16,525,2183,15,52,4.2,136.4,29,-54.51
23,Green Bay Packers,16,398,1352,11,64,3.4,84.5,31,-55.2
24,Tennessee Titans,16,397,1525,8,38,3.8,95.3,27,-58.54
25,New York Jets,16,384,1328,10,49,3.5,83,36,-58.54
26,Cleveland Browns,16,395,1503,4,75,3.8,93.9,27,-62.56
27,Minnesota Vikings,16,381,1467,10,61,3.9,91.7,25,-63.2
28,San Francisco 49ers,16,428,1689,9,73,3.9,105.6,31,-63.62
29,Baltimore Ravens,16,452,1605,5,52,3.6,100.3,28,-64.05
30,Carolina Panthers,16,487,1679,17,70,3.4,104.9,23,-68.73
31,Dallas Cowboys,16,521,1861,13,51,3.6,116.3,36,-68.91
32,Arizona Cardinals,16,360,1138,2,32,3.2,71.1,26,-100.73
,Avg Team,,449.2,1799.5,13.5,57,4,112.5,25.2,-34.2
,League Total,,14375,57583,431,95,4,112.5,807,
,Avg Tm/G,,28.1,112.5,0.8,,4,112.5,1.6,
