Rk,Tm,G,Att,Yds,TD,Lng,Y/A,Y/G,Fmb
1,Detroit Lions,16,596,2795,26,51,4.7,174.7,41
2,Dallas Cowboys,16,630,2711,15,75,4.3,169.4,45
3,Kansas City Chiefs,16,610,2633,22,82,4.3,164.6,36
4,Philadelphia Eagles,16,559,2509,17,41,4.5,156.8,33
5,Pittsburgh Steelers,16,554,2372,21,50,4.3,148.3,39
6,New York Jets,16,571,2341,11,43,4.1,146.3,38
7,New Orleans Saints,16,546,2286,16,79,4.2,142.9,40
8,Los Angeles Rams,16,559,2236,17,69,4.0,139.8,34
9,St. Louis Cardinals,16,519,2213,20,44,4.3,138.3,33
10,Miami Dolphins,16,535,2173,18,46,4.1,135.8,26
11,Chicago Bears,16,608,2171,13,39,3.6,135.7,37
12,Washington Redskins,16,532,2157,19,32,4.1,134.8,32
13,Buffalo Bills,16,524,2125,13,35,4.1,132.8,33
14,Oakland Raiders,16,493,2058,11,60,4.2,128.6,42
15,New England Patriots,16,499,2040,23,43,4.1,127.5,32
16,San Diego Chargers,16,481,2005,26,73,4.2,125.3,39
17,Cincinnati Bengals,16,493,1973,19,39,4.0,123.3,25
18,Atlanta Falcons,16,495,1965,15,35,4.0,122.8,31
19,San Francisco 49ers,16,560,1941,17,28,3.5,121.3,26
20,Cleveland Browns,16,474,1929,11,26,4.1,120.6,38
21,Denver Broncos,16,515,1895,12,37,3.7,118.4,26
22,Baltimore Colts,16,441,1850,11,67,4.2,115.6,27
23,Houston Oilers,16,466,1734,11,43,3.7,108.4,33
24,Tampa Bay Buccaneers,16,458,1731,13,59,3.8,108.2,27
25,New York Giants,16,481,1685,11,35,3.5,105.3,38
26,Green Bay Packers,16,478,1670,11,34,3.5,104.4,31
27,Seattle Seahawks,16,440,1594,14,43,3.6,99.6,41
28,Minnesota Vikings,16,391,1512,8,38,3.9,94.5,39
,Avg Team,,518.1,2082.3,15.8,48,4.0,130.1,34.4
,League Total,,14508,58304,441,82,4.0,130.1,962
,Avg Tm/G,,32.4,130.1,1.0,,4.0,130.1,2.1
