Rk,Tm,G,Att,Yds,TD,Lng,Y/A,Y/G,Fmb
1,Cincinnati Bengals,16,563,2710,27,56,4.8,169.4,28
2,San Francisco 49ers,16,527,2523,18,49,4.8,157.7,27
3,Chicago Bears,16,555,2319,25,80,4.2,144.9,37
4,Indianapolis Colts,16,545,2249,23,44,4.1,140.6,20
5,Houston Oilers,16,558,2249,26,42,4.0,140.6,33
6,Pittsburgh Steelers,16,499,2228,17,64,4.5,139.3,40
7,Buffalo Bills,16,528,2133,15,37,4.0,133.3,26
8,New York Jets,16,514,2132,19,28,4.1,133.3,32
9,New England Patriots,16,588,2120,17,52,3.6,132.5,19
10,Seattle Seahawks,16,517,2086,14,44,4.0,130.4,29
11,New Orleans Saints,16,512,2046,9,73,4.0,127.9,29
12,San Diego Chargers,16,438,2041,11,37,4.7,127.6,26
13,Phoenix Cardinals,16,480,2027,15,47,4.2,126.7,34
14,Atlanta Falcons,16,478,2016,11,62,4.2,126.0,29
15,Los Angeles Rams,16,507,2003,16,44,4.0,125.2,28
16,Dallas Cowboys,16,469,1995,10,38,4.3,124.7,22
17,Philadelphia Eagles,16,464,1945,17,52,4.2,121.6,29
18,Los Angeles Raiders,16,493,1852,15,32,3.8,115.8,33
19,Denver Broncos,16,464,1815,13,35,3.9,113.4,34
20,Minnesota Vikings,16,501,1806,22,34,3.6,112.9,22
21,Tampa Bay Buccaneers,16,452,1753,11,47,3.9,109.6,27
22,Kansas City Chiefs,16,448,1713,8,48,3.8,107.1,21
23,New York Giants,16,493,1689,15,27,3.4,105.6,32
24,Cleveland Browns,16,440,1575,10,65,3.6,98.4,32
25,Washington Redskins,16,437,1543,8,29,3.5,96.4,34
26,Green Bay Packers,16,385,1379,14,33,3.6,86.2,44
27,Detroit Lions,16,391,1243,7,35,3.2,77.7,31
28,Miami Dolphins,16,335,1205,11,64,3.6,75.3,26
,Avg Team,,485.0,1942.7,15.1,46,4.0,121.4,29.4
,League Total,,13581,54395,424,80,4.0,121.4,824
,Avg Tm/G,,30.3,121.4,0.9,,4.0,121.4,1.8
