Rk,Tm,G,Att,Yds,TD,Lng,Y/A,Y/G,Fmb
1,New York Giants,16,560,2210,11,58,3.9,138.1,19
2,Dallas Cowboys,16,490,2161,20,62,4.4,135.1,33
3,San Francisco 49ers,16,463,2133,26,50,4.6,133.3,32
4,Seattle Seahawks,16,473,2015,13,45,4.3,125.9,25
5,Los Angeles Rams,16,449,2014,8,71,4.5,125.9,20
6,Pittsburgh Steelers,16,491,2003,13,38,4.1,125.2,28
7,Detroit Lions,16,456,1944,9,48,4.3,121.5,29
8,Buffalo Bills,16,550,1943,12,27,3.5,121.4,26
9,New York Jets,16,521,1880,14,57,3.6,117.5,38
10,San Diego Chargers,16,455,1824,14,65,4.0,114.0,13
11,Phoenix Cardinals,16,452,1809,12,57,4.0,113.1,23
12,Houston Oilers,16,409,1792,11,35,4.4,112.0,37
13,New England Patriots,16,502,1780,9,49,3.5,111.3,30
14,New Orleans Saints,16,414,1766,10,74,4.3,110.4,24
15,Philadelphia Eagles,16,456,1761,7,35,3.9,110.1,32
16,Washington Redskins,16,396,1728,11,85,4.4,108.0,24
17,Cleveland Browns,16,425,1701,8,55,4.0,106.3,27
18,Denver Broncos,16,468,1693,13,26,3.6,105.8,29
19,Chicago Bears,16,477,1677,10,45,3.5,104.8,29
20,Kansas City Chiefs,16,445,1655,14,47,3.7,103.4,28
21,Minnesota Vikings,16,447,1624,8,31,3.6,101.5,15
22,Green Bay Packers,16,448,1619,14,60,3.6,101.2,26
23,Atlanta Falcons,16,395,1590,4,29,4.0,99.4,31
24,Cincinnati Bengals,16,423,1511,3,29,3.6,94.4,24
25,Miami Dolphins,16,419,1459,10,77,3.5,91.2,32
26,Los Angeles Raiders,16,433,1425,10,19,3.3,89.1,23
27,Tampa Bay Buccaneers,16,402,1290,6,22,3.2,80.6,28
28,Indianapolis Colts,16,365,1288,4,34,3.5,80.5,34
,Avg Team,,453.0,1760.5,10.9,48,3.9,110.0,27.1
,League Total,,12684,49295,304,85,3.9,110.0,759
,Avg Tm/G,,28.3,110.0,0.7,,3.9,110.0,1.7
