Rk,Tm,G,Att,Yds,TD,Lng,Y/A,Y/G,Fmb,EXP
1,Kansas City Chiefs,16,446,1929,32,39,4.3,120.6,13,47.6
2,Denver Broncos,16,543,2629,20,65,4.8,164.3,24,40.6
3,Philadelphia Eagles,16,417,2015,23,64,4.8,125.9,21,30.14
4,Atlanta Falcons,16,435,1949,17,69,4.5,121.8,22,22.26
5,San Diego Chargers,16,417,2146,16,73,5.1,134.1,20,17.98
6,Green Bay Packers,16,507,2558,18,98,5,159.9,19,13.45
7,Chicago Bears,16,443,1763,13,67,4,110.2,25,12.07
8,Minnesota Vikings,16,493,2343,15,61,4.8,146.4,31,7.86
9,Jacksonville Jaguars,16,481,2073,13,62,4.3,129.6,27,-10.09
10,Seattle Seahawks,16,453,2009,17,55,4.4,125.6,23,-10.12
11,Cincinnati Bengals,16,481,1987,12,54,4.1,124.2,16,-14.97
12,Indianapolis Colts,16,453,1695,16,43,3.7,105.9,25,-15.75
13,Oakland Raiders,16,423,1822,15,53,4.3,113.9,25,-16.31
14,San Francisco 49ers,16,499,2279,16,78,4.6,142.4,24,-18.49
15,St. Louis Rams,16,411,1496,19,52,3.6,93.5,33,-21.07
16,Houston Texans,16,421,1651,14,51,3.9,103.2,18,-23.81
17,Washington Redskins,16,421,1653,8,38,3.9,103.3,21,-24.79
18,New York Jets,16,409,1635,8,56,4,102.2,18,-26.65
19,New Orleans Saints,16,448,2000,11,76,4.5,125,33,-27.29
20,Buffalo Bills,16,427,1664,13,64,3.9,104,36,-39.33
21,Miami Dolphins,16,487,1817,14,68,3.7,113.6,26,-41.33
22,Baltimore Ravens,16,552,2674,18,82,4.8,167.1,37,-44.86
23,Cleveland Browns,16,412,1670,8,78,4.1,104.4,32,-48.85
24,Detroit Lions,16,376,1338,5,39,3.6,83.6,18,-50.02
25,Tampa Bay Buccaneers,16,421,1648,5,61,3.9,103,23,-50.59
26,Dallas Cowboys,16,515,1999,11,63,3.9,124.9,26,-52.48
27,New York Giants,16,387,1559,6,27,4,97.4,35,-53.12
28,Arizona Cardinals,16,403,1531,5,36,3.8,95.7,29,-55.33
29,Carolina Panthers,16,522,2091,9,40,4,130.7,33,-64.55
30,Pittsburgh Steelers,16,446,1488,10,32,3.3,93,24,-76.75
31,New England Patriots,16,473,1607,9,42,3.4,100.4,25,-87.44
32,Tennessee Titans,16,486,1623,11,28,3.3,101.4,24,-90.03
,Avg Team,,453.4,1885.7,13.3,57,4.2,117.9,25.2,-24.1
,League Total,,14508,60341,427,98,4.2,117.9,806,
,Avg Tm/G,,28.3,117.9,0.8,,4.2,117.9,1.6,
