Rk,Tm,G,Att,Yds,TD,Lng,Y/A,Y/G,Fmb,EXP
1,Atlanta Falcons,16,524,2672,20,60,5.1,167,26,75.92
2,Kansas City Chiefs,16,496,2289,31,46,4.6,143.1,20,35.42
3,New York Jets,16,527,2388,15,33,4.5,149.3,19,33.71
4,St. Louis Rams,16,381,1624,11,48,4.3,101.5,27,0.58
5,Detroit Lions,16,407,1777,7,74,4.4,111.1,12,-5.28
6,Seattle Seahawks,16,468,2095,17,44,4.5,130.9,19,-5.63
7,New York Giants,16,424,1904,18,72,4.5,119,29,-7.77
8,Indianapolis Colts,16,427,1852,10,55,4.3,115.8,19,-10.35
9,Minnesota Vikings,16,387,1823,8,49,4.7,113.9,20,-11.07
10,San Diego Chargers,16,525,2185,24,52,4.2,136.6,27,-11.81
11,Tennessee Titans,16,420,1871,12,52,4.5,116.9,33,-14.31
12,Denver Broncos,16,534,2333,13,51,4.4,145.8,23,-16.12
13,Pittsburgh Steelers,16,618,2464,16,58,4,154,20,-22.9
14,Philadelphia Eagles,16,376,1639,10,50,4.4,102.4,17,-23.88
15,New England Patriots,16,524,2134,15,44,4.1,133.4,24,-29.37
16,Houston Texans,16,481,1882,16,44,3.9,117.6,22,-29.44
17,Green Bay Packers,16,441,1908,9,90,4.3,119.3,22,-30.47
18,Oakland Raiders,16,327,1295,10,60,4,80.9,23,-31.69
19,Cincinnati Bengals,16,437,1839,14,52,4.2,114.9,17,-33.1
20,Jacksonville Jaguars,16,446,1850,9,46,4.1,115.6,23,-36.48
21,Dallas Cowboys,16,449,1769,14,53,3.9,110.6,26,-38.91
22,Baltimore Ravens,16,491,2063,11,75,4.2,128.9,26,-39.3
23,New Orleans Saints,16,406,1606,15,71,4,100.4,23,-47.44
24,Carolina Panthers,16,422,1582,10,71,3.7,98.9,23,-48.15
25,Miami Dolphins,16,384,1339,10,53,3.5,83.7,42,-50.97
26,Chicago Bears,16,430,1624,10,54,3.8,101.5,35,-52.78
27,Arizona Cardinals,16,475,1668,15,62,3.5,104.3,34,-54.33
28,Buffalo Bills,16,483,1874,15,48,3.9,117.1,26,-56.36
29,Washington Redskins,16,471,1765,6,64,3.7,110.3,20,-74.9
30,Tampa Bay Buccaneers,16,393,1489,9,78,3.8,93.1,32,-80.9
31,San Francisco 49ers,16,413,1449,10,60,3.5,90.6,33,-81.94
32,Cleveland Browns,16,441,1657,6,46,3.8,103.6,32,-89.03
,Avg Team,,450.9,1865.9,13,57,4.1,116.6,24.8,-27.8
,League Total,,14428,59709,416,90,4.1,116.6,794,
,Avg Tm/G,,28.2,116.6,0.8,,4.1,116.6,1.6,
