Rk,Tm,G,Att,Yds,TD,Lng,Y/A,Y/G,Fmb
1,Buffalo Bills,16,505,2381,16,78,4.7,148.8,25
2,San Diego Chargers,16,464,2248,16,63,4.8,140.5,24
3,Kansas City Chiefs,16,521,2217,14,48,4.3,138.6,22
4,Minnesota Vikings,16,464,2201,18,71,4.7,137.6,21
5,New York Jets,16,523,2160,17,58,4.1,135.0,28
6,New York Giants,16,487,2064,16,47,4.2,129.0,33
7,Washington Redskins,16,540,2049,21,65,3.8,128.1,26
8,Denver Broncos,16,507,2015,16,63,4.0,125.9,31
9,Chicago Bears,16,502,1949,18,42,3.9,121.8,25
10,Detroit Lions,16,454,1930,19,69,4.3,120.6,25
11,San Francisco 49ers,16,440,1861,19,53,4.2,116.3,33
12,Cincinnati Bengals,16,449,1811,11,75,4.0,113.2,31
13,Dallas Cowboys,16,433,1711,15,75,4.0,106.9,23
14,New Orleans Saints,16,483,1709,15,65,3.5,106.8,24
15,Los Angeles Raiders,16,446,1706,8,26,3.8,106.6,20
16,Atlanta Falcons,16,410,1664,6,36,4.1,104.0,19
17,Pittsburgh Steelers,16,394,1627,8,56,4.1,101.7,37
18,New England Patriots,16,433,1467,9,24,3.4,91.7,34
19,Tampa Bay Buccaneers,16,371,1429,9,64,3.9,89.3,30
20,Seattle Seahawks,16,394,1426,11,42,3.6,89.1,26
21,Philadelphia Eagles,16,446,1396,8,28,3.1,87.3,34
22,Green Bay Packers,16,381,1389,12,48,3.6,86.8,41
23,Houston Oilers,16,331,1366,16,39,4.1,85.4,33
24,Cleveland Browns,16,389,1360,12,52,3.5,85.0,18
25,Miami Dolphins,16,379,1352,8,24,3.6,84.5,23
26,Phoenix Cardinals,16,391,1295,6,22,3.3,80.9,31
27,Los Angeles Rams,16,388,1285,11,36,3.3,80.3,32
28,Indianapolis Colts,16,354,1169,3,44,3.3,73.1,31
,Avg Team,,438.5,1722.8,12.8,50,3.9,107.7,27.9
,League Total,,12279,48237,358,78,3.9,107.7,780
,Avg Tm/G,,27.4,107.7,0.8,,3.9,107.7,1.7
