Rk,Tm,G,Att,Yds,TD,Lng,Y/A,Y/G,Fmb
1,Denver Broncos,16,525,2362,20,71,4.5,147.6,27
2,Pittsburgh Steelers,16,525,2299,18,80,4.4,143.7,27
3,Oakland Raiders,16,456,2174,7,77,4.8,135.9,30
4,Kansas City Chiefs,16,488,2009,15,35,4.1,125.6,17
5,Seattle Seahawks,16,442,1997,16,51,4.5,124.8,24
6,Houston Oilers,16,475,1950,12,76,4.1,121.9,26
7,Washington Redskins,16,467,1910,27,49,4.1,119.4,21
8,Buffalo Bills,16,563,1901,14,37,3.4,118.8,25
9,Philadelphia Eagles,16,489,1882,16,56,3.8,117.6,24
10,San Francisco 49ers,16,454,1847,17,67,4.1,115.4,16
11,Green Bay Packers,16,465,1838,9,24,4.0,114.9,33
12,Detroit Lions,16,389,1810,15,54,4.7,113.1,21
13,Cincinnati Bengals,16,478,1793,14,33,3.8,112.1,19
14,Baltimore Ravens,16,416,1745,10,42,4.2,109.1,23
15,Carolina Panthers,16,502,1729,9,35,3.4,108.1,25
16,Chicago Bears,16,472,1720,9,32,3.6,107.5,25
17,Jacksonville Jaguars,16,431,1650,13,35,3.8,103.1,29
18,Dallas Cowboys,16,475,1641,14,42,3.5,102.6,24
19,Miami Dolphins,16,460,1622,14,49,3.5,101.4,31
20,St. Louis Rams,16,448,1607,10,38,3.6,100.4,42
21,New York Giants,16,485,1603,4,37,3.3,100.2,27
22,Tampa Bay Buccaneers,16,472,1589,8,56,3.4,99.3,28
23,New York Jets,16,407,1583,8,78,3.9,98.9,25
24,Minnesota Vikings,16,435,1546,7,57,3.6,96.6,26
25,Arizona Cardinals,16,401,1502,8,70,3.7,93.9,29
26,New England Patriots,16,427,1468,15,57,3.4,91.8,25
27,Atlanta Falcons,16,329,1461,9,34,4.4,91.3,23
28,Indianapolis Colts,16,420,1448,9,53,3.4,90.5,24
29,San Diego Chargers,16,412,1312,7,21,3.2,82.0,30
30,New Orleans Saints,16,386,1308,10,63,3.4,81.8,30
,Avg Team,,453.1,1743.5,12.1,50,3.8,109.0,25.9
,League Total,,13594,52306,364,80,3.8,109.0,776
,Avg Tm/G,,28.3,109.0,0.8,,3.8,109.0,1.6
