Rk,Tm,G,Att,Yds,TD,Lng,Y/A,Y/G,Fmb,EXP
1,Jacksonville Jaguars,16,447,2029,19,80,4.5,126.8,26,27.38
2,Green Bay Packers,16,438,1885,20,62,4.3,117.8,20,21.84
3,Miami Dolphins,16,509,2231,22,68,4.4,139.4,27,21.26
4,Baltimore Ravens,16,468,2200,22,77,4.7,137.5,19,19.07
5,Tennessee Titans,16,499,2592,19,91,5.2,162,27,16.97
6,Carolina Panthers,16,525,2498,18,77,4.8,156.1,23,2.15
7,Dallas Cowboys,16,436,2103,14,66,4.8,131.4,20,-0.72
8,Philadelphia Eagles,16,384,1637,14,67,4.3,102.3,23,-2.51
9,New York Jets,16,607,2756,21,71,4.5,172.3,24,-4.45
10,New England Patriots,16,466,1921,19,55,4.1,120.1,17,-9.88
11,Atlanta Falcons,16,451,1876,15,58,4.2,117.3,19,-11.06
12,New Orleans Saints,16,468,2106,21,55,4.5,131.6,25,-12.64
13,Cleveland Browns,16,498,2087,10,71,4.2,130.4,21,-20.76
14,San Francisco 49ers,16,371,1600,12,80,4.3,100,24,-24.01
15,Oakland Raiders,16,410,1701,7,60,4.1,106.3,30,-30.32
16,Cincinnati Bengals,16,505,2056,9,61,4.1,128.5,24,-30.48
17,Pittsburgh Steelers,16,428,1793,10,60,4.2,112.1,21,-31.47
18,Detroit Lions,16,409,1616,9,64,4,101,25,-32.24
19,Denver Broncos,16,440,1836,9,45,4.2,114.8,15,-32.94
20,Buffalo Bills,16,424,1867,6,47,4.4,116.7,24,-33.29
21,Chicago Bears,16,373,1492,6,72,4,93.3,26,-34.43
22,St. Louis Rams,16,411,1784,4,58,4.3,111.5,24,-34.48
23,New York Giants,16,443,1837,14,38,4.1,114.8,30,-34.65
24,Washington Redskins,16,391,1510,8,78,3.9,94.4,30,-38.59
25,Arizona Cardinals,16,365,1494,16,50,4.1,93.4,32,-40.86
26,Indianapolis Colts,16,366,1294,16,45,3.5,80.9,11,-41.43
27,Seattle Seahawks,16,395,1566,7,62,4,97.9,33,-41.72
28,Kansas City Chiefs,16,438,1929,8,76,4.4,120.6,31,-44.25
29,Tampa Bay Buccaneers,16,404,1627,5,35,4,101.7,25,-51.85
30,San Diego Chargers,16,427,1423,17,36,3.3,88.9,14,-54.28
31,Houston Texans,16,425,1475,13,32,3.5,92.2,21,-60.27
32,Minnesota Vikings,16,467,1918,19,64,4.1,119.9,19,-65.49
,Avg Team,,440.3,1866.8,13.4,61,4.2,116.7,23.4,-22.2
,League Total,,14088,59739,429,91,4.2,116.7,750,
,Avg Tm/G,,27.5,116.7,0.8,,4.2,116.7,1.5,
