Rk,Tm,G,Att,Yds,TD,Lng,Y/A,Y/G,Fmb,EXP
1,Seattle Seahawks,16,525,2762,20,79,5.3,172.6,23,65.66
2,New Orleans Saints,16,406,1818,16,67,4.5,113.6,22,4.07
3,Minnesota Vikings,16,413,1804,12,67,4.4,112.8,12,4.02
4,Cincinnati Bengals,16,492,2147,19,89,4.4,134.2,20,3.67
5,Kansas City Chiefs,16,420,1918,18,63,4.6,119.9,22,-2.73
6,New England Patriots,16,438,1727,13,43,3.9,107.9,13,-6.34
7,Chicago Bears,16,355,1441,8,32,4.1,90.1,19,-7.23
8,Jacksonville Jaguars,16,360,1633,9,62,4.5,102.1,15,-8.91
9,Washington Redskins,16,401,1691,15,30,4.2,105.7,31,-11.85
10,Miami Dolphins,16,399,1872,12,97,4.7,117,27,-11.91
11,Dallas Cowboys,16,508,2354,16,65,4.6,147.1,21,-17.9
12,Carolina Panthers,16,473,2036,10,69,4.3,127.3,25,-18.45
13,Baltimore Ravens,16,448,2019,16,52,4.5,126.2,16,-18.6
14,New York Jets,16,507,2280,11,71,4.5,142.5,25,-19.76
15,Atlanta Falcons,16,372,1498,11,55,4,93.6,16,-26.32
16,Green Bay Packers,16,435,1917,14,44,4.4,119.8,19,-27.01
17,Denver Broncos,16,443,1785,15,47,4,111.6,16,-29
18,Pittsburgh Steelers,16,423,1752,10,81,4.1,109.5,16,-29.11
19,San Francisco 49ers,16,470,2176,10,90,4.6,136,18,-32.96
20,Philadelphia Eagles,16,474,1992,16,53,4.2,124.5,25,-33.02
21,Detroit Lions,16,396,1422,11,57,3.6,88.9,21,-35
22,Tennessee Titans,16,356,1447,6,52,4.1,90.4,23,-40.88
23,Tampa Bay Buccaneers,16,353,1375,7,63,3.9,85.9,29,-42.31
24,New York Giants,16,449,1603,13,50,3.6,100.2,21,-43.06
25,Houston Texans,16,551,2161,12,51,3.9,135.1,19,-44.9
26,Cleveland Browns,16,477,1728,17,36,3.6,108,17,-47.08
27,San Diego Chargers,16,398,1367,6,52,3.4,85.4,15,-48.68
28,St. Louis Rams,16,395,1635,11,89,4.1,102.2,27,-56.47
29,Indianapolis Colts,16,415,1612,9,49,3.9,100.8,31,-56.98
30,Arizona Cardinals,16,397,1308,6,22,3.3,81.8,16,-59.05
31,Buffalo Bills,16,402,1482,7,53,3.7,92.6,22,-65.53
32,Oakland Raiders,16,337,1240,4,90,3.7,77.5,28,-71.76
,Avg Team,,427.8,1781.3,11.9,60,4.2,111.3,20.9,-26.1
,League Total,,13688,57002,380,97,4.2,111.3,670,
,Avg Tm/G,,26.7,111.3,0.7,,4.2,111.3,1.3,
