Rk,Tm,G,Att,Yds,TD,Lng,Y/A,Y/G,Fmb,EXP
1,San Diego Chargers,16,522,2578,32,85,4.9,161.1,19,56.26
2,Atlanta Falcons,16,537,2939,9,90,5.5,183.7,18,39.93
3,Jacksonville Jaguars,16,513,2541,23,76,5,158.8,16,32.23
4,Philadelphia Eagles,16,416,1984,13,71,4.8,124,26,17.96
5,New York Giants,16,455,2156,14,55,4.7,134.8,23,10.21
6,Washington Redskins,16,490,2216,13,38,4.5,138.5,20,-4.89
7,Tennessee Titans,16,469,2214,15,70,4.7,138.4,29,-5.03
8,Indianapolis Colts,16,439,1762,17,41,4,110.1,13,-5.99
9,Denver Broncos,16,488,2152,12,72,4.4,134.5,29,-7.3
10,Houston Texans,16,431,1685,13,35,3.9,105.3,28,-8.3
11,Dallas Cowboys,16,472,1936,21,77,4.1,121,21,-8.83
12,New England Patriots,16,499,1969,20,50,3.9,123.1,27,-10.27
13,St. Louis Rams,16,424,1805,13,59,4.3,112.8,20,-14.91
14,Chicago Bears,16,503,1918,14,30,3.8,119.9,26,-25.23
15,Kansas City Chiefs,16,513,2143,17,47,4.2,133.9,25,-27.08
16,San Francisco 49ers,16,438,2172,12,72,5,135.8,24,-27.47
17,Cincinnati Bengals,16,435,1629,14,22,3.7,101.8,25,-29.92
18,New Orleans Saints,16,472,1761,19,57,3.7,110.1,23,-30.28
19,Pittsburgh Steelers,16,469,1992,16,76,4.2,124.5,27,-32.16
20,Seattle Seahawks,16,484,1923,8,37,4,120.2,21,-32.88
21,Minnesota Vikings,16,442,1820,12,95,4.1,113.8,31,-35.81
22,Carolina Panthers,16,423,1659,7,43,3.9,103.7,21,-39.88
23,Tampa Bay Buccaneers,16,404,1523,6,38,3.8,95.2,27,-42.14
24,Miami Dolphins,16,402,1673,7,55,4.2,104.6,19,-44.36
25,Buffalo Bills,16,420,1552,9,57,3.7,97,28,-47.56
26,New York Jets,16,491,1738,15,32,3.5,108.6,21,-48.67
27,Green Bay Packers,16,431,1663,9,70,3.9,103.9,25,-53.68
28,Detroit Lions,16,304,1129,9,52,3.7,70.6,26,-58.22
29,Baltimore Ravens,16,476,1637,11,52,3.4,102.3,21,-60.44
30,Arizona Cardinals,16,419,1338,12,18,3.2,83.6,31,-62.08
31,Cleveland Browns,16,372,1335,7,33,3.6,83.4,23,-74.58
32,Oakland Raiders,16,394,1519,5,59,3.9,94.9,32,-78.56
,Avg Team,,451.5,1876.9,13.3,55,4.2,117.3,23.9,-23.7
,League Total,,14447,60061,424,95,4.2,117.3,765,
,Avg Tm/G,,28.2,117.3,0.8,,4.2,117.3,1.5,
