Rk,Tm,G,Att,Yds,TD,Lng,Y/A,Y/G,Fmb,EXP
1,New England Patriots,16,451,1849,17,59,4.1,115.6,14,22.41
2,Minnesota Vikings,16,494,2634,22,84,5.3,164.6,27,20.5
3,Philadelphia Eagles,16,421,1974,12,40,4.7,123.4,24,20.15
4,Jacksonville Jaguars,16,522,2391,18,80,4.6,149.4,18,19.5
5,Indianapolis Colts,16,446,1706,19,23,3.8,106.6,14,16.05
6,New York Giants,16,469,2148,15,88,4.6,134.3,26,7.15
7,Houston Texans,16,417,1586,12,41,3.8,99.1,26,-1.16
8,Miami Dolphins,16,389,1569,14,60,4,98.1,25,-6.25
9,Tampa Bay Buccaneers,16,449,1872,15,31,4.2,117,18,-8.18
10,Dallas Cowboys,16,419,1746,14,54,4.2,109.1,21,-8.97
11,Cleveland Browns,16,440,1895,13,66,4.3,118.4,22,-11.28
12,New York Jets,16,446,1701,6,49,3.8,106.3,20,-18.4
13,Denver Broncos,16,429,1957,10,62,4.6,122.3,30,-25.59
14,Buffalo Bills,16,448,1800,8,56,4,112.5,20,-27.87
15,New Orleans Saints,16,392,1466,14,26,3.7,91.6,25,-28.37
16,Detroit Lions,16,324,1288,13,53,4,80.5,35,-31.73
17,Pittsburgh Steelers,16,511,2168,9,45,4.2,135.5,21,-32.69
18,San Diego Chargers,16,485,2039,19,74,4.2,127.4,17,-32.75
19,Cincinnati Bengals,16,416,1556,10,45,3.7,97.3,20,-36.71
20,Arizona Cardinals,16,402,1440,9,27,3.6,90,27,-37.14
21,Carolina Panthers,16,451,1824,7,75,4,114,25,-38.04
22,Baltimore Ravens,16,446,1797,11,46,4,112.3,35,-39
23,Green Bay Packers,16,388,1597,13,66,4.1,99.8,25,-42.03
24,St. Louis Rams,16,404,1527,5,54,3.8,95.4,25,-47.34
25,Tennessee Titans,16,543,2109,17,42,3.9,131.8,32,-49.04
26,Atlanta Falcons,16,385,1520,7,67,3.9,95,18,-50.66
27,San Francisco 49ers,16,357,1477,8,43,4.1,92.3,36,-51.28
28,Oakland Raiders,16,508,2086,11,48,4.1,130.4,42,-55.36
29,Seattle Seahawks,16,430,1619,9,46,3.8,101.2,21,-60.81
30,Kansas City Chiefs,16,383,1248,6,54,3.3,78,22,-62.24
31,Chicago Bears,16,423,1330,8,43,3.1,83.1,34,-72.35
32,Washington Redskins,16,498,1871,15,32,3.8,116.9,35,-88.08
,Avg Team,,437.1,1774.7,12.1,52,4.1,110.9,25,-26.8
,League Total,,13986,56790,386,88,4.1,110.9,800,
,Avg Tm/G,,27.3,110.9,0.8,,4.1,110.9,1.6,
