Rk,Tm,G,Att,Yds,TD,Lng,Y/A,Y/G,Fmb
1,Buffalo Bills,16,549,2436,18,64,4.4,152.3,31
2,Philadelphia Eagles,16,516,2388,19,38,4.6,149.3,25
3,San Francisco 49ers,16,482,2315,22,43,4.8,144.7,29
4,Pittsburgh Steelers,16,518,2156,13,69,4.2,134.8,28
5,Dallas Cowboys,16,500,2121,20,68,4.2,132.6,16
6,New York Giants,16,458,2077,20,63,4.5,129.8,25
7,Minnesota Vikings,16,497,2030,19,51,4.1,126.9,29
8,Cincinnati Bengals,16,454,1976,11,53,4.4,123.5,32
9,San Diego Chargers,16,489,1875,18,33,3.8,117.2,26
10,Chicago Bears,16,427,1871,15,49,4.4,116.9,23
11,Los Angeles Raiders,16,434,1794,7,66,4.1,112.1,25
12,New York Jets,16,424,1752,8,32,4.1,109.5,28
13,Washington Redskins,16,483,1727,10,33,3.6,107.9,18
14,Tampa Bay Buccaneers,16,438,1706,12,25,3.9,106.6,19
15,Los Angeles Rams,16,393,1659,12,71,4.2,103.7,30
16,Detroit Lions,16,378,1644,9,55,4.3,102.8,26
17,New Orleans Saints,16,454,1628,10,25,3.6,101.8,27
18,Houston Oilers,16,353,1626,10,44,4.6,101.6,28
19,Cleveland Browns,16,451,1607,7,37,3.6,100.4,19
20,Seattle Seahawks,16,402,1596,4,52,4.0,99.8,37
21,Green Bay Packers,16,420,1555,7,44,3.7,97.2,41
22,New England Patriots,16,419,1550,6,36,3.7,96.9,43
23,Kansas City Chiefs,16,446,1532,14,44,3.4,95.8,28
24,Miami Dolphins,16,407,1525,9,23,3.7,95.3,31
25,Denver Broncos,16,403,1500,11,67,3.7,93.8,29
26,Phoenix Cardinals,16,395,1491,11,42,3.8,93.2,26
27,Atlanta Falcons,16,322,1270,3,32,3.9,79.4,30
28,Indianapolis Colts,16,379,1102,8,36,2.9,68.9,24
,Avg Team,,439.0,1768.2,11.9,46,4.0,110.5,27.6
,League Total,,12291,49509,333,71,4.0,110.5,773
,Avg Tm/G,,27.4,110.5,0.7,,4.0,110.5,1.7
