Rk,Tm,G,Att,Yds,TD,Lng,Y/A,Y/G,Fmb
1,Pittsburgh Steelers,16,572,2479,19,74,4.3,154.9,25
2,Detroit Lions,16,447,2464,19,82,5.5,154.0,26
3,Tennessee Oilers,16,541,2414,17,47,4.5,150.9,31
4,Denver Broncos,16,520,2378,18,50,4.6,148.6,25
5,Kansas City Chiefs,16,529,2171,15,43,4.1,135.7,21
6,Minnesota Vikings,16,449,2041,14,78,4.5,127.6,16
7,New York Giants,16,521,1988,14,42,3.8,124.3,23
8,San Francisco 49ers,16,523,1969,16,51,3.8,123.1,22
9,Cincinnati Bengals,16,452,1966,23,79,4.3,122.9,25
10,Philadelphia Eagles,16,465,1943,11,30,4.2,121.4,35
11,Tampa Bay Buccaneers,16,479,1934,15,76,4.0,120.9,31
12,Green Bay Packers,16,459,1909,9,52,4.2,119.3,24
13,Seattle Seahawks,16,404,1800,13,77,4.5,112.5,26
14,Buffalo Bills,16,422,1782,12,56,4.2,111.4,39
15,Carolina Panthers,16,441,1770,11,50,4.0,110.6,30
16,Chicago Bears,16,490,1746,14,68,3.6,109.1,33
17,Indianapolis Colts,16,450,1727,10,45,3.8,107.9,23
18,Jacksonville Jaguars,16,454,1720,20,33,3.8,107.5,17
19,Atlanta Falcons,16,442,1643,8,77,3.7,102.7,34
20,Dallas Cowboys,16,423,1637,6,44,3.9,102.3,23
21,Washington Redskins,16,453,1615,12,34,3.6,100.9,21
22,Baltimore Ravens,16,420,1589,7,25,3.8,99.3,37
23,Oakland Raiders,16,360,1588,9,83,4.4,99.3,25
24,St. Louis Rams,16,443,1563,15,28,3.5,97.7,29
25,New York Jets,16,431,1485,10,43,3.4,92.8,27
26,New England Patriots,16,398,1464,6,70,3.7,91.5,17
27,New Orleans Saints,16,417,1461,9,74,3.5,91.3,34
28,San Diego Chargers,16,409,1416,5,32,3.5,88.5,30
29,Miami Dolphins,16,430,1343,18,71,3.1,83.9,22
30,Arizona Cardinals,16,395,1255,9,31,3.2,78.4,27
,Avg Team,,454.6,1808.7,12.8,55,4.0,113.0,26.6
,League Total,,13639,54260,384,83,4.0,113.0,798
,Avg Tm/G,,28.4,113.0,0.8,,4.0,113.0,1.7
