Rk,Tm,G,Att,Yds,TD,Lng,Y/A,Y/G,Fmb
1,San Francisco 49ers,16,491,2544,19,96,5.2,159.0,22
2,Denver Broncos,16,525,2468,26,70,4.7,154.3,17
3,Buffalo Bills,16,531,2161,13,32,4.1,135.1,17
4,Tampa Bay Buccaneers,16,523,2148,12,50,4.1,134.3,23
5,Jacksonville Jaguars,16,487,2102,19,77,4.3,131.4,18
6,Atlanta Falcons,16,516,2101,18,48,4.1,131.3,24
7,Pittsburgh Steelers,16,490,2034,8,56,4.2,127.1,18
8,Dallas Cowboys,16,499,2014,21,49,4.0,125.9,18
9,Tennessee Oilers,16,462,1970,12,71,4.3,123.1,25
10,Detroit Lions,16,441,1955,12,73,4.4,122.2,17
11,Minnesota Vikings,16,450,1936,17,74,4.3,121.0,10
12,New York Giants,16,474,1889,10,45,4.0,118.1,17
13,New York Jets,16,500,1879,12,60,3.8,117.4,23
14,Philadelphia Eagles,16,427,1775,10,64,4.2,110.9,20
15,San Diego Chargers,16,460,1728,11,72,3.8,108.0,33
16,Oakland Raiders,16,449,1727,6,80,3.8,107.9,38
17,Chicago Bears,16,454,1713,9,57,3.8,107.1,29
18,Washington Redskins,16,401,1685,15,45,4.2,105.3,27
19,Cincinnati Bengals,16,405,1639,7,66,4.0,102.4,21
20,Baltimore Ravens,16,408,1629,7,56,4.0,101.8,31
21,Arizona Cardinals,16,450,1627,18,32,3.6,101.7,30
22,Seattle Seahawks,16,426,1626,11,64,3.8,101.6,30
23,Kansas City Chiefs,16,433,1548,19,38,3.6,96.8,35
24,Miami Dolphins,16,458,1535,10,45,3.4,95.9,25
25,Green Bay Packers,16,447,1526,7,50,3.4,95.4,27
26,Indianapolis Colts,16,384,1486,7,68,3.9,92.9,10
27,New England Patriots,16,403,1480,9,71,3.7,92.5,20
28,Carolina Panthers,16,405,1458,11,41,3.6,91.1,39
29,St. Louis Rams,16,395,1385,17,46,3.5,86.6,32
30,New Orleans Saints,16,374,1325,6,33,3.5,82.8,28
,Avg Team,,452.3,1803.1,12.6,58,4.0,112.7,24.1
,League Total,,13568,54093,379,96,4.0,112.7,724
,Avg Tm/G,,28.3,112.7,0.8,,4.0,112.7,1.5
