Rk,Tm,G,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds,NY/A,ANY/A,Sk%,4QC,GWD
1,Minnesota Vikings,16,327,533,61.4,4328,41,7.7,16,3.0,67,8.4,8.6,13.7,270.5,101.5,25,164,7.8,7.9,4.5,0,2
2,San Francisco 49ers,16,347,556,62.4,4256,41,7.4,15,2.7,81,8.1,8.4,13.0,266.0,101.2,53,254,7.0,7.2,8.7,4,5
3,Green Bay Packers,16,361,575,62.8,4110,33,5.7,23,4.0,84,7.5,6.9,12.0,256.9,88.3,39,230,6.7,6.1,6.4,1,2
4,New York Jets,16,318,532,59.8,3836,33,6.2,13,2.4,82,7.6,7.7,12.7,239.8,94.0,25,196,6.9,7.0,4.5,3,3
5,New England Patriots,16,295,556,53.1,3660,23,4.1,17,3.1,86,7.2,6.7,13.6,228.8,77.4,40,344,6.1,5.6,6.7,4,5
6,Indianapolis Colts,16,326,576,56.6,3630,26,4.5,28,4.9,78,6.5,5.2,11.5,226.9,71.1,22,109,6.1,4.8,3.7,1,1
7,Denver Broncos,16,290,491,59.1,3624,32,6.5,14,2.9,58,7.8,7.8,13.1,226.5,93.5,25,184,7.0,7.0,4.8,2,2
8,Arizona Cardinals,16,326,552,59.1,3482,17,3.1,20,3.6,57,6.8,5.8,11.6,217.6,74.9,50,286,5.8,4.9,8.3,5,7
9,Dallas Cowboys,16,279,474,58.9,3436,17,3.6,8,1.7,80,7.5,7.4,12.7,214.8,87.2,19,110,7.0,6.9,3.9,,
10,Miami Dolphins,16,316,546,57.9,3395,23,4.2,16,2.9,61,6.6,6.1,11.3,212.2,79.5,24,187,6.0,5.5,4.2,1,2
11,Atlanta Falcons,16,237,424,55.9,3386,28,6.6,15,3.5,78,8.8,8.6,15.8,211.6,92.7,53,358,7.1,6.9,11.1,3,3
12,Buffalo Bills,16,269,461,58.4,3380,28,6.1,14,3.0,84,7.9,7.7,13.5,211.3,91.0,41,241,6.7,6.6,8.2,2,2
13,Washington Redskins,16,304,565,53.8,3325,24,4.2,14,2.5,75,6.6,6.3,12.3,207.8,78.2,61,399,5.3,5.1,9.7,2,2
14,Carolina Panthers,16,292,507,57.6,3322,25,4.9,18,3.6,72,7.1,6.5,12.4,207.6,81.5,54,302,5.9,5.4,9.6,1,1
15,Tennessee Oilers,16,305,519,58.8,3291,16,3.1,10,1.9,55,6.7,6.5,11.4,205.7,81.3,35,191,5.9,5.7,6.3,1,2
16,Kansas City Chiefs,16,305,543,56.2,3260,15,2.8,18,3.3,80,6.4,5.5,11.4,203.8,70.9,36,212,5.6,4.7,6.2,1,2
17,Cincinnati Bengals,16,307,521,58.9,3185,20,3.8,12,2.3,76,6.8,6.5,11.5,199.1,82.7,53,360,5.5,5.3,9.2,2,2
18,New Orleans Saints,16,278,535,52.0,3138,19,3.6,19,3.6,89,6.6,5.7,12.6,196.1,69.8,57,376,5.3,4.5,9.6,2,2
19,Detroit Lions,16,274,489,56.0,3130,17,3.5,13,2.7,98,6.9,6.4,12.4,195.6,78.2,45,268,5.9,5.4,8.4,2,2
20,Jacksonville Jaguars,16,269,463,58.1,3112,24,5.2,12,2.6,78,7.2,7.1,12.4,194.5,87.1,39,231,6.2,6.1,7.8,4,4
21,Oakland Raiders,16,282,519,54.3,3088,21,4.0,25,4.8,75,6.8,5.5,12.5,193.0,69.2,67,446,5.3,4.1,11.4,2,3
22,St. Louis Rams,16,314,556,56.5,3087,12,2.2,18,3.2,80,6.1,5.1,10.8,192.9,68.2,47,294,5.1,4.2,7.8,1,1
23,Chicago Bears,16,284,494,57.5,3053,16,3.2,13,2.6,79,6.6,6.1,11.5,190.8,77.5,31,224,5.8,5.3,5.9,2,3
24,Seattle Seahawks,16,273,480,56.9,3000,21,4.4,18,3.8,81,6.7,5.9,11.8,187.5,76.4,34,219,5.8,5.1,6.6,1,1
25,Baltimore Ravens,16,272,477,57.0,2869,16,3.4,15,3.1,73,6.6,5.9,11.6,179.3,75.2,41,283,5.5,4.9,7.9,1,2
26,San Diego Chargers,16,261,566,46.1,2864,11,1.9,34,6.0,67,5.5,3.2,11.9,179.0,44.9,37,251,4.7,2.6,6.1,3,4
27,Tampa Bay Buccaneers,16,234,449,52.1,2606,21,4.7,18,4.0,79,6.2,5.3,11.9,162.9,70.3,28,181,5.5,4.6,5.9,3,3
28,New York Giants,16,265,507,52.3,2566,18,3.6,15,3.0,87,5.6,4.9,10.6,160.4,68.3,35,256,4.7,4.2,6.5,1,1
29,Pittsburgh Steelers,16,274,489,56.0,2552,13,2.7,20,4.1,55,5.7,4.4,10.1,159.5,64.3,35,229,4.9,3.6,6.7,0,1
30,Philadelphia Eagles,16,282,534,52.8,2413,7,1.3,18,3.4,61,5.1,3.9,9.7,150.8,57.7,56,317,4.1,3.0,9.5,1,1
,Avg Team,,292.2,516.3,56.6,3279.5,21.9,4.2,17.0,3.3,75,6.8,6.2,12.1,205.0,76.2,40.2,256.7,5.89,5.3,7.2,1.9,2.4
,League Total,,8766,15489,56.6,98384,658,4.2,509,3.3,98,6.8,6.2,12.1,205.0,76.2,1207,7702,5.89,5.3,7.2,56,71
,Avg Tm/G,,18.3,32.3,56.6,205.0,1.4,4.2,1.1,3.3,,6.8,6.2,12.1,205.0,76.2,2.5,16.0,5.89,5.3,7.2,,
