Rk,Tm,G,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds,NY/A,ANY/A,Sk%,4QC,GWD,EXP
1,Houston Texans,16,399,593,67.3,4654,29,4.9,17,2.9,72,8.1,7.8,12.0,290.9,96.3,25,149,7.5,7.2,4.0,2,4,140.88
2,Indianapolis Colts,16,402,601,66.9,4515,34,5.7,19,3.2,80,7.7,7.4,11.5,282.2,95.4,13,90,7.4,7.1,2.1,7,7,219.90
3,New England Patriots,16,390,592,65.9,4436,28,4.7,13,2.2,81,7.7,7.6,11.6,277.3,95.6,18,104,7.3,7.2,3.0,1,1,127.39
4,New Orleans Saints,16,378,544,69.5,4355,34,6.3,12,2.2,75,8.3,8.5,11.9,272.2,106.0,20,135,7.7,8.0,3.5,3,6,188.33
5,San Diego Chargers,16,338,519,65.1,4338,29,5.6,10,1.9,81,8.7,8.9,13.3,271.1,103.1,26,168,8.0,8.2,4.8,3,5,221.49
6,Dallas Cowboys,16,347,550,63.1,4287,26,4.7,9,1.6,80,8.2,8.4,12.9,267.9,97.6,34,196,7.3,7.5,5.8,3,3,118.92
7,Green Bay Packers,16,357,553,64.6,4180,30,5.4,8,1.4,83,8.1,8.6,12.6,261.3,101.8,51,312,6.9,7.3,8.4,2,2,155.69
8,Minnesota Vikings,16,377,553,68.2,4156,34,6.1,7,1.3,63,8.0,8.6,11.7,259.8,107.3,34,247,7.1,7.7,5.8,2,2,214.74
9,Pittsburgh Steelers,16,351,536,65.5,4148,28,5.2,14,2.6,60,8.4,8.3,12.8,259.3,98.1,50,348,7.1,7.0,8.5,2,3,99.35
10,Philadelphia Eagles,16,335,553,60.6,4089,27,4.9,13,2.4,71,7.9,7.8,13.1,255.6,92.0,38,291,6.9,6.8,6.4,2,3,56.49
11,New York Giants,16,338,542,62.4,4019,28,5.2,14,2.6,74,7.8,7.7,12.6,251.2,93.2,32,227,7.0,6.9,5.6,1,2,110.92
12,Arizona Cardinals,16,392,594,66.0,4016,27,4.5,18,3.0,45,7.1,6.6,10.7,251.0,89.1,26,184,6.5,6.0,4.2,1,2,66.48
13,Denver Broncos,16,341,558,61.1,3627,21,3.8,13,2.3,87,6.9,6.6,11.2,226.7,84.4,34,198,6.1,5.8,5.7,3,3,24.63
14,Atlanta Falcons,16,332,570,58.2,3571,26,4.6,17,3.0,90,6.5,6.1,11.1,223.2,80.4,27,126,6.0,5.6,4.5,2,4,79.80
15,Seattle Seahawks,16,372,609,61.1,3503,20,3.3,19,3.1,53,6.2,5.4,10.1,218.9,76.7,41,268,5.4,4.7,6.3,0,1,-31.13
16,Washington Redskins,16,340,533,63.8,3490,21,3.9,16,3.0,84,7.1,6.6,11.2,218.1,85.5,46,307,6.0,5.5,7.9,1,1,6.25
17,Chicago Bears,16,340,563,60.4,3473,27,4.8,27,4.8,71,6.5,5.3,10.8,217.1,75.6,35,204,5.8,4.7,5.9,2,4,-23.87
18,Baltimore Ravens,16,321,510,62.9,3419,21,4.1,13,2.5,72,7.1,6.8,11.3,213.7,87.4,36,218,6.3,6.0,6.6,1,2,52.30
19,Jacksonville Jaguars,16,315,519,60.7,3356,15,2.9,10,1.9,63,6.9,6.6,11.4,209.8,83.2,44,243,6.0,5.7,7.8,3,4,-4.19
20,Miami Dolphins,16,331,545,60.7,3170,15,2.8,19,3.5,67,6.2,5.2,10.3,198.1,73.3,34,226,5.5,4.5,5.9,3,3,1.17
21,Detroit Lions,16,316,585,54.0,3168,16,2.7,32,5.5,75,5.9,4.0,11.0,198.0,58.1,43,303,5.0,3.3,6.8,1,1,-105.84
22,San Francisco 49ers,16,312,528,59.1,3052,23,4.4,14,2.7,73,6.2,5.9,10.6,190.8,80.8,40,241,5.4,5.1,7.0,1,1,-23.90
23,Tennessee Titans,16,271,476,56.9,3031,16,3.4,15,3.2,69,6.5,5.8,11.5,189.4,74.8,15,73,6.2,5.5,3.1,3,6,20.14
24,Tampa Bay Buccaneers,16,279,524,53.2,2973,18,3.4,29,5.5,47,6.0,4.2,11.2,185.8,59.8,33,161,5.3,3.6,5.9,2,2,-88.21
25,Kansas City Chiefs,16,296,536,55.2,2922,18,3.4,17,3.2,61,5.9,5.2,10.8,182.6,70.8,45,261,5.0,4.3,7.7,1,2,-65.42
26,Cincinnati Bengals,16,286,477,60.0,2890,21,4.4,13,2.7,73,6.6,6.2,11.0,180.6,82.7,29,244,5.7,5.4,5.7,3,5,11.94
27,Carolina Panthers,16,264,465,56.8,2799,16,3.4,20,4.3,66,6.6,5.4,11.6,174.9,70.5,33,271,5.6,4.5,6.6,2,3,-34.35
28,St. Louis Rams,16,312,543,57.5,2686,12,2.2,21,3.9,50,5.5,4.2,9.5,167.9,64.0,44,284,4.6,3.4,7.5,0,1,-129.88
29,Oakland Raiders,16,255,485,52.6,2557,10,2.1,18,3.7,86,5.9,4.7,11.3,159.8,62.0,49,318,4.8,3.6,9.2,4,4,-140.21
