Rk,Tm,G,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds,NY/A,ANY/A,Sk%,4QC,GWD
1,San Diego Chargers,16,386,632,61.1,4870,37,5.9,30,4.7,75,8.2,7.2,13.4,304.4,86.8,39,305,7.3,6.3,5.8,4,4
2,Miami Dolphins,16,343,576,59.5,4114,31,5.4,21,3.6,73,7.4,6.9,12.5,257.1,85.4,19,164,6.9,6.4,3.2,4,6
3,Dallas Cowboys,16,344,587,58.6,3861,27,4.6,25,4.3,58,7.2,6.2,12.3,241.3,78.6,44,375,6.1,5.2,7.0,1,2
4,Cincinnati Bengals,16,302,518,58.3,3717,31,6.0,13,2.5,71,7.9,7.9,13.5,232.3,93.0,41,365,6.6,6.7,7.3,1,1
5,San Francisco 49ers,16,331,550,60.2,3688,28,5.1,14,2.5,73,7.2,7.1,12.0,230.5,88.8,42,299,6.2,6.1,7.1,1,1
6,Denver Broncos,16,329,617,53.3,3645,23,3.7,23,3.7,65,6.4,5.5,12.0,227.8,70.1,38,307,5.6,4.7,5.8,6,7
7,Minnesota Vikings,16,311,576,54.0,3635,22,3.8,29,5.0,57,6.8,5.3,12.6,227.2,67.3,45,296,5.9,4.5,7.2,3,5
8,Philadelphia Eagles,16,290,567,51.1,3586,19,3.4,28,4.9,99,7.1,5.6,13.9,224.1,65.0,55,450,5.8,4.4,8.8,3,5
9,New York Jets,16,303,497,61.0,3584,25,5.0,8,1.6,96,8.0,8.3,13.1,224.0,96.3,62,399,6.4,6.7,11.1,1,1
10,New York Giants,16,275,497,55.3,3433,22,4.4,20,4.0,70,7.7,6.8,13.9,214.6,78.3,52,396,6.3,5.4,9.5,0,0
11,Kansas City Chiefs,16,267,511,52.3,3391,23,4.5,23,4.5,84,7.3,6.2,14.0,211.9,72.3,43,335,6.1,5.1,7.8,,
12,Seattle Seahawks,16,304,575,52.9,3363,28,4.9,23,4.0,54,6.6,5.8,12.6,210.2,73.4,53,457,5.4,4.6,8.4,2,2
13,Pittsburgh Steelers,16,254,512,49.6,3173,23,4.5,27,5.3,69,6.6,5.2,13.4,198.3,64.1,33,224,5.8,4.4,6.1,2,2
14,New England Patriots,16,255,457,55.8,3168,20,4.4,22,4.8,90,7.6,6.3,13.7,198.0,74.9,39,315,6.4,5.2,7.9,2,3
15,Green Bay Packers,16,267,513,52.0,3163,21,4.1,27,5.3,63,6.9,5.4,13.3,197.7,66.0,50,389,5.6,4.2,8.9,3,5
16,Los Angeles Raiders,16,269,506,53.2,3146,20,4.0,24,4.7,59,6.9,5.5,12.9,196.6,68.5,43,335,5.7,4.5,7.8,1,4
17,Tampa Bay Buccaneers,16,269,508,53.0,3122,22,4.3,26,5.1,59,6.7,5.3,12.7,195.1,67.4,40,301,5.7,4.4,7.3,1,1
18,St. Louis Cardinals,16,296,534,55.4,3112,19,3.6,18,3.4,47,6.7,5.9,12.1,194.5,74.0,65,469,5.2,4.5,10.9,1,1
19,Houston Oilers,16,277,512,54.1,3082,18,3.5,22,4.3,80,6.9,5.7,12.7,192.6,69.7,58,441,5.4,4.3,10.2,3,4
20,Chicago Bears,16,237,432,54.9,3076,17,3.9,16,3.7,70,7.6,6.8,13.9,192.3,77.3,43,227,6.5,5.7,9.1,1,1
21,Buffalo Bills,16,263,517,50.9,2984,9,1.7,31,6.0,60,6.4,4.1,12.7,186.5,52.1,42,347,5.3,3.2,7.5,,
22,Detroit Lions,16,254,462,55.0,2938,19,4.1,21,4.5,56,7.2,6.0,13.1,183.6,72.6,53,378,5.7,4.6,10.3,,
23,Washington Redskins,16,280,512,54.7,2815,13,2.5,21,4.1,55,6.3,5.0,11.6,175.9,65.4,52,428,5.0,3.8,9.2,3,3
24,New Orleans Saints,16,260,508,51.2,2796,20,3.9,23,4.5,76,6.4,5.2,12.5,174.8,65.7,58,461,4.9,3.8,10.2,1,2
25,Cleveland Browns,16,222,414,53.6,2636,17,4.1,13,3.1,72,7.0,6.4,13.0,164.8,76.4,36,249,5.9,5.3,8.0,3,3
26,Indianapolis Colts,16,235,468,50.2,2567,15,3.2,20,4.3,80,6.0,4.7,12.0,160.4,61.8,35,244,5.1,3.9,7.0,1,1
27,Atlanta Falcons,16,254,462,55.0,2494,13,2.8,20,4.3,62,6.5,5.2,11.9,155.9,66.5,69,531,4.7,3.5,13.0,,
28,Los Angeles Rams,16,234,403,58.1,2463,16,4.0,14,3.5,64,7.1,6.4,12.3,153.9,78.9,57,409,5.4,4.7,12.4,2,1
,Avg Team,,282.5,515.1,54.8,3272.2,21.4,4.1,21.5,4.2,69,7.0,6.0,12.8,204.5,70.7,46.6,353.4,5.83,4.9,8.3,1.8,2.3
,League Total,,7911,14423,54.8,91622,598,4.1,602,4.2,99,7.0,6.0,12.8,204.5,70.7,1306,9896,5.83,4.9,8.3,50,65
,Avg Tm/G,,17.7,32.2,54.8,204.5,1.3,4.1,1.3,4.2,,7.0,6.0,12.8,204.5,70.7,2.9,22.1,5.83,4.9,8.3,,
