Rk,Tm,G,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds,NY/A,ANY/A,Sk%,4QC,GWD
1,Houston Oilers,16,399,639,62.4,4805,37,5.8,15,2.3,87,7.9,8.0,12.7,300.3,96.7,39,267,7.1,7.2,5.8,1,1
2,San Francisco 49ers,16,360,583,61.7,4177,28,4.8,16,2.7,78,7.5,7.2,12.1,261.1,89.4,37,194,6.7,6.5,6.0,4,6
3,Los Angeles Rams,16,310,561,55.3,3818,24,4.3,17,3.0,55,7.2,6.7,13.0,238.6,79.6,30,198,6.5,6.0,5.1,,
4,Miami Dolphins,16,310,539,57.5,3512,21,3.9,12,2.2,69,6.7,6.5,11.6,219.5,81.6,16,99,6.3,6.1,2.9,4,4
5,Washington Redskins,16,301,536,56.2,3479,22,4.1,22,4.1,53,6.7,5.7,12.0,217.4,73.5,22,132,6.2,5.2,3.9,2,2
6,Atlanta Falcons,16,293,528,55.5,3461,21,4.0,18,3.4,75,7.1,6.3,12.7,216.3,76.8,46,265,6.0,5.4,8.0,1,1
7,Denver Broncos,16,305,527,57.9,3341,15,2.8,18,3.4,66,7.0,6.0,12.0,208.8,74.6,46,330,5.8,4.9,8.0,1,3
8,Green Bay Packers,16,302,541,55.8,3306,20,3.7,21,3.9,76,6.8,5.8,12.2,206.6,73.2,62,390,5.5,4.6,10.3,2,2
9,Kansas City Chiefs,16,260,449,57.9,3267,23,5.1,5,1.1,90,7.7,8.2,13.3,204.2,94.9,22,191,6.9,7.4,4.7,2,3
10,Buffalo Bills,16,263,425,61.9,3196,28,6.6,11,2.6,71,8.0,8.2,12.9,199.8,98.2,27,208,7.1,7.2,6.0,1,1
11,Minnesota Vikings,16,265,497,53.3,3167,25,5.0,24,4.8,78,6.9,5.8,13.0,197.9,72.0,49,278,5.8,4.7,9.0,2,2
12,Cleveland Browns,16,301,573,52.5,3147,13,2.3,23,4.0,50,5.9,4.6,11.3,196.7,61.5,42,260,5.1,3.9,6.8,1,1
13,Philadelphia Eagles,16,281,479,58.7,3144,34,7.1,13,2.7,95,7.5,7.7,12.7,196.5,94.5,50,438,5.9,6.1,9.5,3,3
14,Detroit Lions,16,242,460,52.6,3050,24,5.2,20,4.3,68,7.2,6.3,13.8,190.6,75.3,44,278,6.1,5.2,8.7,0,2
15,Cincinnati Bengals,16,237,425,55.8,2943,25,5.9,23,5.4,53,7.4,6.2,13.3,183.9,76.5,34,209,6.4,5.2,7.4,2,4
16,Indianapolis Colts,16,269,488,55.1,2873,22,4.5,21,4.3,75,6.8,5.7,12.3,179.6,73.3,51,424,5.3,4.4,9.5,5,4
17,Tampa Bay Buccaneers,16,245,448,54.7,2849,18,4.0,24,5.4,89,7.3,5.7,13.4,178.1,69.3,53,433,5.7,4.2,10.6,3,3
18,Seattle Seahawks,16,265,448,59.2,2834,15,3.3,20,4.5,63,7.1,5.8,12.1,177.1,73.6,40,360,5.8,4.6,8.2,4,5
19,Phoenix Cardinals,16,238,439,54.2,2833,16,3.6,18,4.1,68,7.1,6.0,13.1,177.1,71.9,43,285,5.9,4.9,8.9,1,1
20,New England Patriots,16,274,514,53.3,2765,14,2.7,20,3.9,56,6.2,5.0,11.7,172.8,65.4,58,443,4.8,3.8,10.1,,
21,New York Jets,16,246,451,54.5,2759,14,3.1,11,2.4,69,6.8,6.3,12.4,172.4,76.0,40,300,5.6,5.2,8.1,0,0
22,New York Giants,16,231,398,58.0,2756,18,4.5,5,1.3,80,7.3,7.6,12.5,172.3,90.6,29,142,6.5,6.8,6.8,4,4
23,Los Angeles Raiders,16,183,336,54.5,2688,19,5.7,10,3.0,68,8.6,8.4,15.8,168.0,89.7,29,197,7.4,7.2,7.9,2,3
24,San Diego Chargers,16,246,472,52.1,2683,18,3.8,19,4.0,45,6.0,5.0,11.5,167.7,66.5,20,157,5.5,4.4,4.1,,
25,Pittsburgh Steelers,16,237,408,58.1,2645,20,4.9,15,3.7,90,7.1,6.4,12.2,165.3,81.0,33,242,6.0,5.4,7.5,2,2
26,New Orleans Saints,16,226,447,50.6,2626,15,3.4,23,5.1,68,6.2,4.5,12.2,164.1,59.7,20,131,5.6,4.0,4.3,2,4
27,Dallas Cowboys,16,254,475,53.5,2581,12,2.5,24,5.1,61,6.1,4.3,11.4,161.3,59.4,43,317,5.0,3.4,8.3,4,6
28,Chicago Bears,16,229,430,53.3,2544,14,3.3,12,2.8,80,6.6,6.0,12.3,159.0,73.1,43,283,5.4,4.8,9.1,1,3
,Avg Team,,270.4,482.7,56.0,3116.0,20.5,4.3,17.1,3.6,71,7.0,6.3,12.5,194.8,75.0,38.1,266.1,5.98,5.3,7.3,1.9,2.5
,League Total,,7572,13516,56.0,87249,575,4.3,480,3.6,95,7.0,6.3,12.5,194.8,75.0,1068,7451,5.98,5.3,7.3,54,70
,Avg Tm/G,,16.9,30.2,56.0,194.8,1.3,4.3,1.1,3.6,,7.0,6.3,12.5,194.8,75.0,2.4,16.6,5.98,5.3,7.3,,
