Rk,Tm,G,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds,NY/A,ANY/A,Sk%,4QC,GWD
1,San Diego Chargers,9,208,338,61.5,2927,19,5.6,12,3.6,66,8.9,8.5,14.5,325.2,94.6,12,94,8.4,7.9,3.4,2,3
2,San Francisco 49ers,9,215,348,61.8,2502,17,4.9,11,3.2,55,7.7,7.2,12.4,278.0,88.6,20,166,6.8,6.4,5.4,2,2
3,Cincinnati Bengals,9,219,310,70.6,2339,12,3.9,9,2.9,56,8.1,7.5,11.4,259.9,95.4,27,162,6.9,6.5,8.0,,
4,Los Angeles Rams,9,166,297,55.9,1999,11,3.7,14,4.7,85,7.2,5.8,12.9,222.1,71.3,15,137,6.4,5.1,4.8,1,1
5,Minnesota Vikings,9,187,334,56.0,1967,15,4.5,12,3.6,65,6.3,5.6,11.3,218.6,75.0,22,138,5.5,4.9,6.2,2,3
6,Tampa Bay Buccaneers,9,164,308,53.2,1943,9,2.9,11,3.6,62,6.7,5.7,12.6,215.9,69.3,11,128,6.1,5.1,3.4,2,2
7,New York Jets,9,165,279,59.1,1901,16,5.7,9,3.2,56,7.6,7.2,12.8,211.2,88.5,23,206,6.3,6.0,7.6,1,1
8,New York Giants,9,161,298,54.0,1887,10,3.4,9,3.0,47,6.8,6.1,12.5,209.7,73.9,17,130,6.0,5.3,5.4,2,2
9,Dallas Cowboys,9,160,258,62.0,1886,16,6.2,14,5.4,49,8.3,7.1,13.4,209.6,86.5,25,264,6.7,5.6,8.8,0,0
10,Los Angeles Raiders,9,154,267,57.7,1875,14,5.2,15,5.6,52,7.8,6.3,13.5,208.3,76.8,23,211,6.5,5.1,7.9,5,4
11,Philadelphia Eagles,9,168,288,58.3,1856,12,4.2,13,4.5,57,7.3,6.1,12.5,206.2,76.2,31,244,5.8,4.7,9.7,2,2
12,Washington Redskins,9,162,253,64.0,1845,13,5.1,9,3.6,78,8.2,7.6,12.8,205.0,91.8,30,223,6.5,6.0,10.6,3,3
13,Cleveland Browns,9,174,334,52.1,1845,9,2.7,16,4.8,56,6.2,4.5,11.8,205.0,60.2,26,212,5.1,3.6,7.2,1,2
14,Green Bay Packers,9,143,267,53.6,1829,12,4.5,15,5.6,80,7.7,6.1,14.5,203.2,70.6,32,239,6.1,4.7,10.7,2,2
15,Denver Broncos,9,181,311,58.2,1819,8,2.6,19,6.1,51,6.5,4.3,11.2,202.1,60.8,24,200,5.4,3.4,7.2,2,2
16,Seattle Seahawks,9,176,326,54.0,1799,9,2.8,13,4.0,50,6.3,5.1,11.8,199.9,66.1,36,269,5.0,3.9,9.9,2,2
17,Pittsburgh Steelers,9,141,275,51.3,1783,17,6.2,16,5.8,74,7.0,5.6,13.6,198.1,70.3,19,139,6.1,4.8,6.5,1,1
18,Atlanta Falcons,9,176,275,64.0,1782,9,3.3,11,4.0,86,7.2,6.1,11.3,198.0,79.8,25,210,5.9,4.9,8.3,1,1
19,Houston Oilers,9,153,287,53.3,1574,12,4.2,15,5.2,54,6.6,5.0,12.3,174.9,66.0,39,308,4.8,3.5,12.0,1,1
20,Buffalo Bills,9,149,273,54.6,1556,8,2.9,17,6.2,47,6.1,3.9,11.2,172.9,56.9,12,115,5.5,3.3,4.2,1,1
21,Kansas City Chiefs,9,145,264,54.9,1555,10,3.8,8,3.0,51,7.1,6.5,12.9,172.8,77.3,40,309,5.1,4.6,13.2,,
22,Detroit Lions,9,136,285,47.7,1512,12,4.2,18,6.3,70,6.2,4.2,12.9,168.0,55.2,30,242,4.8,3.0,9.5,1,1
23,Chicago Bears,9,141,262,53.8,1505,10,3.8,11,4.2,50,6.7,5.5,12.4,167.2,70.0,33,244,5.1,4.1,11.2,0,1
24,Baltimore Colts,9,142,283,50.2,1439,6,2.1,10,3.5,53,5.7,4.5,11.4,159.9,60.0,20,174,4.7,3.7,6.6,1,0
25,New Orleans Saints,9,137,248,55.2,1398,8,3.2,14,5.6,48,6.3,4.4,11.5,155.3,61.7,23,173,5.2,3.4,8.5,,
26,St. Louis Cardinals,9,129,240,53.8,1333,6,2.5,6,2.5,42,6.6,5.9,12.2,148.1,72.2,32,243,4.9,4.3,11.8,1,2
27,Miami Dolphins,9,129,238,54.2,1314,8,3.4,13,5.5,46,5.9,4.1,10.9,146.0,60.2,11,87,5.3,3.6,4.4,2,2
28,New England Patriots,9,93,187,49.7,1286,12,6.4,9,4.8,75,7.6,6.7,15.3,142.9,76.5,15,134,6.4,5.5,7.4,0,2
,Avg Team,,159.8,283.3,56.4,1794.9,11.4,4.0,12.5,4.4,59,7.0,5.8,12.4,199.4,70.6,24.0,192.9,5.84,4.8,7.8,1.4,1.5
,League Total,,4474,7933,56.4,50256,320,4.0,349,4.4,86,7.0,5.8,12.4,199.4,70.6,673,5401,5.84,4.8,7.8,38,43
,Avg Tm/G,,17.8,31.5,56.4,199.4,1.3,4.0,1.4,4.4,,7.0,5.8,12.4,199.4,70.6,2.7,21.4,5.84,4.8,7.8,,
