Rk,Tm,G,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds,NY/A,ANY/A,Sk%,4QC,GWD,EXP
1,Arizona Cardinals,16,419,670,62.5,4437,21,3.1,21,3.1,63,7.0,6.3,11.3,277.3,81.0,45,286,6.2,5.5,6.3,2,2,20.17
2,New England Patriots,16,352,564,62.4,4120,28,5.0,15,2.7,71,7.7,7.5,12.3,257.5,91.5,28,202,7.0,6.8,4.7,3,4,118.13
3,Indianapolis Colts,16,347,515,67.4,4096,31,6.0,11,2.1,80,8.1,8.4,12.1,256.0,103.3,20,95,7.7,7.9,3.7,1,1,200.41
4,St. Louis Rams,16,392,599,65.4,4036,23,3.8,24,4.0,83,7.3,6.2,11.1,252.3,83.0,46,315,6.3,5.3,7.1,3,5,72.85
5,Cincinnati Bengals,16,362,538,67.3,3820,32,5.9,14,2.6,70,7.3,7.3,10.9,238.8,97.6,21,115,6.8,6.9,3.8,1,3,111.15
6,Kansas City Chiefs,16,317,507,62.5,3810,17,3.4,10,2.0,60,7.9,7.7,12.7,238.1,90.1,32,204,7.1,6.9,5.9,2,3,81.85
7,Green Bay Packers,16,383,626,61.2,3766,20,3.2,30,4.8,59,6.3,4.8,10.3,235.4,70.1,27,198,5.8,4.3,4.1,1,1,-6.38
8,Philadelphia Eagles,16,337,620,54.4,3677,21,3.4,20,3.2,91,6.3,5.5,11.6,229.8,71.5,42,226,5.6,4.8,6.3,2,4,-60.11
9,Tennessee Titans,16,358,594,60.3,3597,20,3.4,14,2.4,57,6.4,6.0,10.6,224.8,80.3,31,200,5.8,5.4,5.0,0,1,-52.09
10,Oakland Raiders,16,316,591,53.5,3582,21,3.6,14,2.4,79,6.6,6.2,12.3,223.9,76.0,45,301,5.6,5.3,7.1,1,1,7.16
11,New York Giants,16,294,558,52.7,3578,24,4.3,17,3.0,78,6.7,6.2,12.8,223.6,75.7,28,184,6.1,5.6,4.8,1,2,34.22
12,San Diego Chargers,16,338,526,64.3,3495,27,5.1,16,3.0,54,7.1,6.8,11.1,218.4,89.7,31,243,6.3,6.0,5.6,2,2,61.92
13,Seattle Seahawks,16,307,474,64.8,3458,25,5.3,10,2.1,56,7.7,7.8,11.8,216.1,96.8,27,174,6.9,7.0,5.4,2,2,123.84
14,New Orleans Saints,16,308,553,55.7,3343,15,2.7,24,4.3,66,6.5,5.1,11.7,208.9,66.6,41,261,5.6,4.3,6.9,1,2,-34.77
15,Dallas Cowboys,16,300,500,60.0,3341,23,4.6,17,3.4,71,7.3,6.7,12.1,208.8,83.6,50,298,6.1,5.5,9.1,4,5,39.71
16,Miami Dolphins,16,291,556,52.3,3300,22,4.0,16,2.9,77,6.2,5.7,11.9,206.3,72.8,26,158,5.7,5.2,4.5,2,3,-6.74
17,Carolina Panthers,16,269,449,59.9,3271,25,5.6,16,3.6,80,7.8,7.3,13.0,204.4,88.1,28,214,6.9,6.4,5.9,4,4,76.88
18,Denver Broncos,16,279,465,60.0,3227,18,3.9,7,1.5,72,7.3,7.4,12.1,201.7,88.9,23,146,6.6,6.7,4.7,1,2,53.70
19,Jacksonville Jaguars,16,283,487,58.1,3190,21,4.3,6,1.2,45,6.9,7.2,11.8,199.4,88.4,32,162,6.1,6.4,6.2,4,5,41.39
20,Minnesota Vikings,16,323,510,63.3,3146,18,3.5,16,3.1,80,6.8,6.1,10.7,196.6,81.7,54,303,5.6,4.9,9.6,1,3,-7.19
21,Washington Redskins,16,278,481,57.8,3106,25,5.2,11,2.3,78,7.0,7.0,12.0,194.1,87.0,31,240,6.1,6.1,6.1,2,3,31.38
22,Baltimore Ravens,16,335,562,59.6,3088,17,3.0,21,3.7,48,6.0,4.9,10.1,193.0,71.3,42,293,5.1,4.1,7.0,2,3,-48.16
23,Cleveland Browns,16,297,497,59.8,3047,15,3.0,17,3.4,80,6.7,5.8,11.2,190.4,75.5,46,276,5.6,4.8,8.5,2,2,-49.74
24,Pittsburgh Steelers,16,228,379,60.2,2926,21,5.5,14,3.7,85,8.2,7.6,13.6,182.9,89.4,32,178,7.1,6.6,7.8,3,3,130.53
25,Tampa Bay Buccaneers,16,303,487,62.2,2890,17,3.5,14,2.9,80,6.5,5.9,10.5,180.6,80.7,41,281,5.5,4.9,7.8,3,3,-44.87
26,Detroit Lions,16,297,520,57.1,2848,15,2.9,18,3.5,86,5.8,4.8,10.2,178.0,69.1,31,173,5.2,4.2,5.6,1,2,-59.13
27,Atlanta Falcons,16,247,451,54.8,2679,19,4.2,13,2.9,58,6.4,6.0,11.8,167.4,76.6,39,228,5.5,5.0,8.0,0,1,-16.09
28,New York Jets,16,268,470,57.0,2642,11,2.3,15,3.2,60,6.4,5.4,11.2,165.1,70.6,53,347,5.1,4.2,10.1,1,0,-43.37
29,Buffalo Bills,16,269,459,58.6,2515,18,3.9,16,3.5,65,6.2,5.4,10.6,157.2,75.4,43,337,5.0,4.3,8.6,1,1,-38.29
30,Houston Texans,16,270,449,60.1,2237,15,3.3,13,2.9,53,5.9,5.3,9.9,139.8,76.0,68,424,4.3,3.8,13.2,0,1,-82.36
31,Chicago Bears,16,219,418,52.4,2002,11,2.6,15,3.6,54,5.3,4.2,10.1,125.1,61.5,31,199,4.5,3.4,6.9,0,1,-76.70
32,San Francisco 49ers,16,204,389,52.4,1898,8,2.1,21,5.4,89,5.6,3.6,10.7,118.6,53.6,48,292,4.3,2.5,11.0,1,2,-128.51
,Avg Team,,305.9,514.5,59.5,3255.3,20.1,3.9,15.8,3.1,70,6.8,6.2,11.4,203.5,78.2,36.9,236.0,5.90,5.3,6.7,1.7,2.4,14.1
,League Total,,9790,16464,59.5,104168,644,3.9,506,3.1,91,6.8,6.2,11.4,203.5,78.2,1182,7553,5.90,5.3,6.7,54,77,
,Avg Tm/G,,19.1,32.2,59.5,203.5,1.3,3.9,1.0,3.1,,6.8,6.2,11.4,203.5,78.2,2.3,14.8,5.90,5.3,6.7,,,
