Rk,Tm,G,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds,NY/A,ANY/A,Sk%,4QC,GWD,EXP
1,Indianapolis Colts,16,381,569,67.0,4179,29,5.1,10,1.8,79,7.5,7.8,11.3,261.2,99.0,19,110,7.1,7.3,3.2,3,4,183.87
2,Kansas City Chiefs,16,339,536,63.2,3981,24,4.5,12,2.2,67,7.7,7.6,12.1,248.8,92.4,21,132,7.1,7.0,3.8,1,2,126.10
3,St. Louis Rams,16,377,600,62.8,3961,23,3.8,23,3.8,48,7.1,6.2,11.4,247.6,81.0,43,326,6.2,5.3,6.7,4,4,43.19
4,Minnesota Vikings,16,333,520,64.0,3951,32,6.2,13,2.5,72,8.0,8.1,12.5,246.9,99.0,42,218,7.0,7.1,7.5,0,1,91.90
5,Tennessee Titans,16,315,502,62.7,3878,30,6.0,9,1.8,73,8.0,8.4,12.8,242.4,100.3,25,153,7.4,7.7,4.7,2,3,131.32
6,Tampa Bay Buccaneers,16,369,592,62.3,3805,27,4.6,22,3.7,76,6.7,5.9,10.7,237.8,81.5,23,136,6.2,5.5,3.7,,,-5.47
7,Seattle Seahawks,16,317,521,60.8,3618,27,5.2,16,3.1,80,7.4,7.1,12.2,226.1,88.2,43,254,6.4,6.1,7.6,2,3,90.46
8,New Orleans Saints,16,314,535,58.7,3438,25,4.7,8,1.5,76,6.8,7.1,11.6,214.9,88.7,36,203,6.0,6.3,6.3,2,3,41.67
9,New England Patriots,16,320,537,59.6,3432,23,4.3,13,2.4,82,6.8,6.6,11.4,214.5,84.3,32,219,6.0,5.8,5.6,4,7,56.90
10,San Francisco 49ers,16,299,511,58.5,3408,25,4.9,15,2.9,75,7.0,6.6,11.9,213.0,84.0,28,158,6.3,6.0,5.2,1,1,56.41
11,New York Giants,16,344,616,55.8,3383,16,2.6,20,3.2,77,5.9,5.0,10.6,211.4,68.4,44,259,5.1,4.2,6.7,1,3,-70.58
12,Cincinnati Bengals,16,324,520,62.3,3342,26,5.0,15,2.9,82,6.9,6.6,11.1,208.9,87.4,37,249,6.0,5.7,6.6,3,3,65.25
13,New York Jets,16,312,496,62.9,3316,20,4.0,14,2.8,65,7.1,6.6,11.3,207.3,85.8,31,208,6.3,5.9,5.9,3,3,31.25
14,Pittsburgh Steelers,16,306,532,57.5,3304,19,3.6,17,3.2,81,6.7,5.9,11.6,206.5,76.4,42,244,5.8,5.1,7.3,,,-9.05
15,Jacksonville Jaguars,16,303,515,58.8,3285,17,3.3,17,3.3,84,6.6,5.8,11.3,205.3,76.0,28,136,6.0,5.3,5.2,1,2,-4.58
16,Green Bay Packers,16,310,473,65.5,3240,32,6.8,21,4.4,66,7.1,6.5,10.9,202.5,90.5,19,137,6.6,6.0,3.9,2,3,62.13
