Rk,Tm,G,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds,NY/A,ANY/A,Sk%,4QC,GWD
1,Miami Dolphins,16,363,621,58.5,4516,29,4.7,23,3.7,80,7.3,6.6,12.6,282.3,81.5,7,41,7.2,6.5,1.1,1,2
2,Washington Redskins,16,327,592,55.2,4136,33,5.6,25,4.2,60,7.3,6.5,13.3,258.5,79.6,24,203,6.7,6.0,3.9,3,4
3,Los Angeles Rams,16,312,522,59.8,3805,31,5.9,18,3.4,69,7.7,7.3,12.8,237.8,89.3,28,197,6.9,6.6,5.1,,
4,Minnesota Vikings,16,294,520,56.5,3789,20,3.8,18,3.5,68,7.9,7.1,13.9,236.8,80.4,47,311,6.7,6.0,8.3,1,1
5,Phoenix Cardinals,16,322,562,57.3,3780,26,4.6,19,3.4,93,7.5,6.9,13.0,236.3,82.2,60,411,6.1,5.5,9.6,3,3
6,Denver Broncos,16,324,581,55.8,3691,24,4.1,22,3.8,86,6.8,5.9,12.2,230.7,74.8,32,250,6.0,5.2,5.2,2,1
7,Dallas Cowboys,16,307,555,55.3,3488,21,3.8,27,4.9,61,6.7,5.3,12.1,218.0,68.5,35,239,5.9,4.6,5.9,1,2
8,Philadelphia Eagles,16,309,581,53.2,3485,25,4.3,17,2.9,80,6.8,6.3,12.7,217.8,76.7,57,442,5.5,5.0,8.9,3,3
9,Cleveland Browns,16,313,537,58.3,3436,19,3.5,17,3.2,77,6.9,6.1,11.8,214.8,77.9,36,250,6.0,5.3,6.3,4,5
10,San Francisco 49ers,16,293,502,58.4,3377,21,4.2,14,2.8,96,7.3,6.9,12.5,211.1,83.5,47,298,6.2,5.8,8.6,4,4
11,Cincinnati Bengals,16,225,392,57.4,3347,28,7.1,14,3.6,86,9.2,9.0,16.0,209.2,97.0,30,245,7.9,7.8,7.1,3,4
12,Tampa Bay Buccaneers,16,253,512,49.4,3308,16,3.1,36,7.0,59,7.0,4.5,14.3,206.8,53.7,34,300,6.1,3.7,6.2,2,3
13,Green Bay Packers,16,319,582,54.8,3285,13,2.2,24,4.1,56,6.2,4.8,11.3,205.3,63.9,51,324,5.2,3.9,8.1,,
14,New York Giants,16,290,525,55.2,3266,22,4.2,14,2.7,85,7.1,6.7,12.8,204.1,80.5,60,450,5.6,5.3,10.3,2,2
15,Buffalo Bills,16,271,454,59.7,3182,15,3.3,17,3.7,66,7.5,6.5,12.6,198.9,78.5,30,229,6.6,5.6,6.2,3,5
16,Kansas City Chiefs,16,282,528,53.4,3131,16,3.0,21,4.0,80,6.6,5.4,12.4,195.7,67.6,43,353,5.5,4.4,7.5,3,3
17,Los Angeles Raiders,16,219,496,44.2,3109,21,4.2,20,4.0,85,7.1,6.1,16.0,194.3,65.6,46,394,5.7,4.9,8.5,1,2
18,New Orleans Saints,16,286,498,57.4,3085,21,4.2,16,3.2,40,6.5,5.9,11.4,192.8,77.9,24,171,5.9,5.3,4.6,1,2
19,New York Jets,16,299,538,55.6,3083,20,3.7,11,2.0,50,6.3,6.1,11.3,192.7,78.4,42,291,5.3,5.2,7.2,2,3
20,Chicago Bears,16,248,461,53.8,2998,13,2.8,15,3.3,76,6.9,6.0,12.8,187.4,71.4,24,175,6.2,5.3,4.9,2,2
21,Pittsburgh Steelers,16,226,489,46.2,2976,15,3.1,20,4.1,89,6.8,5.5,14.6,186.0,62.0,42,331,5.6,4.5,7.9,1,1
22,Houston Oilers,16,218,428,50.9,2956,21,4.9,18,4.2,57,7.4,6.5,14.5,184.8,74.2,24,210,6.5,5.7,5.3,3,4
23,Seattle Seahawks,16,245,437,56.1,2756,22,5.0,20,4.6,75,6.8,5.8,12.2,172.3,74.9,29,223,5.9,4.9,6.2,2,2
24,Indianapolis Colts,16,222,403,55.1,2621,15,3.7,22,5.5,58,7.1,5.4,12.9,163.8,67.3,34,244,6.0,4.4,7.8,2,2
25,Atlanta Falcons,16,250,481,52.0,2566,13,2.7,19,4.0,68,6.1,4.8,11.7,160.4,63.2,43,348,4.9,3.8,8.2,1,3
26,San Diego Chargers,16,241,468,51.5,2388,11,2.4,20,4.3,59,5.6,4.2,10.9,149.3,58.4,31,240,4.8,3.4,6.2,1,1
27,New England Patriots,16,199,389,51.2,2173,12,3.1,28,7.2,80,6.0,3.4,11.7,135.8,50.0,23,160,5.3,2.8,5.6,1,2
28,Detroit Lions,16,213,477,44.7,2162,13,2.7,18,3.8,56,5.4,4.2,12.1,135.1,55.1,52,410,4.1,3.0,9.8,,
,Avg Team,,273.9,504.7,54.3,3210.5,19.9,3.9,19.8,3.9,71,6.9,5.9,12.7,200.7,70.6,37.0,276.4,5.93,5.0,6.8,1.9,2.4
,League Total,,7670,14131,54.3,89895,556,3.9,553,3.9,96,6.9,5.9,12.7,200.7,70.6,1035,7740,5.93,5.0,6.8,52,66
,Avg Tm/G,,17.1,31.5,54.3,200.7,1.2,3.9,1.2,3.9,,6.9,5.9,12.7,200.7,70.6,2.3,17.3,5.93,5.0,6.8,,
