Rk,Tm,G,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds,NY/A,ANY/A,Sk%,4QC,GWD
1,Miami Dolphins,16,367,572,64.2,5018,49,8.6,18,3.1,80,9.0,9.3,14.0,313.6,108.5,14,128,8.6,8.9,2.4,2,3
2,San Diego Chargers,16,401,662,60.6,4643,25,3.8,21,3.2,88,7.4,6.8,12.3,290.2,82.9,36,285,6.7,6.0,5.2,2,2
3,St. Louis Cardinals,16,347,566,61.3,4257,28,4.9,16,2.8,83,8.2,7.9,13.4,266.1,92.0,49,377,6.9,6.7,8.0,3,4
4,San Francisco 49ers,16,312,496,62.9,3901,32,6.5,10,2.0,80,8.2,8.6,13.1,243.8,101.9,27,178,7.5,7.8,5.2,3,3
5,New York Giants,16,288,535,53.8,3632,22,4.1,18,3.4,65,7.6,6.9,14.1,227.0,78.3,55,434,6.2,5.5,9.3,1,1
6,Dallas Cowboys,16,322,604,53.3,3606,19,3.1,26,4.3,68,6.6,5.3,12.4,225.4,66.6,48,389,5.5,4.3,7.4,2,4
7,Kansas City Chiefs,16,305,593,51.4,3568,21,3.5,22,3.7,65,6.5,5.6,12.7,223.0,68.5,33,301,5.7,4.8,5.3,2,2
8,Tampa Bay Buccaneers,16,334,563,59.3,3545,22,3.9,23,4.1,74,6.9,5.9,11.7,221.6,76.4,45,362,5.8,4.9,7.4,2,3
9,Green Bay Packers,16,281,506,55.5,3430,30,5.9,30,5.9,79,7.4,5.9,13.3,214.4,74.2,42,310,6.3,4.9,7.7,2,2
10,Seattle Seahawks,16,283,497,56.9,3423,32,6.4,26,5.2,80,7.5,6.5,13.3,213.9,80.6,42,328,6.4,5.4,7.8,1,2
11,Philadelphia Eagles,16,331,606,54.6,3360,19,3.1,17,2.8,90,6.3,5.7,11.5,210.0,72.6,60,463,5.0,4.5,9.0,2,2
12,Los Angeles Raiders,16,266,491,54.2,3358,21,4.3,28,5.7,92,7.6,5.9,14.0,209.9,69.3,54,360,6.2,4.6,9.9,4,5
13,Detroit Lions,16,298,531,56.1,3301,19,3.6,22,4.1,77,7.1,6.0,12.7,206.3,73.2,61,486,5.6,4.5,10.3,1,3
14,Cincinnati Bengals,16,306,496,61.7,3301,17,3.4,22,4.4,80,7.4,6.1,12.0,206.3,77.2,45,358,6.1,4.9,8.3,2,3
15,Pittsburgh Steelers,16,240,443,54.2,3241,25,5.6,25,5.6,80,7.9,6.5,14.7,202.6,75.6,35,278,6.8,5.5,7.3,1,3
16,New England Patriots,16,292,500,58.4,3231,26,5.2,14,2.8,76,7.4,7.2,12.6,201.9,87.1,66,454,5.7,5.5,11.7,4,4
17,Houston Oilers,16,282,487,57.9,3228,14,2.9,15,3.1,76,7.4,6.6,12.8,201.8,78.0,49,382,6.0,5.3,9.1,1,2
18,Cleveland Browns,16,273,495,55.2,3132,14,2.8,23,4.6,64,7.1,5.5,12.8,195.8,67.5,55,358,5.7,4.3,10.0,1,3
19,Washington Redskins,16,286,485,59.0,3076,24,4.9,13,2.7,80,7.0,6.8,11.9,192.3,85.9,48,341,5.8,5.6,9.0,3,3
20,Atlanta Falcons,16,294,478,61.5,3050,14,2.9,20,4.2,61,7.4,6.1,12.1,190.6,76.6,67,496,5.6,4.5,12.3,1,1
21,New York Jets,16,272,488,55.7,2959,20,4.1,21,4.3,49,6.8,5.7,12.3,184.9,72.8,52,382,5.5,4.5,9.6,2,2
22,Minnesota Vikings,16,281,533,52.7,2872,18,3.4,25,4.7,70,6.3,4.8,11.9,179.5,63.8,64,465,4.8,3.5,10.7,0,1
23,Denver Broncos,16,263,475,55.4,2859,22,4.6,17,3.6,73,6.6,5.9,11.8,178.7,76.1,35,257,5.6,5.0,6.9,4,4
24,New Orleans Saints,16,246,476,51.7,2837,21,4.4,28,5.9,74,6.7,5.0,13.0,177.3,63.3,45,361,5.4,3.8,8.6,5,5
25,Buffalo Bills,16,298,588,50.7,2698,18,3.1,30,5.1,70,5.5,3.8,10.9,168.6,56.3,60,554,4.2,2.6,9.3,,
26,Chicago Bears,16,226,390,57.9,2463,14,3.6,15,3.8,61,6.9,5.9,11.9,153.9,75.1,36,232,5.8,4.9,8.5,2,2
27,Los Angeles Rams,16,176,358,49.2,2142,16,4.5,17,4.7,68,6.7,5.4,13.5,133.9,65.9,32,240,5.5,4.4,8.2,3,4
28,Indianapolis Colts,16,206,411,50.1,2107,13,3.2,22,5.4,74,6.2,4.4,12.3,131.7,57.9,58,436,4.5,2.9,12.4,1,2
,Avg Team,,288.4,511.6,56.4,3294.2,22.0,4.3,20.9,4.1,74,7.1,6.2,12.7,205.9,73.2,46.9,357.0,5.90,5.0,8.4,2.0,2.7
,League Total,,8076,14325,56.4,92238,615,4.3,584,4.1,92,7.1,6.2,12.7,205.9,73.2,1313,9995,5.90,5.0,8.4,57,75
,Avg Tm/G,,18.0,32.0,56.4,205.9,1.4,4.3,1.3,4.1,,7.1,6.2,12.7,205.9,73.2,2.9,22.3,5.90,5.0,8.4,,
