Rk,Tm,G,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds,NY/A,ANY/A,Sk%,4QC,GWD,EXP
1,Indianapolis Colts,16,450,679,66.3,4609,33,4.9,17,2.5,73,6.9,6.8,10.4,288.1,91.9,16,91,6.6,6.5,2.3,0,2,164.23
2,San Diego Chargers,16,359,544,66.0,4519,30,5.5,13,2.4,59,8.7,8.8,13.2,282.4,101.9,38,227,7.8,7.8,6.5,1,1,163.92
3,New Orleans Saints,16,450,661,68.1,4441,33,5.0,22,3.3,80,7.0,6.5,10.3,277.6,90.8,26,195,6.5,6.0,3.8,4,5,137.35
4,Houston Texans,16,365,574,63.6,4144,24,4.2,12,2.1,60,7.6,7.5,12.0,259.0,92.0,32,226,6.8,6.7,5.3,2,2,107.12
5,Green Bay Packers,16,352,541,65.1,4124,31,5.7,13,2.4,86,8.0,8.1,12.4,257.8,98.9,38,231,7.1,7.2,6.6,0,1,177.59
6,Dallas Cowboys,16,379,576,65.8,4042,29,5.0,19,3.3,71,7.3,6.8,11.1,252.6,90.4,31,166,6.7,6.2,5.1,2,3,50.85
7,Denver Broncos,16,334,580,57.6,4038,25,4.3,12,2.1,71,7.4,7.4,12.9,252.4,86.8,40,269,6.5,6.4,6.5,2,2,58.91
8,Washington Redskins,16,349,605,57.7,3931,21,3.5,19,3.1,76,7.1,6.4,12.3,245.7,78.1,46,348,6.0,5.4,7.1,2,3,-14.25
9,Philadelphia Eagles,16,348,561,62.0,3906,28,5.0,13,2.3,91,7.5,7.5,12.1,244.1,92.1,49,309,6.4,6.4,8.0,4,3,45.25
10,New York Giants,16,339,539,62.9,3885,31,5.8,25,4.6,92,7.4,6.5,11.8,242.8,85.3,16,117,7.0,6.1,2.9,1,1,66.22
11,New England Patriots,16,331,507,65.3,3847,37,7.3,5,1.0,79,7.9,8.9,12.2,240.4,109.8,25,175,7.2,8.2,4.7,2,3,147.73
12,Detroit Lions,16,383,633,60.5,3810,26,4.1,16,2.5,87,6.3,6.0,10.4,238.1,82.0,27,191,5.8,5.5,4.1,4,3,24.52
13,Cincinnati Bengals,16,365,590,61.9,3767,26,4.4,20,3.4,78,6.8,6.1,10.9,235.4,82.4,28,221,6.1,5.5,4.5,1,1,49.80
14,Pittsburgh Steelers,16,298,479,62.2,3601,22,4.6,9,1.9,56,8.1,8.2,13.1,225.1,95.2,43,289,6.9,7.0,8.2,2,5,96.31
15,Atlanta Falcons,16,361,577,62.6,3567,28,4.9,9,1.6,46,6.5,6.7,10.3,222.9,90.8,23,158,5.9,6.2,3.8,5,6,118.37
16,Miami Dolphins,16,335,557,60.1,3527,17,3.1,21,3.8,57,6.7,5.7,11.2,220.4,74.8,38,228,5.9,4.9,6.4,0,1,7.64
