Rk,Tm,G,Ret,Yds,TD,Lng,Y/R,Rt,Yds,TD,Lng,Y/Rt,APYd
1,Kansas City Chiefs,16,50,605,1,81,12.1,51,1430,1,99,28.0,7366
2,New York Jets,16,43,273,0,41,6.3,58,1342,0,87,23.1,7076
3,Cincinnati Bengals,16,40,436,0,49,10.9,45,1241,0,97,27.6,7370
4,Oakland Raiders,16,37,261,0,27,7.1,47,1027,0,42,21.9,5976
5,Indianapolis Colts,16,45,312,0,22,6.9,38,1065,0,76,28.0,8093
6,St. Louis Rams,16,37,482,2,90,13.0,45,1099,0,75,24.4,6915
7,Minnesota Vikings,16,27,297,0,35,11.0,54,1173,0,51,21.7,6819
8,San Francisco 49ers,16,35,227,0,23,6.5,45,1104,0,57,24.5,6943
9,Jacksonville Jaguars,16,37,264,0,23,7.1,43,1033,0,40,24.0,6424
10,Tennessee Titans,16,30,207,0,48,6.9,48,1121,0,52,23.4,6594
11,Chicago Bears,16,21,109,0,22,5.2,55,1290,1,101,23.5,6865
12,Seattle Seahawks,16,36,252,0,38,7.0,39,820,0,47,21.0,7306
13,New York Giants,16,29,224,0,25,7.7,44,1025,0,45,23.3,7324
14,Philadelphia Eagles,16,41,531,2,82,13.0,32,874,2,107,27.3,8049
15,Denver Broncos,16,41,296,0,22,7.2,32,802,0,77,25.1,7674
16,New England Patriots,16,41,431,1,84,10.5,31,693,0,81,22.4,7164
17,Baltimore Ravens,16,32,292,0,45,9.1,38,1077,1,108,28.3,7420
18,Buffalo Bills,16,37,354,1,75,9.6,33,770,1,102,23.3,6505
19,Atlanta Falcons,16,18,239,1,68,13.3,50,1174,0,66,23.5,7791
20,Carolina Panthers,16,30,239,1,79,8.0,37,805,0,49,21.8,6923
21,Pittsburgh Steelers,16,32,321,1,71,10.0,35,758,0,41,21.7,7811
22,Miami Dolphins,16,25,204,0,32,8.2,41,1082,0,74,26.4,7270
23,Washington Redskins,16,29,208,0,37,7.2,36,783,0,45,21.8,7159
24,Cleveland Browns,16,27,181,0,37,6.7,37,801,0,39,21.6,6410
25,Dallas Cowboys,16,30,275,0,38,9.2,33,790,0,42,23.9,7434
26,Tampa Bay Buccaneers,16,23,249,0,53,10.8,36,819,0,45,22.8,6051
27,Green Bay Packers,16,29,333,2,75,11.5,29,555,0,41,19.1,7287
28,Detroit Lions,16,32,284,0,28,8.9,25,612,0,41,24.5,6637
29,Houston Texans,16,34,208,0,21,6.1,20,422,0,41,21.1,6353
30,San Diego Chargers,16,23,203,0,58,8.8,26,577,0,35,22.2,6491
31,Arizona Cardinals,16,26,277,1,71,10.7,22,417,0,43,19.0,6015
32,New Orleans Saints,16,19,134,0,32,7.1,21,543,0,99,25.9,7425
,Avg Team,,32.4,287.8,0.4,48,8.9,38.3,910.1,0.2,64,23.8,7029.4
,League Total,,1036,9208,13,90,8.9,1226,29124,6,108,23.8,224940
,Avg Tm/G,,2.0,18.0,0.0,,8.9,2.4,56.9,0.0,,23.8,439.3
