Rk,Tm,G,Ret,Yds,TD,Lng,Y/R,Rt,Yds,TD,Lng,Y/Rt,APYd
1,Green Bay Packers,16,53,415,0,40,7.8,70,1379,0,35,19.7,7423
2,Seattle Seahawks,16,49,424,1,90,8.7,69,1548,0,50,22.4,7381
3,Tennessee Titans,16,37,467,3,90,12.6,79,1835,0,70,23.2,7440
4,Tampa Bay Buccaneers,16,54,353,0,18,6.5,61,1307,0,44,21.4,6197
5,Washington Redskins,16,39,342,1,87,8.8,73,1631,1,100,22.3,7361
6,New Orleans Saints,16,51,372,1,65,7.3,60,1377,0,51,23.0,8137
7,Carolina Panthers,16,49,225,0,24,4.6,62,1200,0,39,19.4,6603
8,Chicago Bears,16,50,607,3,84,12.1,59,1373,2,96,23.3,7402
9,Detroit Lions,16,35,396,0,48,11.3,74,1648,0,65,22.3,7397
10,Oakland Raiders,16,35,216,0,35,6.2,73,1811,0,50,24.8,6418
11,Cleveland Browns,16,36,371,0,81,10.3,71,1635,1,92,23.0,6620
12,San Francisco 49ers,16,28,237,0,60,8.5,79,1907,0,64,24.1,7252
13,Atlanta Falcons,16,37,288,0,41,7.8,68,1542,0,51,22.7,7524
14,Minnesota Vikings,16,38,374,1,71,9.8,66,1492,0,65,22.6,7120
15,Dallas Cowboys,16,40,335,1,56,8.4,64,1493,0,41,23.3,7909
16,New York Giants,16,33,288,0,38,8.7,70,1407,0,51,20.1,7154
17,Buffalo Bills,16,39,422,1,82,10.8,63,1503,0,88,23.9,6586
18,San Diego Chargers,16,45,382,0,50,8.5,55,1350,0,91,24.5,7785
19,Arizona Cardinals,16,25,250,0,37,10.0,73,1610,1,99,22.1,7225
20,Kansas City Chiefs,16,33,264,1,60,8.0,64,1404,0,60,21.9,7087
21,Cincinnati Bengals,16,36,239,0,38,6.6,59,1209,0,38,20.5,7141
22,St. Louis Rams,16,30,234,0,33,7.8,65,1383,0,40,21.3,7827
23,Philadelphia Eagles,16,36,339,0,23,9.4,58,1204,0,64,20.8,7915
24,New England Patriots,16,36,422,0,43,11.7,58,1553,1,93,26.8,7537
25,Houston Texans,16,23,242,0,58,10.5,71,1609,0,87,22.7,6693
26,Jacksonville Jaguars,16,45,361,0,29,8.0,49,1136,1,93,23.2,7083
27,Miami Dolphins,16,41,378,0,47,9.2,52,1102,0,46,21.2,6864
28,Baltimore Ravens,16,45,351,0,65,7.8,45,1046,0,72,23.2,6682
29,Pittsburgh Steelers,16,34,285,1,65,8.4,55,1214,0,76,22.1,7515
30,New York Jets,16,29,243,0,38,8.4,60,1445,2,103,24.1,6815
31,Denver Broncos,16,32,294,0,42,9.2,54,1187,0,64,22.0,6673
32,Indianapolis Colts,16,23,207,1,82,9.0,58,1368,0,70,23.6,7758
,Avg Team,,38.0,332.0,0.5,54,8.7,63.7,1434.6,0.3,67,22.5,7203.9
,League Total,,1216,10623,15,90,8.7,2037,45908,9,103,22.5,230524
,Avg Tm/G,,2.4,20.7,0.0,,8.7,4.0,89.7,0.0,,22.5,450.2
