Rk,Tm,G,Ret,Yds,TD,Lng,Y/R,Rt,Yds,TD,Lng,Y/Rt,APYd
1,New Orleans Saints,16,37,288,0,42,7.8,87,2027,0,68,23.3,7918
2,Minnesota Vikings,16,45,307,0,23,6.8,77,1647,0,53,21.4,7443
3,Carolina Panthers,16,39,420,1,70,10.8,76,1769,2,99,23.3,6717
4,Indianapolis Colts,16,29,290,1,78,10.0,84,1832,1,88,21.8,8414
5,San Diego Chargers,16,44,415,1,84,9.4,66,1716,2,93,26.0,7547
6,Arizona Cardinals,16,43,472,0,55,11.0,67,1487,0,70,22.2,7073
7,Detroit Lions,16,29,255,0,34,8.8,80,1876,0,91,23.5,7479
8,Tennessee Titans,16,36,282,0,36,7.8,71,1413,1,101,19.9,7388
9,Buffalo Bills,16,24,225,1,66,9.4,83,1651,0,37,19.9,7289
10,New York Giants,16,47,376,0,23,8.0,60,1062,0,43,17.7,6990
11,Washington Redskins,16,41,431,1,89,10.5,65,1354,0,41,20.8,6421
12,Seattle Seahawks,16,33,352,0,34,10.7,72,1496,0,64,20.8,6976
13,Baltimore Ravens,16,48,563,0,62,11.7,57,1347,0,76,23.6,7306
14,Kansas City Chiefs,16,44,326,0,26,7.4,61,1292,0,71,21.2,7501
15,Dallas Cowboys,16,41,493,1,65,12.0,64,1476,0,77,23.1,6531
16,Atlanta Falcons,16,34,463,0,74,13.6,70,1598,1,96,22.8,7524
17,Miami Dolphins,16,43,471,0,48,11.0,57,1222,0,55,21.4,6695
18,Denver Broncos,16,31,405,1,86,13.1,67,1576,0,52,23.5,7082
19,St. Louis Rams,16,43,400,0,32,9.3,55,1123,0,40,20.4,8505
20,Chicago Bears,16,45,405,0,35,9.0,51,1060,0,37,20.8,6464
21,Jacksonville Jaguars,16,38,333,0,24,8.8,58,1164,1,95,20.1,6885
22,Pittsburgh Steelers,16,50,420,0,39,8.4,46,884,0,81,19.2,7489
23,Oakland Raiders,16,29,339,1,88,11.7,66,1524,1,90,23.1,7410
24,Philadelphia Eagles,16,44,508,0,54,11.5,49,1165,1,94,23.8,6908
25,Cincinnati Bengals,16,31,290,0,86,9.4,62,1230,0,64,19.8,6641
26,Cleveland Browns,16,31,247,0,43,8.0,62,1285,0,51,20.7,6052
27,New England Patriots,16,33,440,2,85,13.3,59,1184,0,42,20.1,6719
28,Tampa Bay Buccaneers,16,38,396,1,84,10.4,54,1208,0,86,22.4,6586
29,New York Jets,16,34,323,0,35,9.5,56,1196,0,50,21.4,6439
30,Green Bay Packers,16,33,251,1,55,7.6,54,1008,0,53,18.7,6870
31,San Francisco 49ers,16,23,151,0,19,6.6,61,1336,0,65,21.9,7338
,Avg Team,,37.4,365.7,0.4,54,9.8,64.4,1393.8,0.3,68,21.6,7116.1
,League Total,,1160,11337,12,89,9.8,1997,43208,10,101,21.6,220600
,Avg Tm/G,,2.3,22.9,0.0,,9.8,4.0,87.1,0.0,,21.6,444.8
