Rk,Tm,G,Ret,Yds,TD,Lng,Y/R,Rt,Yds,TD,Lng,Y/Rt,APYd
1,San Diego Chargers,16,49,391,0,49,8.0,84,1804,0,60,21.5,7552
2,Atlanta Falcons,16,43,613,1,72,14.3,79,1572,0,52,19.9,6808
3,Houston Texans,16,40,266,0,40,6.7,80,1700,0,70,21.3,6489
4,Detroit Lions,16,47,576,2,89,12.3,70,1584,1,96,22.6,6744
5,Oakland Raiders,16,38,492,2,80,12.9,77,1596,1,85,20.7,6896
6,Pittsburgh Steelers,16,45,551,2,84,12.2,68,1405,0,53,20.7,6995
7,Chicago Bears,16,39,461,1,60,11.8,73,1738,2,89,23.8,6836
8,New Orleans Saints,16,40,360,0,27,9.0,72,1524,0,53,21.2,7533
9,Dallas Cowboys,16,51,390,0,46,7.6,60,1292,1,54,21.5,6999
10,New England Patriots,16,50,462,0,23,9.2,60,1428,1,92,23.8,7221
11,Baltimore Ravens,16,53,410,0,44,7.7,57,1222,0,75,21.4,6828
12,St. Louis Rams,16,39,337,0,44,8.6,70,1488,0,42,21.3,7758
13,Cleveland Browns,16,37,302,0,38,8.2,71,1501,0,69,21.1,6573
14,New York Giants,16,32,163,0,15,5.1,75,1492,0,36,19.9,6826
15,Minnesota Vikings,16,36,247,0,52,6.9,71,1428,0,48,20.1,8180
16,Carolina Panthers,16,45,453,1,53,10.1,60,1345,1,100,22.4,7106
17,Tennessee Titans,16,37,429,1,58,11.6,68,1299,0,39,19.1,7554
18,Arizona Cardinals,16,22,140,0,19,6.4,82,1881,1,100,22.9,6785
19,Buffalo Bills,16,41,248,0,35,6.0,63,1369,0,75,21.7,6363
20,Cincinnati Bengals,16,30,331,1,68,11.0,74,1474,0,46,19.9,7408
21,San Francisco 49ers,16,40,276,0,20,6.9,64,1327,1,95,20.7,7457
22,Jacksonville Jaguars,16,34,376,0,52,11.1,67,1316,0,61,19.6,7189
23,Green Bay Packers,16,35,277,0,33,7.9,64,1511,0,60,23.6,7716
24,Denver Broncos,16,39,442,2,65,11.3,59,1302,0,83,22.1,7509
25,Seattle Seahawks,16,34,320,1,83,9.4,64,1336,0,56,20.9,7647
26,Philadelphia Eagles,16,31,378,2,84,12.2,65,1387,0,54,21.3,7074
27,Indianapolis Colts,16,31,240,0,26,7.7,64,1510,0,90,23.6,7766
28,Kansas City Chiefs,16,33,542,2,93,16.4,62,1577,2,100,25.4,8167
29,New York Jets,16,30,332,0,47,11.1,60,1461,1,90,24.4,6943
30,Tampa Bay Buccaneers,16,35,242,0,19,6.9,55,1042,0,44,18.9,6944
31,Miami Dolphins,16,31,288,0,48,9.3,57,1202,0,49,21.1,6332
32,Washington Redskins,16,22,205,0,28,9.3,66,1482,1,94,22.5,6604
,Avg Team,,37.8,360.6,0.6,50,9.5,67.5,1456.1,0.4,69,21.6,7150.1
,League Total,,1209,11540,18,93,9.5,2161,46595,13,100,21.6,228802
,Avg Tm/G,,2.4,22.5,0.0,,9.5,4.2,91.0,0.0,,21.6,446.9
