Rk,Tm,G,Ret,Yds,TD,Lng,Y/R,Rt,Yds,TD,Lng,Y/Rt,APYd
1,Washington Redskins,16,52,377,0,34,7.3,74,1355,0,44,18.3,7616
2,Los Angeles Raiders,16,55,489,0,36,8.9,62,1407,1,97,22.7,7275
3,Minnesota Vikings,16,59,553,0,64,9.4,56,1160,0,30,20.7,7663
4,Dallas Cowboys,16,45,360,0,21,8.0,69,1410,0,53,20.4,7489
5,Pittsburgh Steelers,16,39,322,0,28,8.3,74,1575,2,92,21.3,7420
6,Phoenix Cardinals,16,52,463,0,28,8.9,60,1106,0,41,18.4,7862
7,Denver Broncos,16,53,451,0,24,8.5,58,1198,0,38,20.7,7386
8,New York Jets,16,38,418,1,59,11.0,72,1404,0,48,19.5,7355
9,San Francisco 49ers,16,54,612,2,95,11.3,55,978,0,44,17.8,7766
10,New York Giants,16,47,359,0,35,7.6,62,1154,0,40,18.6,6979
11,Los Angeles Rams,16,49,322,0,46,6.6,59,1191,0,73,20.2,7533
12,New Orleans Saints,16,35,413,1,66,11.8,70,1408,0,57,20.1,7137
13,Atlanta Falcons,16,42,343,0,68,8.2,59,1057,0,36,17.9,6421
14,Detroit Lions,16,42,346,0,25,8.2,59,1154,0,46,19.6,5320
15,Tampa Bay Buccaneers,16,36,328,0,40,9.1,64,1345,0,51,21.0,6990
16,Green Bay Packers,16,35,208,1,63,5.9,64,1181,0,46,18.5,6349
17,Seattle Seahawks,16,37,340,0,41,9.2,62,1352,0,65,21.8,6756
18,Houston Oilers,16,36,225,0,26,6.3,60,1232,1,90,20.5,6885
19,San Diego Chargers,16,35,314,0,24,9.0,60,1510,2,94,25.2,6530
20,Cleveland Browns,16,40,325,0,32,8.1,55,1159,0,84,21.1,6717
21,New England Patriots,16,38,398,0,30,10.5,57,1248,1,95,21.9,6094
22,Philadelphia Eagles,16,33,233,0,24,7.1,59,1028,0,32,17.4,7147
23,Miami Dolphins,16,27,259,0,36,9.6,65,1365,0,44,21.0,7401
24,Cincinnati Bengals,16,32,244,0,20,7.6,57,1054,1,98,18.5,7657
25,Kansas City Chiefs,16,32,215,0,16,6.7,56,925,0,31,16.5,6338
26,Chicago Bears,16,38,294,0,23,7.7,45,896,0,51,19.9,6643
27,Indianapolis Colts,16,26,254,1,73,9.8,52,1033,0,40,19.9,6438
28,Buffalo Bills,16,26,152,0,24,5.8,50,935,0,37,18.7,6642
,Avg Team,,40.5,343.5,0.2,39,8.5,60.5,1207.9,0.3,57,20.0,6993.2
,League Total,,1133,9617,6,95,8.5,1695,33820,8,98,20.0,195809
,Avg Tm/G,,2.5,21.5,0.0,,8.5,3.8,75.5,0.0,,20.0,437.1
