Rk,Tm,G,Ret,Yds,TD,Lng,Y/R,Rt,Yds,TD,Lng,Y/Rt,APYd
1,Arizona Cardinals,16,42,294,0,25,7.0,84,2084,2,102,24.8,7132
2,Oakland Raiders,16,55,386,0,53,7.0,68,1532,3,101,22.5,7965
3,New York Jets,16,56,529,0,32,9.4,63,1588,2,97,25.2,7940
4,Jacksonville Jaguars,16,36,359,1,78,10.0,80,1903,0,65,23.8,8043
5,St. Louis Rams,16,40,452,0,42,11.3,74,1614,0,84,21.8,7268
6,Carolina Panthers,16,39,373,0,37,9.6,74,1619,0,64,21.9,6432
7,Washington Redskins,16,40,432,0,53,10.8,73,1680,1,96,23.0,7837
8,Kansas City Chiefs,16,52,524,1,94,10.1,58,1140,0,36,19.7,7497
9,Cincinnati Bengals,16,36,258,0,27,7.2,71,1551,0,60,21.8,7385
10,Seattle Seahawks,16,42,468,0,84,11.1,65,1558,3,101,24.0,6968
11,Minnesota Vikings,16,42,361,0,52,8.6,64,1427,1,95,22.3,7047
12,Green Bay Packers,16,41,325,0,52,7.9,62,1249,0,51,20.1,7567
13,Houston Texans,16,35,235,0,39,6.7,67,1326,0,50,19.8,7970
14,Buffalo Bills,16,32,336,0,34,10.5,69,1458,1,95,21.1,6943
15,New York Giants,16,43,263,0,22,6.1,57,1082,0,42,19.0,7577
16,Philadelphia Eagles,16,38,404,1,65,10.6,62,1272,0,46,20.5,8265
17,Dallas Cowboys,16,24,382,3,97,15.9,74,1572,0,43,21.2,7938
18,Indianapolis Colts,16,31,214,0,18,6.9,67,1310,1,41,19.6,7712
19,Baltimore Ravens,16,43,319,0,35,7.4,55,1357,1,103,24.7,7128
20,San Diego Chargers,16,40,420,0,62,10.5,56,1342,0,45,24.0,8317
21,Chicago Bears,16,33,564,3,89,17.1,59,1497,0,79,25.4,7075
22,San Francisco 49ers,16,31,366,1,78,11.8,61,1187,0,61,19.5,6799
23,Cleveland Browns,16,22,235,0,62,10.7,70,1191,0,37,17.0,6288
24,Tennessee Titans,16,27,329,1,87,12.2,64,1556,1,98,24.3,6872
25,Detroit Lions,16,30,362,0,71,12.1,61,1519,1,105,24.9,7529
26,Denver Broncos,16,31,323,0,33,10.4,59,1435,1,97,24.3,7657
27,Tampa Bay Buccaneers,16,30,193,0,23,6.4,57,1386,1,89,24.3,7148
28,Pittsburgh Steelers,16,37,226,0,38,6.1,49,1153,1,89,23.5,7206
29,Miami Dolphins,16,28,293,0,47,10.5,56,1199,0,46,21.4,6848
30,New England Patriots,16,27,361,1,94,13.4,56,1231,2,103,22.0,7678
31,New Orleans Saints,16,27,210,0,72,7.8,52,1181,0,39,22.7,7570
32,Atlanta Falcons,16,19,230,1,55,12.1,46,1221,1,102,26.5,7075
,Avg Team,,35.9,344.6,0.4,55,9.6,63.5,1419.4,0.7,74,22.3,7396.1
,League Total,,1149,11026,13,97,9.6,2033,45420,23,105,22.3,236676
,Avg Tm/G,,2.2,21.5,0.0,,9.6,4.0,88.7,0.0,,22.3,462.3
