Rk,Tm,G,Ret,Yds,TD,Lng,Y/R,Rt,Yds,TD,Lng,Y/Rt,APYd
1,Oakland Raiders,16,44,570,3,93,13.0,78,1777,2,92,22.8,6923
2,Chicago Bears,16,39,261,0,25,6.7,77,1919,1,83,24.9,7108
3,Philadelphia Eagles,16,52,446,1,68,8.6,60,1411,1,100,23.5,7776
4,Seattle Seahawks,16,35,353,0,30,10.1,77,1948,0,61,25.3,7019
5,St. Louis Rams,16,29,245,0,34,8.4,80,1761,0,75,22.0,6997
6,Arizona Cardinals,16,33,237,0,25,7.2,75,1630,1,93,21.7,7964
7,Dallas Cowboys,16,37,238,0,33,6.4,70,1554,1,98,22.2,7494
8,Tampa Bay Buccaneers,16,47,440,1,70,9.4,60,1486,1,97,24.8,7581
9,Kansas City Chiefs,16,26,169,0,32,6.5,80,1716,0,59,21.5,7160
10,Green Bay Packers,16,37,398,2,76,10.8,69,1387,0,45,20.1,7641
11,San Francisco 49ers,16,29,298,0,45,10.3,76,1767,1,104,23.3,7377
12,Buffalo Bills,16,30,464,1,63,15.5,75,1816,1,98,24.2,7412
13,Houston Texans,16,32,386,2,73,12.1,72,1550,0,50,21.5,8297
14,Detroit Lions,16,21,168,0,27,8.0,83,1807,0,46,21.8,6669
15,Jacksonville Jaguars,16,29,275,0,38,9.5,74,1678,0,51,22.7,7418
16,Carolina Panthers,16,42,453,0,55,10.8,60,1372,0,59,22.9,7622
17,Atlanta Falcons,16,43,379,1,61,8.8,59,1408,0,92,23.9,7665
18,Washington Redskins,16,45,378,1,80,8.4,55,1382,0,87,25.1,7160
19,Cincinnati Bengals,16,32,253,0,34,7.9,67,1551,0,60,23.1,6075
20,New England Patriots,16,36,371,0,44,10.3,62,1562,1,95,25.2,7992
21,Minnesota Vikings,16,34,273,1,82,8.0,61,1369,0,49,22.4,7262
22,New York Giants,16,39,337,0,50,8.6,55,1284,0,83,23.3,7504
23,Baltimore Ravens,16,44,378,0,46,8.6,50,1007,0,39,20.1,6892
24,Pittsburgh Steelers,16,41,247,0,35,6.0,50,1013,0,43,20.3,6561
25,Denver Broncos,16,20,196,0,36,9.8,71,1550,0,95,21.8,8199
26,New York Jets,16,29,303,0,37,10.4,61,1407,1,94,23.1,7269
27,Cleveland Browns,16,30,251,0,32,8.4,58,1312,1,92,22.6,5690
28,San Diego Chargers,16,26,269,0,43,10.3,62,1485,1,103,24.0,7591
29,Miami Dolphins,16,28,285,0,27,10.2,60,1213,0,60,20.2,7140
30,New Orleans Saints,16,26,310,3,71,11.9,62,1496,0,88,24.1,8448
31,Tennessee Titans,16,34,329,0,44,9.7,52,1319,0,52,25.4,6731
32,Indianapolis Colts,16,22,132,0,25,6.0,63,1312,0,46,20.8,7008
,Avg Team,,34.1,315.4,0.5,48,9.3,66.1,1507.8,0.4,75,22.8,7301.4
,League Total,,1091,10092,16,93,9.3,2114,48249,13,104,22.8,233645
,Avg Tm/G,,2.1,19.7,0.0,,9.3,4.1,94.2,0.0,,22.8,456.3
