Rk,Tm,G,Ret,Yds,TD,Lng,Y/R,Rt,Yds,TD,Lng,Y/Rt,APYd
1,San Diego Chargers,16,44,272,0,35,6.2,83,1792,1,93,21.6,6700
2,Atlanta Falcons,16,37,348,1,70,9.4,83,1890,3,100,22.8,6614
3,Cincinnati Bengals,16,42,357,1,82,8.5,77,1423,0,50,18.5,6277
4,Arizona Cardinals,16,32,223,0,25,7.0,86,2296,1,98,26.7,7373
5,St. Louis Rams,16,34,521,1,86,15.3,80,1771,1,103,22.1,9745
6,Cleveland Browns,16,29,294,0,30,10.1,85,1710,0,62,20.1,5855
7,New York Jets,16,38,276,0,19,7.3,74,1552,1,97,21.0,7323
8,Seattle Seahawks,16,30,384,0,43,12.8,80,1932,1,81,24.2,7318
9,New England Patriots,16,45,562,1,66,12.5,64,1335,0,47,20.9,6754
10,Jacksonville Jaguars,16,46,333,0,22,7.2,62,1323,0,47,21.3,7715
11,Kansas City Chiefs,16,37,295,0,26,8.0,70,1466,0,38,20.9,7643
12,Buffalo Bills,16,38,190,0,20,5.0,69,1262,0,37,18.3,7438
13,Chicago Bears,16,36,314,0,25,8.7,68,1512,0,38,22.2,6565
14,Dallas Cowboys,16,35,364,2,64,10.4,69,1456,0,90,21.1,6547
15,Detroit Lions,16,33,472,1,95,14.3,69,1600,0,70,23.2,6809
16,New Orleans Saints,16,40,339,0,51,8.5,62,1473,0,68,23.8,7533
17,Denver Broncos,16,36,364,0,64,10.1,66,1477,1,87,22.4,8686
18,Pittsburgh Steelers,16,42,499,1,54,11.9,58,1221,1,98,21.1,6736
19,Tennessee Titans,16,53,671,1,69,12.7,47,1227,0,66,26.1,7411
20,Washington Redskins,16,36,356,0,57,9.9,63,1301,0,49,20.7,7268
21,Green Bay Packers,16,35,300,0,43,8.6,64,1570,1,92,24.5,7478
22,Indianapolis Colts,16,38,352,0,40,9.3,58,1155,0,48,19.9,7832
23,Tampa Bay Buccaneers,16,39,337,1,73,8.6,55,1255,0,48,22.8,6524
24,San Francisco 49ers,16,26,220,0,25,8.5,68,1299,0,68,19.1,7731
25,New York Giants,16,40,332,0,31,8.3,53,1102,1,47,20.8,7048
26,Minnesota Vikings,16,26,261,0,63,10.0,67,1456,0,38,21.7,7854
27,Oakland Raiders,16,37,357,0,36,9.6,56,1336,1,88,23.9,7681
28,Miami Dolphins,16,39,518,1,81,13.3,51,1133,0,56,22.2,6306
29,Baltimore Ravens,16,45,713,2,89,15.8,45,1005,0,41,22.3,7023
30,Philadelphia Eagles,16,33,335,1,72,10.2,53,1237,1,89,23.3,6842
31,Carolina Panthers,16,21,238,1,64,11.3,55,1160,1,92,21.1,6441
,Avg Team,,36.8,367.6,0.5,52,10.0,65.8,1442.8,0.5,69,21.9,7195.8
,League Total,,1142,11397,15,95,10.0,2040,44727,15,103,21.9,223070
,Avg Tm/G,,2.3,23.0,0.0,,10.0,4.1,90.2,0.0,,21.9,449.7
