Rk,Tm,G,Ret,Yds,TD,Lng,Y/R,Rt,Yds,TD,Lng,Y/Rt,APYd
1,St. Louis Rams,16,55,587,0,61,10.7,73,1618,0,50,22.2,7889
2,Green Bay Packers,16,61,515,0,26,8.4,61,1282,0,45,21.0,7768
3,New England Patriots,16,45,383,0,23,8.5,75,1691,0,62,22.5,7862
4,Buffalo Bills,16,47,476,0,44,10.1,70,1302,0,42,18.6,7123
5,Pittsburgh Steelers,16,48,474,1,72,9.9,69,1530,0,57,22.2,8023
6,New York Jets,16,38,323,0,22,8.5,77,1613,0,58,20.9,6353
7,Kansas City Chiefs,16,58,561,1,86,9.7,55,1306,2,99,23.7,7341
8,Seattle Seahawks,16,40,384,1,89,9.6,72,1620,0,70,22.5,7699
9,Atlanta Falcons,16,39,383,1,66,9.8,70,1506,0,47,21.5,7729
10,Minnesota Vikings,16,35,414,1,74,11.8,72,1612,0,71,22.4,8292
11,Tampa Bay Buccaneers,16,29,293,0,45,10.1,76,1443,0,44,19.0,6737
12,Carolina Panthers,16,49,500,1,62,10.2,55,1163,0,40,21.1,6548
13,Jacksonville Jaguars,16,29,243,0,40,8.4,74,1532,1,89,20.7,6628
14,New Orleans Saints,16,29,268,0,74,9.2,73,1690,0,83,23.2,7368
15,Oakland Raiders,16,37,374,0,38,10.1,64,1390,1,84,21.7,7606
16,New York Giants,16,31,218,0,21,7.0,70,1448,1,91,20.7,6474
17,Cincinnati Bengals,16,21,103,0,21,4.9,80,1788,0,55,22.4,7255
18,San Diego Chargers,16,31,338,1,88,10.9,70,1502,2,92,21.5,7313
19,Philadelphia Eagles,16,29,293,0,38,10.1,71,1487,1,86,20.9,6972
20,Cleveland Browns,16,25,255,1,69,10.2,74,1455,0,42,19.7,6981
21,Houston Oilers,16,35,339,0,20,9.7,64,1277,0,54,20.0,6814
22,Arizona Cardinals,16,23,172,0,16,7.5,73,1519,0,70,20.8,6939
23,Chicago Bears,16,24,179,0,39,7.5,71,1459,0,52,20.5,7405
24,Washington Redskins,16,26,315,1,59,12.1,69,1646,0,59,23.9,7398
25,Indianapolis Colts,16,29,192,0,32,6.6,63,1332,1,95,21.1,6774
26,Denver Broncos,16,31,358,0,44,11.5,60,1392,0,86,23.2,8095
27,Detroit Lions,16,24,189,0,28,7.9,67,1367,0,51,20.4,7920
28,San Francisco 49ers,16,27,272,1,78,10.1,58,1183,0,46,20.4,7891
29,Miami Dolphins,16,24,163,0,24,6.8,59,1338,0,55,22.7,7433
30,Dallas Cowboys,16,23,255,0,43,11.1,58,1276,0,46,22.0,7520
,Avg Team,,34.7,327.3,0.3,48,9.4,68.1,1458.9,0.3,64,21.4,7338.3
,League Total,,1042,9819,10,89,9.4,2043,43767,9,99,21.4,220150
,Avg Tm/G,,2.2,20.5,0.0,,9.4,4.3,91.2,0.0,,21.4,458.6
