Rk,Tm,G,Ret,Yds,TD,Lng,Y/R,Rt,Yds,TD,Lng,Y/Rt,APYd
1,Washington Redskins,15,56,615,0,73,11.0,59,1139,0,54,19.3,7609
2,New York Giants,15,55,448,0,37,8.1,56,1128,0,49,20.1,6669
3,Atlanta Falcons,15,31,221,0,45,7.1,79,1700,1,97,21.5,6384
4,New York Jets,15,42,497,2,91,11.8,65,1221,0,60,18.8,6816
5,San Diego Chargers,15,45,508,1,81,11.3,62,1137,0,46,18.3,6559
6,St. Louis Cardinals,15,44,550,1,76,12.5,63,1317,0,50,20.9,7717
7,Chicago Bears,15,50,484,2,94,9.7,57,1193,1,88,20.9,7073
8,Minnesota Vikings,15,36,420,1,78,11.7,71,1421,0,42,20.0,7051
9,Detroit Lions,15,35,303,0,54,8.7,71,1428,0,50,20.1,6286
10,Dallas Cowboys,15,41,353,0,38,8.6,64,1295,0,48,20.2,7139
11,Houston Oilers,15,37,249,0,26,6.7,67,1225,0,62,18.3,6970
12,Los Angeles Raiders,15,44,356,1,55,8.1,60,1174,0,50,19.6,7149
13,Los Angeles Rams,15,40,245,0,29,6.1,63,1282,1,95,20.3,6421
14,Kansas City Chiefs,15,32,346,1,85,10.8,70,1437,2,95,20.5,6547
15,Cincinnati Bengals,15,34,293,0,21,8.6,67,1161,0,34,17.3,7052
16,Philadelphia Eagles,15,34,202,0,37,5.9,66,1112,0,33,16.8,7091
17,Seattle Seahawks,15,32,322,0,40,10.1,64,1236,0,43,19.3,6628
18,New Orleans Saints,15,41,468,0,80,11.4,55,1147,0,74,20.9,6844
19,Denver Broncos,15,48,486,1,71,10.1,46,952,0,50,20.7,7316
20,Green Bay Packers,15,35,245,0,48,7.0,59,1032,0,46,17.5,6053
21,Indianapolis Colts,15,38,210,0,17,5.5,55,1115,0,45,20.3,6554
22,Pittsburgh Steelers,15,36,244,0,20,6.8,56,1060,0,36,18.9,5992
23,Cleveland Browns,15,44,487,0,40,11.1,48,846,0,44,17.6,6749
24,Miami Dolphins,15,37,290,0,31,7.8,54,952,0,34,17.6,6968
25,San Francisco 49ers,15,34,365,1,83,10.7,55,1144,1,92,20.8,7764
26,Tampa Bay Buccaneers,15,31,257,0,22,8.3,56,1037,0,40,18.5,6097
27,Buffalo Bills,15,31,232,0,23,7.5,45,872,0,40,19.4,6247
28,New England Patriots,15,25,213,0,36,8.5,48,901,0,43,18.8,5849
,Avg Team,,38.9,353.9,0.4,51,9.1,60.0,1166.6,0.2,55,19.4,6771.2
,League Total,,1088,9909,11,94,9.1,1681,32664,6,97,19.4,189594
,Avg Tm/G,,2.6,23.6,0.0,,9.1,4.0,77.8,0.0,,19.4,451.4
