Rk,Tm,G,Ret,Yds,TD,Lng,Y/R,Rt,Yds,TD,Lng,Y/Rt,APYd
1,New Orleans Saints,16,40,388,0,53,9.7,83,1879,2,98,22.6,7717
2,Miami Dolphins,16,52,564,0,71,10.8,70,1660,1,95,23.7,6978
3,Dallas Cowboys,16,44,390,0,55,8.9,78,1603,0,62,20.6,7423
4,Baltimore Ravens,16,60,616,2,78,10.3,61,1264,0,64,20.7,6629
5,Chicago Bears,16,46,510,1,75,11.1,74,1607,0,73,21.7,6517
6,Tennessee Titans,16,40,173,0,18,4.3,79,1558,0,45,19.7,7640
7,San Francisco 49ers,16,35,303,1,71,8.7,84,1716,0,40,20.4,7053
8,St. Louis Rams,16,30,143,0,39,4.8,84,1604,0,31,19.1,8158
9,Arizona Cardinals,16,49,329,0,38,6.7,65,1293,0,71,19.9,6532
10,Cleveland Browns,16,36,432,0,44,12.0,75,1504,1,93,20.1,6614
11,Houston Texans,16,40,329,0,27,8.2,69,1450,0,49,21.0,7363
12,Buffalo Bills,16,46,491,2,86,10.7,63,1542,3,104,24.5,6928
13,Oakland Raiders,16,24,132,0,18,5.5,83,1700,0,64,20.5,7153
14,Pittsburgh Steelers,16,44,365,0,60,8.3,62,1335,0,48,21.5,7247
15,Detroit Lions,16,40,420,2,83,10.5,66,1568,2,99,23.8,6885
16,New York Giants,16,38,253,0,29,6.7,66,1658,2,92,25.1,7049
17,Minnesota Vikings,16,31,275,1,91,8.9,73,1448,0,55,19.8,8335
18,Seattle Seahawks,16,30,230,0,48,7.7,74,1529,0,36,20.7,7579
19,Cincinnati Bengals,16,35,328,0,49,9.4,68,1403,0,40,20.6,7107
20,Green Bay Packers,16,33,254,0,28,7.7,70,1522,0,71,21.7,8352
21,Kansas City Chiefs,16,24,232,0,46,9.7,75,1820,2,97,24.3,9009
22,Jacksonville Jaguars,16,42,405,0,50,9.6,57,1087,0,45,19.1,6616
23,Atlanta Falcons,16,37,457,1,75,12.4,61,1331,0,49,21.8,7152
24,Philadelphia Eagles,16,41,377,0,40,9.2,56,1214,0,66,21.7,7449
25,Washington Redskins,16,42,331,0,43,7.9,55,1203,0,70,21.9,6149
26,New England Patriots,16,40,230,0,23,5.8,56,1302,1,93,23.3,7501
27,Denver Broncos,16,43,400,0,39,9.3,53,1122,0,48,21.2,7947
28,Tampa Bay Buccaneers,16,33,213,1,59,6.5,60,1450,0,59,24.2,6975
29,San Diego Chargers,16,29,243,0,32,8.4,62,1478,1,87,23.8,7432
30,Indianapolis Colts,16,24,171,0,34,7.1,66,1545,1,88,23.4,8367
31,Carolina Panthers,16,28,165,0,18,5.9,61,1307,0,49,21.4,6991
32,New York Jets,16,41,313,0,46,7.6,46,1038,1,94,22.6,7001
,Avg Team,,38.0,326.9,0.3,49,8.6,67.3,1460.6,0.5,68,21.7,7307.8
,League Total,,1217,10462,11,91,8.6,2155,46740,17,104,21.7,233848
,Avg Tm/G,,2.4,20.4,0.0,,8.6,4.2,91.3,0.0,,21.7,456.7
