Rk,Tm,G,Ret,Yds,TD,Lng,Y/R,Rt,Yds,TD,Lng,Y/Rt,APYd
1,Phoenix Cardinals,16,40,469,0,53,11.7,83,1650,0,52,19.9,7136
2,New Orleans Saints,16,53,428,1,56,8.1,63,1284,1,99,20.4,7273
3,New England Patriots,16,45,379,0,28,8.4,69,1462,0,47,21.2,7602
4,Atlanta Falcons,16,32,341,1,68,10.7,80,1509,0,72,18.9,6931
5,Dallas Cowboys,16,31,197,0,17,6.4,77,1709,1,97,22.2,6600
6,New York Jets,16,33,299,0,30,9.1,75,1309,0,69,17.5,7209
7,Detroit Lions,16,47,572,0,74,12.2,61,1272,0,62,20.9,7263
8,Chicago Bears,16,32,220,0,24,6.9,73,1539,1,96,21.1,7324
9,Green Bay Packers,16,35,289,0,17,8.3,69,1239,0,46,18.0,7657
10,San Diego Chargers,16,38,272,0,52,7.2,64,1235,1,91,19.3,6750
11,Los Angeles Rams,16,35,332,0,25,9.5,67,1328,0,74,19.8,7940
12,Cleveland Browns,16,49,496,0,49,10.1,50,932,0,49,18.6,6704
13,New York Giants,16,46,582,1,76,12.7,51,926,0,43,18.2,6767
14,Minnesota Vikings,16,45,448,0,65,10.0,51,1122,1,93,22.0,7197
15,Pittsburgh Steelers,16,40,278,0,20,7.0,56,1304,1,84,23.3,6079
16,Kansas City Chiefs,16,44,331,0,21,7.5,52,915,0,37,17.6,6667
17,Seattle Seahawks,16,30,251,0,21,8.4,65,1246,1,97,19.2,6466
18,Tampa Bay Buccaneers,16,32,296,0,55,9.3,62,1055,0,36,17.0,6528
19,Miami Dolphins,16,33,338,1,70,10.2,61,1153,1,97,18.9,7122
20,Los Angeles Raiders,16,40,378,0,29,9.5,54,1002,0,49,18.6,6760
21,Houston Oilers,16,19,122,0,19,6.4,74,1285,0,63,17.4,7064
22,Cincinnati Bengals,16,36,209,0,17,5.8,54,941,0,33,17.4,7658
23,San Francisco 49ers,16,39,429,0,37,11.0,51,954,0,60,18.7,7934
24,Denver Broncos,16,45,344,0,38,7.6,43,876,0,68,20.4,6756
25,Indianapolis Colts,16,26,322,1,49,12.4,60,1164,0,49,19.4,6474
26,Buffalo Bills,16,33,301,0,26,9.1,53,1058,0,85,20.0,7467
27,Philadelphia Eagles,16,37,331,0,28,8.9,49,828,0,45,16.9,6983
28,Washington Redskins,16,26,226,0,38,8.7,58,1176,1,99,20.3,7794
,Avg Team,,37.2,338.6,0.2,39,9.1,61.6,1195.5,0.3,68,19.4,7075.2
,League Total,,1041,9480,5,76,9.1,1725,33473,9,99,19.4,198105
,Avg Tm/G,,2.3,21.2,0.0,,9.1,3.9,74.7,0.0,,19.4,442.2
