Rk,Tm,G,Ret,Yds,TD,Lng,Y/R,Rt,Yds,TD,Lng,Y/Rt,APYd
1,Washington Redskins,16,48,388,0,30,8.1,62,1113,0,37,18.0,7242
2,New England Patriots,16,29,134,0,17,4.6,77,1395,0,38,18.1,6159
3,Detroit Lions,16,35,361,0,39,10.3,70,1466,0,65,20.9,7147
4,New Orleans Saints,16,45,400,0,33,8.9,58,1205,0,58,20.8,6227
5,Cleveland Browns,16,31,209,0,25,6.7,71,1276,2,101,18.0,6127
6,Indianapolis Colts,16,36,402,0,36,11.2,65,1189,0,44,18.3,6256
7,San Francisco 49ers,16,48,356,0,30,7.4,53,965,0,35,18.2,7447
8,Phoenix Cardinals,16,40,342,0,20,8.6,60,1068,0,32,17.8,6450
9,Denver Broncos,16,33,256,0,32,7.8,66,1260,0,75,19.1,7089
10,Minnesota Vikings,16,33,225,0,30,6.8,66,1249,0,64,18.9,6814
11,Los Angeles Raiders,16,34,295,0,39,8.7,64,1237,0,87,19.3,6472
12,Los Angeles Rams,16,35,346,0,26,9.9,63,1279,1,99,20.3,7248
13,Green Bay Packers,16,32,308,0,25,9.6,63,1303,1,76,20.7,6723
14,Philadelphia Eagles,16,40,315,0,30,7.9,54,965,0,44,17.9,7452
15,Atlanta Falcons,16,35,279,1,79,8.0,58,1229,1,76,21.2,6878
16,Dallas Cowboys,16,39,250,0,20,6.4,54,1102,1,90,20.4,5789
17,Cincinnati Bengals,16,30,255,1,66,8.5,62,1266,0,43,20.4,6888
18,New York Jets,16,30,319,1,98,10.6,61,1129,0,63,18.5,6617
19,Chicago Bears,16,36,399,1,95,11.1,54,879,0,59,16.3,6599
20,San Diego Chargers,16,35,336,2,63,9.6,55,1188,0,90,21.6,6631
21,New York Giants,16,43,467,1,68,10.9,46,884,0,58,19.2,6323
22,Pittsburgh Steelers,16,39,398,1,52,10.2,50,956,0,49,19.1,6179
23,Tampa Bay Buccaneers,16,23,184,0,16,8.0,63,1175,0,55,18.7,6259
24,Seattle Seahawks,16,36,337,0,39,9.4,50,985,0,71,19.7,6314
25,Kansas City Chiefs,16,37,254,0,37,6.9,46,784,0,46,17.0,6433
26,Miami Dolphins,16,39,233,0,35,6.0,43,780,0,35,18.1,6176
27,Houston Oilers,16,30,172,0,26,5.7,47,861,0,64,18.3,7594
28,Buffalo Bills,16,25,177,0,25,7.1,51,1040,0,54,20.4,6769
,Avg Team,,35.6,299.9,0.3,40,8.4,58.3,1115.3,0.2,61,19.1,6653.6
,League Total,,996,8397,8,98,8.4,1632,31228,6,101,19.1,186302
,Avg Tm/G,,2.2,18.7,0.0,,8.4,3.6,69.7,0.0,,19.1,415.9
