Rk,Tm,G,Ret,Yds,TD,Lng,Y/R,Rt,Yds,TD,Lng,Y/Rt,APYd
1,New York Jets,16,44,426,0,53,9.7,62,1633,1,107,26.3,7299
2,Cincinnati Bengals,16,53,610,1,63,11.5,45,1026,0,45,22.8,6985
3,Arizona Cardinals,16,46,696,4,99,15.1,52,1246,0,51,24.0,7521
4,Washington Redskins,16,37,328,0,55,8.9,56,1239,0,47,22.1,7234
5,Seattle Seahawks,16,42,464,0,37,11.0,46,1142,0,54,24.8,6833
6,Chicago Bears,16,30,470,2,82,15.7,57,1238,1,98,21.7,7096
7,Minnesota Vikings,16,33,277,0,53,8.4,53,1428,1,104,26.9,7312
8,Kansas City Chiefs,16,40,475,0,37,11.9,46,979,0,35,21.3,6628
9,Denver Broncos,16,47,596,2,90,12.7,39,956,0,67,24.5,6906
10,Cleveland Browns,16,38,423,1,84,11.1,48,1134,0,63,23.6,6387
11,Miami Dolphins,16,46,526,0,25,11.4,39,942,0,77,24.2,6845
12,New England Patriots,16,38,393,1,72,10.3,46,986,0,37,21.4,8393
13,San Francisco 49ers,16,44,544,1,55,12.4,39,1060,1,102,27.2,6856
14,St. Louis Rams,16,27,297,1,88,11.0,55,1280,0,47,23.3,6485
15,Jacksonville Jaguars,16,34,148,0,28,4.4,47,1055,0,37,22.4,5668
16,Houston Texans,16,51,529,1,79,10.4,29,730,0,50,25.2,7387
17,New York Giants,16,28,171,0,18,6.1,52,1209,0,40,23.3,7808
18,Tennessee Titans,16,47,490,1,79,10.4,32,832,1,84,26.0,6875
19,Baltimore Ravens,16,36,345,1,68,9.6,42,1047,0,77,24.9,7070
20,Oakland Raiders,16,32,264,0,34,8.3,43,1011,1,101,23.5,7503
21,Tampa Bay Buccaneers,16,29,231,0,34,8.0,46,1024,0,78,22.3,6539
22,Detroit Lions,16,38,301,0,28,7.9,37,887,0,42,24.0,7809
23,San Diego Chargers,16,31,264,0,31,8.5,43,1100,1,105,25.6,7928
24,Dallas Cowboys,16,41,293,0,25,7.1,33,768,0,69,23.3,7315
25,Carolina Panthers,16,32,176,0,17,5.5,39,926,1,101,23.7,7595
26,New Orleans Saints,16,29,294,1,72,10.1,42,1111,0,92,26.5,9052
27,Philadelphia Eagles,16,30,212,0,51,7.1,39,815,0,33,20.9,7721
28,Pittsburgh Steelers,16,33,347,1,60,10.5,35,877,0,52,25.1,7468
29,Green Bay Packers,16,27,295,1,80,10.9,41,1005,1,108,24.5,8051
30,Buffalo Bills,16,26,329,1,80,12.7,37,853,0,54,23.1,6953
31,Indianapolis Colts,16,32,108,0,21,3.4,31,578,0,51,18.6,5546
32,Atlanta Falcons,16,33,315,0,42,9.5,24,563,0,37,23.5,7181
,Avg Team,,36.7,363.7,0.6,54,9.9,43.0,1021.3,0.3,67,23.8,7195.3
,League Total,,1174,11637,20,99,9.9,1375,32680,9,108,23.8,230249
,Avg Tm/G,,2.3,22.7,0.0,,9.9,2.7,63.8,0.0,,23.8,449.7
