Rk,Tm,G,Ret,Yds,TD,Lng,Y/R,Rt,Yds,TD,Lng,Y/Rt,APYd
1,Baltimore Ravens,16,38,357,0,46,9.4,86,1734,0,44,20.2,8128
2,Atlanta Falcons,16,31,315,0,39,10.2,87,1825,0,55,21.0,7500
3,New England Patriots,16,52,588,1,60,11.3,64,1424,0,54,22.3,7664
4,Arizona Cardinals,16,39,343,0,35,8.8,75,1582,0,92,21.1,7371
5,New Orleans Saints,16,31,159,0,16,5.1,78,1899,0,58,24.3,6473
6,New York Giants,16,42,478,2,87,11.4,66,1287,0,47,19.5,6088
7,New York Jets,16,28,139,0,15,5.0,79,1504,0,37,19.0,7123
8,Green Bay Packers,16,58,875,3,92,15.1,47,1038,1,90,22.1,7707
9,Seattle Seahawks,16,34,352,1,88,10.4,71,1542,0,86,21.7,7204
10,Carolina Panthers,16,55,624,1,84,11.3,50,1310,1,93,26.2,7147
11,Philadelphia Eagles,16,40,330,0,56,8.3,64,1439,2,97,22.5,7731
12,Oakland Raiders,16,42,403,0,47,9.6,61,1276,0,48,20.9,7185
13,Detroit Lions,16,34,284,0,33,8.4,69,1675,0,65,24.3,7223
14,Cincinnati Bengals,16,33,217,0,62,6.6,70,1459,1,90,20.8,7241
15,Indianapolis Colts,16,41,447,0,82,10.9,61,1403,1,95,23.0,6846
16,San Diego Chargers,16,38,559,1,81,14.7,63,1358,0,57,21.6,6873
17,Buffalo Bills,16,43,423,0,45,9.8,58,1341,1,97,23.1,7235
18,Jacksonville Jaguars,16,34,351,0,60,10.3,67,1463,0,73,21.8,7830
19,Denver Broncos,16,49,583,0,40,11.9,50,1195,0,59,23.9,7829
20,Kansas City Chiefs,16,33,282,0,24,8.5,66,1567,1,97,23.7,7038
21,San Francisco 49ers,16,39,352,0,52,9.0,59,1258,0,71,21.3,7405
22,St. Louis Rams,16,35,439,2,78,12.5,62,1233,0,44,19.9,6385
23,Dallas Cowboys,16,44,394,0,22,9.0,53,1339,0,89,25.3,6695
24,Tampa Bay Buccaneers,16,41,481,1,88,11.7,55,1287,0,63,23.4,6299
25,Houston Oilers,16,29,279,0,40,9.6,66,1421,0,88,21.5,6960
26,Pittsburgh Steelers,16,40,251,0,33,6.3,53,1171,1,91,22.1,6871
27,Minnesota Vikings,16,32,300,1,69,9.4,58,1075,0,60,18.5,6827
28,Washington Redskins,16,23,258,0,71,11.2,65,1401,0,50,21.6,7020
29,Chicago Bears,16,31,282,0,34,9.1,56,1337,0,75,23.9,6723
30,Miami Dolphins,16,26,251,0,19,9.7,60,1320,0,59,22.0,6988
,Avg Team,,37.8,379.9,0.4,53,10.0,64.0,1405.4,0.3,71,22.0,7120.3
,League Total,,1135,11396,13,92,10.0,1919,42163,9,97,22.0,213609
,Avg Tm/G,,2.4,23.7,0.0,,10.0,4.0,87.8,0.0,,22.0,445.0
