Rk,Tm,G,Ret,Yds,TD,Lng,Y/R,Rt,Yds,TD,Lng,Y/Rt,APYd
1,Pittsburgh Steelers,16,39,373,1,40,9.6,67,1314,0,54,19.6,6700
2,Green Bay Packers,16,41,396,0,62,9.7,60,1197,1,82,20.0,6214
3,Philadelphia Eagles,16,53,416,0,40,7.8,47,764,0,33,16.3,5800
4,Tampa Bay Buccaneers,16,39,361,0,33,9.3,60,1047,0,43,17.5,5787
5,Seattle Seahawks,16,38,325,1,59,8.6,60,1280,0,55,21.3,6404
6,Cincinnati Bengals,16,29,280,1,78,9.7,69,1225,0,63,17.8,6767
7,Los Angeles Rams,16,37,320,0,29,8.6,59,1070,0,48,18.1,6302
8,Washington Redskins,16,46,610,2,69,13.3,49,926,0,46,18.9,7371
9,New Orleans Saints,16,44,317,0,52,7.2,50,879,0,34,17.6,6286
10,Phoenix Cardinals,16,41,307,0,19,7.5,52,972,0,39,18.7,5759
11,San Francisco 49ers,16,42,320,0,24,7.6,50,1028,1,98,20.6,7516
12,Chicago Bears,16,47,340,0,37,7.2,45,763,0,31,17.0,6371
13,San Diego Chargers,16,33,328,0,48,9.9,55,1171,1,95,21.3,6761
14,Atlanta Falcons,16,35,286,0,23,8.2,52,997,1,100,19.2,6761
15,New England Patriots,16,31,211,0,39,6.8,56,1108,1,99,19.8,6198
16,Cleveland Browns,16,31,251,0,30,8.1,55,888,0,36,16.1,6086
17,New York Giants,16,36,336,1,70,9.3,50,917,0,51,18.3,6317
18,Detroit Lions,16,26,385,1,78,14.8,57,1170,0,71,20.5,6502
19,Houston Oilers,16,36,244,0,29,6.8,46,835,0,41,18.2,7357
20,Kansas City Chiefs,16,34,258,0,25,7.6,48,978,0,76,20.4,6861
21,Indianapolis Colts,16,27,171,0,22,6.3,55,1061,1,88,19.3,5483
22,New York Jets,16,23,157,0,25,6.8,58,1003,0,53,17.3,6760
23,Los Angeles Raiders,16,29,330,1,75,11.4,52,928,0,37,17.8,5948
24,Dallas Cowboys,16,29,309,1,85,10.7,52,1127,1,102,21.7,6862
25,Miami Dolphins,16,30,258,0,32,8.6,50,890,0,49,17.8,6570
26,Denver Broncos,16,41,284,0,20,6.9,37,687,0,55,18.6,6325
27,Buffalo Bills,16,26,281,0,59,10.8,52,970,1,91,18.7,7780
28,Minnesota Vikings,16,30,225,0,44,7.5,44,899,0,50,20.4,6336
,Avg Team,,35.5,310.0,0.3,45,8.7,53.1,1003.4,0.3,61,18.9,6506.6
,League Total,,993,8679,9,85,8.7,1487,28094,8,102,18.9,182184
,Avg Tm/G,,2.2,19.4,0.0,,8.7,3.3,62.7,0.0,,18.9,406.7
