Rk,Tm,G,Ret,Yds,TD,Lng,Y/R,Rt,Yds,TD,Lng,Y/Rt,APYd
1,Detroit Lions,16,28,233,0,43,8.3,96,2050,0,87,21.4,7433
2,Chicago Bears,16,39,330,1,49,8.5,80,1999,1,102,25.0,7537
3,St. Louis Rams,16,37,395,0,56,10.7,76,1764,0,58,23.2,6910
4,Kansas City Chiefs,16,32,209,0,19,6.5,77,1666,1,97,21.6,6919
5,Houston Texans,16,45,449,0,62,10.0,64,1449,1,95,22.6,8249
6,Miami Dolphins,16,33,237,0,22,7.2,75,1739,2,101,23.2,7623
7,Cleveland Browns,16,39,456,1,67,11.7,69,1670,3,103,24.2,6449
8,New York Giants,16,36,393,1,79,10.9,71,1482,0,68,20.9,8031
9,Seattle Seahawks,16,46,346,0,29,7.5,60,1316,0,46,21.9,7114
10,Minnesota Vikings,16,48,455,0,36,9.5,56,1297,2,101,23.2,8117
11,Cincinnati Bengals,16,40,474,0,60,11.9,62,1356,1,96,21.9,7087
12,Oakland Raiders,16,36,177,0,19,4.9,66,1199,0,60,18.2,5953
13,Tampa Bay Buccaneers,16,40,462,1,77,11.6,62,1630,1,97,26.3,6898
14,Pittsburgh Steelers,16,36,290,0,25,8.1,66,1581,0,83,24.0,8242
15,Tennessee Titans,16,33,220,0,18,6.7,69,1417,0,56,20.5,7300
16,San Francisco 49ers,16,49,216,0,18,4.4,52,1135,0,76,21.8,6283
17,Denver Broncos,16,44,419,1,71,9.5,57,1217,1,93,21.4,7387
18,Arizona Cardinals,16,45,308,0,64,6.8,54,1284,1,99,23.8,7297
19,Baltimore Ravens,16,39,290,0,34,7.4,59,1547,1,95,26.2,7690
20,Washington Redskins,16,32,152,0,43,4.8,65,1413,0,42,21.7,6861
21,Buffalo Bills,16,33,218,0,31,6.6,64,1517,0,71,23.7,6402
22,New York Jets,16,50,457,0,37,9.1,44,1074,1,106,24.4,6969
23,Philadelphia Eagles,16,35,471,2,85,13.5,58,1191,0,63,20.5,7740
24,Jacksonville Jaguars,16,27,233,0,44,8.6,66,1492,0,43,22.6,7361
25,New England Patriots,16,38,432,0,69,11.4,54,1226,0,52,22.7,8119
26,New Orleans Saints,16,33,152,0,23,4.6,57,1393,1,97,24.4,8205
27,San Diego Chargers,16,26,183,1,77,7.0,63,1442,0,66,22.9,7638
28,Green Bay Packers,16,34,236,0,45,6.9,54,1193,0,54,22.1,7852
29,Dallas Cowboys,16,39,426,2,82,10.9,47,1032,0,41,22.0,8054
30,Carolina Panthers,16,34,282,0,37,8.3,51,1015,0,55,19.9,6869
31,Indianapolis Colts,16,29,151,0,22,5.2,55,1219,1,93,22.2,7295
32,Atlanta Falcons,16,27,270,0,28,10.0,55,1336,0,62,24.3,7249
,Avg Team,,36.9,313.2,0.3,46,8.5,62.6,1416.9,0.6,77,22.6,7347.9
,League Total,,1182,10022,10,85,8.5,2004,45341,18,106,22.6,235133
,Avg Tm/G,,2.3,19.6,0.0,,8.5,3.9,88.6,0.0,,22.6,459.2
