Rk,Tm,G,Ret,Yds,TD,Lng,Y/R,Rt,Yds,TD,Lng,Y/Rt,APYd
1,Los Angeles Raiders,16,56,484,1,70,8.6,64,1252,0,59,19.6,7503
2,St. Louis Cardinals,16,45,528,2,71,11.7,70,1548,0,53,22.1,7003
3,Washington Redskins,16,51,550,0,44,10.8,60,1175,0,37,19.6,7574
4,Detroit Lions,16,43,420,1,81,9.8,67,1321,0,54,19.7,6617
5,Green Bay Packers,16,33,316,1,83,9.6,76,1470,0,57,19.3,7076
6,Indianapolis Colts,16,35,250,0,25,7.1,74,1443,0,37,19.5,6839
7,Chicago Bears,16,57,482,0,35,8.5,50,1115,2,91,22.3,7180
8,Miami Dolphins,16,40,297,1,71,7.4,65,1185,0,41,18.2,7923
9,Dallas Cowboys,16,46,252,0,28,5.5,59,1208,0,56,20.5,7469
10,Cleveland Browns,16,41,350,1,84,8.5,62,1213,1,100,19.6,7215
11,Seattle Seahawks,16,39,457,1,75,11.7,64,1322,0,46,20.7,7504
12,San Diego Chargers,16,37,334,0,30,9.0,65,1137,0,35,17.5,7114
13,Pittsburgh Steelers,16,36,310,0,41,8.6,66,1304,0,64,19.8,6596
14,Houston Oilers,16,43,341,0,25,7.9,59,1139,0,48,19.3,7128
15,New York Jets,16,39,341,0,28,8.7,63,1189,2,96,18.9,7359
16,New Orleans Saints,16,47,377,0,39,8.0,55,1332,1,101,24.2,6707
17,Denver Broncos,16,48,552,2,70,11.5,53,1094,0,42,20.6,7133
18,Tampa Bay Buccaneers,16,26,110,0,12,4.2,75,1302,0,33,17.4,6182
19,Los Angeles Rams,16,42,361,0,32,8.6,59,1160,0,55,19.7,6460
20,New England Patriots,16,42,396,1,59,9.4,58,1147,0,52,19.8,7300
21,Atlanta Falcons,16,44,292,0,30,6.6,54,1035,0,35,19.2,6996
22,Philadelphia Eagles,16,44,374,1,76,8.5,53,945,0,51,17.8,6636
23,Cincinnati Bengals,16,29,235,0,25,8.1,63,1389,0,94,22.0,8296
24,Kansas City Chiefs,16,35,265,0,48,7.6,56,1117,1,97,19.9,5973
25,New York Giants,16,41,287,0,22,7.0,50,868,0,30,17.4,6908
26,Minnesota Vikings,16,31,215,0,15,6.9,56,1200,0,43,21.4,7322
27,Buffalo Bills,16,32,247,1,49,7.7,55,1074,0,49,19.5,6766
28,San Francisco 49ers,16,43,397,1,76,9.2,42,757,0,34,18.0,7455
,Avg Team,,40.9,350.7,0.5,48,8.6,60.5,1194.3,0.3,57,19.8,7079.8
,League Total,,1145,9820,14,84,8.6,1693,33441,7,101,19.8,198234
,Avg Tm/G,,2.6,21.9,0.0,,8.6,3.8,74.6,0.0,,19.8,442.5
