Rk,Tm,G,Ret,Yds,TD,Lng,Y/R,Rt,Yds,TD,Lng,Y/Rt,APYd
1,Oakland Raiders,16,52,380,1,52,7.3,71,1411,0,47,19.9,7302
2,Cleveland Browns,16,50,369,0,40,7.4,72,1537,0,48,21.3,8156
3,New York Giants,16,64,502,0,55,7.8,57,1120,0,41,19.6,6344
4,St. Louis Cardinals,16,43,453,1,50,10.5,75,1625,0,67,21.7,7560
5,Los Angeles Rams,16,49,676,3,84,13.8,68,1244,0,50,18.3,7202
6,Washington Redskins,16,49,507,2,75,10.3,67,1673,0,84,25.0,8095
7,Houston Oilers,16,41,325,0,40,7.9,72,1722,2,96,23.9,6888
8,Detroit Lions,16,52,450,1,45,8.7,61,1164,0,36,19.1,7888
9,Atlanta Falcons,16,50,383,0,53,7.7,62,1419,0,52,22.9,7892
10,New Orleans Saints,16,41,426,0,36,10.4,70,1523,0,57,21.8,7100
11,Chicago Bears,16,45,518,1,88,11.5,64,1214,0,56,19.0,6673
12,New York Jets,16,50,337,0,46,6.7,58,1151,0,42,19.8,7119
13,Minnesota Vikings,16,39,303,0,18,7.8,67,1328,1,99,19.8,7794
14,Pittsburgh Steelers,16,50,412,0,33,8.2,53,1096,0,35,20.7,7341
15,Kansas City Chiefs,16,50,528,0,62,10.6,52,1043,0,48,20.1,7377
16,San Diego Chargers,16,31,378,0,42,12.2,70,1422,0,47,20.3,8696
17,Seattle Seahawks,16,32,293,0,34,9.2,69,1278,0,36,18.5,6994
18,Philadelphia Eagles,16,58,422,0,52,7.3,43,832,0,43,19.3,7072
19,Miami Dolphins,16,45,458,1,87,10.2,54,1228,1,90,22.7,7263
20,Denver Broncos,16,51,441,0,39,8.6,47,801,0,31,17.0,7135
21,Dallas Cowboys,16,45,235,0,17,5.2,53,981,0,33,18.5,7355
22,Green Bay Packers,16,40,306,1,94,7.7,58,1066,0,52,18.4,6682
23,Baltimore Colts,16,12,56,0,11,4.7,84,1651,0,46,19.7,6949
24,New England Patriots,16,31,199,0,26,6.4,65,1190,0,32,18.3,7369
25,San Francisco 49ers,16,48,344,0,39,7.2,45,909,1,92,20.2,7043
26,Buffalo Bills,16,35,292,0,25,8.3,57,1085,0,36,19.0,7205
27,Tampa Bay Buccaneers,16,38,244,0,56,6.4,46,912,0,40,19.8,6444
28,Cincinnati Bengals,16,29,205,0,34,7.1,49,1056,0,78,21.6,7457
,Avg Team,,43.6,372.9,0.4,48,8.6,61.0,1238.6,0.2,54,20.3,7299.8
,League Total,,1220,10442,11,94,8.6,1709,34681,5,99,20.3,204395
,Avg Tm/G,,2.7,23.3,0.0,,8.6,3.8,77.4,0.0,,20.3,456.2
