Rk,Tm,G,Ret,Yds,TD,Lng,Y/R,Rt,Yds,TD,Lng,Y/Rt,APYd
1,Arizona Cardinals,16,50,383,0,32,7.7,76,1719,0,90,22.6,7954
2,Philadelphia Eagles,16,53,448,0,44,8.5,71,1578,0,53,22.2,7451
3,New Orleans Saints,16,46,320,0,42,7.0,75,1516,0,46,20.2,7140
4,Green Bay Packers,16,45,381,1,85,8.5,75,1418,0,57,18.9,7112
5,Oakland Raiders,16,37,206,0,34,5.6,80,1832,0,62,22.9,7284
6,Tennessee Titans,16,45,418,1,52,9.3,70,1697,0,85,24.2,7539
7,Houston Texans,16,30,223,0,37,7.4,84,2173,2,99,25.9,6859
8,Minnesota Vikings,16,41,344,1,71,8.4,71,1549,1,86,21.8,6825
9,New York Giants,16,49,453,1,58,9.2,63,1529,1,95,24.3,8014
10,Kansas City Chiefs,16,43,293,0,52,6.8,68,1591,1,96,23.4,8352
11,Miami Dolphins,16,43,390,0,47,9.1,68,1501,0,46,22.1,7295
12,Tampa Bay Buccaneers,16,51,492,0,31,9.6,59,1148,0,37,19.5,6725
13,New England Patriots,16,40,314,0,29,7.9,70,1555,0,65,22.2,7724
14,Dallas Cowboys,16,45,284,0,26,6.3,64,1523,0,49,23.8,7400
15,San Francisco 49ers,16,28,212,1,75,7.6,81,1540,0,40,19.0,5694
16,Detroit Lions,16,36,274,0,49,7.6,73,1576,0,73,21.6,6443
17,San Diego Chargers,16,39,245,0,23,6.3,69,1667,0,60,24.2,7756
18,New York Jets,16,34,219,0,18,6.4,71,1728,1,95,24.3,6324
19,Cleveland Browns,16,37,373,1,62,10.1,68,1506,1,90,22.1,6710
20,St. Louis Rams,16,30,175,0,17,5.8,74,1580,1,99,21.4,7631
21,Buffalo Bills,16,28,279,0,43,10.0,75,1992,1,99,26.6,6745
22,Jacksonville Jaguars,16,53,415,0,24,7.8,50,1197,1,91,23.9,6923
23,Pittsburgh Steelers,16,46,470,2,81,10.2,56,1208,0,74,21.6,7116
24,Atlanta Falcons,16,31,261,0,29,8.4,70,1482,0,47,21.2,7317
25,Chicago Bears,16,46,417,1,73,9.1,55,1092,0,40,19.9,5845
26,Baltimore Ravens,16,39,431,0,51,11.1,60,1289,0,87,21.5,6776
27,Cincinnati Bengals,16,28,157,0,13,5.6,67,1580,0,94,23.6,7661
28,Carolina Panthers,16,41,444,0,76,10.8,53,1083,0,60,20.4,6769
29,Seattle Seahawks,16,31,177,0,24,5.7,61,1347,0,53,22.1,7656
30,Washington Redskins,16,30,180,0,18,6.0,62,1438,2,94,23.2,7172
31,Denver Broncos,16,33,281,0,52,8.5,47,975,0,36,20.7,7167
32,Indianapolis Colts,16,24,182,0,29,7.6,51,1017,0,39,19.9,7216
,Avg Team,,39.1,316.9,0.3,44,8.1,66.8,1488.3,0.4,70,22.3,7143.6
,League Total,,1252,10141,9,85,8.1,2137,47626,12,99,22.3,228595
,Avg Tm/G,,2.4,19.8,0.0,,8.1,4.2,93.0,0.0,,22.3,446.5
