Rk,Tm,G,Ret,Yds,TD,Lng,Y/R,Rt,Yds,TD,Lng,Y/Rt,APYd
1,Cincinnati Bengals,16,48,321,0,36,6.7,61,1211,0,45,19.9,5849
2,Green Bay Packers,16,45,404,0,39,9.0,60,1483,1,95,24.7,6870
3,New Orleans Saints,16,38,517,2,83,13.6,62,1460,1,99,23.5,7044
4,Cleveland Browns,16,42,563,3,91,13.4,58,1119,0,47,19.3,6723
5,Pittsburgh Steelers,16,47,353,0,39,7.5,52,878,0,44,16.9,6897
6,New England Patriots,16,51,462,0,30,9.1,47,819,0,44,17.4,6444
7,Tampa Bay Buccaneers,16,38,311,0,35,8.2,58,922,0,42,15.9,5825
8,Washington Redskins,16,35,245,0,48,7.0,59,1166,0,68,19.8,6017
9,Minnesota Vikings,16,39,280,0,50,7.2,55,1086,0,47,19.7,6359
10,Detroit Lions,16,40,349,0,53,8.7,52,1204,1,95,23.2,6550
11,Los Angeles Raiders,16,40,465,1,74,11.6,52,1061,0,66,20.4,6837
12,Phoenix Cardinals,16,47,384,1,58,8.2,45,951,0,48,21.1,6835
13,Atlanta Falcons,16,35,276,0,51,7.9,55,1300,1,97,23.6,6964
14,Indianapolis Colts,16,30,173,0,24,5.8,57,1124,0,38,19.7,6253
15,Philadelphia Eagles,16,33,284,0,25,8.6,54,987,0,36,18.3,6524
16,Seattle Seahawks,16,33,280,0,33,8.5,50,931,0,46,18.6,6116
17,Kansas City Chiefs,16,37,348,0,30,9.4,45,875,0,47,19.4,6384
18,San Diego Chargers,16,34,412,0,54,12.1,47,901,0,60,19.2,6549
19,Denver Broncos,16,41,425,0,54,10.4,39,717,0,49,18.4,6872
20,Chicago Bears,16,35,289,0,28,8.3,45,811,0,55,18.0,5089
21,Buffalo Bills,16,33,277,1,47,8.4,45,746,0,28,16.6,6588
22,New York Jets,16,31,256,0,20,8.3,46,675,0,28,14.7,6325
23,Miami Dolphins,16,28,326,2,72,11.6,49,1068,0,48,21.8,7394
24,San Francisco 49ers,16,35,411,1,72,11.7,40,715,0,60,17.9,7795
25,Dallas Cowboys,16,37,381,2,64,10.3,36,758,0,49,21.1,6931
26,Houston Oilers,16,41,275,0,18,6.7,31,589,0,37,19.0,6979
27,Los Angeles Rams,16,19,102,0,13,5.4,49,824,0,35,16.8,6022
28,New York Giants,16,32,331,1,75,10.3,32,507,0,35,15.8,6211
,Avg Team,,37.3,339.3,0.5,47,9.1,49.3,960.3,0.1,53,19.5,6544.5
,League Total,,1044,9500,14,91,9.1,1381,26888,4,99,19.5,183246
,Avg Tm/G,,2.3,21.2,0.0,,9.1,3.1,60.0,0.0,,19.5,409.0
