Rk,Tm,G,Ret,Yds,TD,Lng,Y/R,Rt,Yds,TD,Lng,Y/Rt,APYd
1,San Francisco 49ers,16,56,483,0,51,8.6,73,1702,0,55,23.3,6376
2,Oakland Raiders,16,38,209,0,54,5.5,78,1686,0,43,21.6,6857
3,Arizona Cardinals,16,42,395,1,73,9.4,74,1682,0,59,22.7,7741
4,Philadelphia Eagles,16,42,340,0,32,8.1,71,1539,0,35,21.7,7858
5,St. Louis Rams,16,30,357,1,85,11.9,82,1938,0,84,23.6,7404
6,Seattle Seahawks,16,58,658,1,94,11.3,53,1173,2,91,22.1,7629
7,Chicago Bears,16,44,651,4,89,14.8,67,1234,2,97,18.4,7222
8,Green Bay Packers,16,48,492,2,94,10.3,62,1349,0,67,21.8,7925
9,New York Giants,16,43,319,0,27,7.4,66,1579,1,74,23.9,7521
10,Atlanta Falcons,16,36,228,0,23,6.3,72,1781,0,76,24.7,7155
11,Kansas City Chiefs,16,40,302,0,22,7.6,67,1286,0,39,19.2,6402
12,Houston Texans,16,33,287,0,74,8.7,74,1961,4,104,26.5,7826
13,Washington Redskins,16,40,299,0,62,7.5,65,1544,0,80,23.8,7320
14,Miami Dolphins,16,24,230,1,87,9.6,78,1552,0,52,19.9,6671
15,Cleveland Browns,16,30,405,1,76,13.5,72,1943,2,100,27.0,8098
16,Buffalo Bills,16,31,476,1,74,15.4,70,1448,1,103,20.7,6540
17,Baltimore Ravens,16,35,338,2,75,9.7,65,1525,1,94,23.5,6962
18,Cincinnati Bengals,16,27,131,0,19,4.9,73,1684,1,100,23.1,7648
19,Tampa Bay Buccaneers,16,50,334,0,35,6.7,48,1119,1,90,23.3,6940
20,New Orleans Saints,16,24,197,0,48,8.2,71,1513,0,64,21.3,7672
21,New York Jets,16,20,183,0,33,9.2,74,1695,3,98,22.9,6912
22,Tennessee Titans,16,42,367,0,39,8.7,52,1098,0,48,21.1,6632
23,Carolina Panthers,16,32,269,0,34,8.4,60,1146,0,60,19.1,6183
24,Pittsburgh Steelers,16,39,238,0,49,6.1,52,1145,1,98,22.0,6971
25,Detroit Lions,16,18,148,0,18,8.2,72,1628,1,74,22.6,7315
26,New England Patriots,16,33,311,0,35,9.4,55,1384,2,108,25.2,8462
27,Minnesota Vikings,16,29,242,0,42,8.3,59,1461,1,104,24.8,7369
28,Dallas Cowboys,16,26,227,0,49,8.7,61,1358,0,72,22.3,7647
29,Jacksonville Jaguars,16,32,324,0,56,10.1,49,1110,1,100,22.7,7387
30,Denver Broncos,16,23,209,1,80,9.1,58,1293,0,35,22.3,7254
31,San Diego Chargers,16,32,281,1,45,8.8,48,1224,1,89,25.5,6747
32,Indianapolis Colts,16,25,280,1,90,11.2,53,1157,0,47,21.8,7389
,Avg Team,,35.1,319.1,0.5,55,9.1,64.8,1466.8,0.8,76,22.6,7251.1
,League Total,,1122,10210,17,94,9.1,2074,46937,25,108,22.6,232035
,Avg Tm/G,,2.2,19.9,0.0,,9.1,4.1,91.7,0.0,,22.6,453.2
