Rk,Tm,G,Ret,Yds,TD,Lng,Y/R,Rt,Yds,TD,Lng,Y/Rt,APYd
1,Los Angeles Raiders,16,71,785,0,32,11.1,54,1132,0,57,21.0,7634
2,St. Louis Cardinals,16,40,393,0,31,9.8,78,1421,0,35,18.2,7368
3,Pittsburgh Steelers,16,49,483,2,71,9.9,65,1337,0,40,20.6,7408
4,Seattle Seahawks,16,53,483,0,32,9.1,58,1166,0,58,20.1,7211
5,Indianapolis Colts,16,42,449,1,70,10.7,67,1403,0,48,20.9,7183
6,Washington Redskins,16,47,508,0,37,10.8,60,1349,0,95,22.5,7620
7,Buffalo Bills,16,38,293,0,30,7.7,68,1334,0,39,19.6,6623
8,Detroit Lions,16,38,403,1,63,10.6,68,1494,0,54,22.0,6768
9,Tampa Bay Buccaneers,16,25,229,0,29,9.2,80,1622,0,58,20.3,6930
10,Green Bay Packers,16,38,370,0,46,9.7,67,1318,0,48,19.7,7460
11,New York Giants,16,53,442,0,37,8.3,50,866,0,43,17.3,7594
12,Atlanta Falcons,16,31,223,0,23,7.2,72,1406,1,94,19.5,7169
13,Dallas Cowboys,16,40,237,0,28,5.9,62,1210,0,34,19.5,7439
14,Kansas City Chiefs,16,43,381,0,57,8.9,59,1117,0,40,18.9,6692
15,New Orleans Saints,16,30,215,0,17,7.2,71,1547,0,69,21.8,6741
16,Philadelphia Eagles,16,45,393,0,56,8.7,56,1160,0,51,20.7,7256
17,Cleveland Browns,16,47,371,1,37,7.9,53,1217,0,81,23.0,6741
18,New England Patriots,16,42,530,2,85,12.6,57,1119,0,53,19.6,7497
19,Cincinnati Bengals,16,32,268,0,26,8.4,67,1385,0,45,20.7,7982
20,Denver Broncos,16,46,429,0,38,9.3,52,1203,0,39,23.1,7413
21,Chicago Bears,16,54,503,0,47,9.3,43,1089,2,99,25.3,7722
22,Houston Oilers,16,30,250,0,23,8.3,67,1515,0,52,22.6,6868
23,San Francisco 49ers,16,38,258,0,22,6.8,58,1269,1,95,21.9,7839
24,San Diego Chargers,16,25,213,0,24,8.5,71,1494,1,98,21.0,8551
25,Los Angeles Rams,16,38,501,1,80,13.2,56,1394,3,98,24.9,6843
26,Minnesota Vikings,16,25,250,0,41,10.0,68,1576,0,88,23.2,7346
27,New York Jets,16,39,386,0,46,9.9,53,1043,0,58,19.7,7784
28,Miami Dolphins,16,39,319,0,21,8.2,52,1177,0,46,22.6,7515
,Avg Team,,40.6,377.3,0.3,41,9.3,61.9,1298.7,0.3,61,21.0,7328.5
,League Total,,1138,10565,8,85,9.3,1732,36363,8,99,21.0,205197
,Avg Tm/G,,2.5,23.6,0.0,,9.3,3.9,81.2,0.0,,21.0,458.0
