Rk,Tm,G,Ret,Yds,TD,Lng,Y/R,Rt,Yds,TD,Lng,Y/Rt,APYd
1,St. Louis Cardinals,16,58,461,0,34,7.9,72,1459,0,66,20.3,7628
2,New York Giants,16,55,377,0,27,6.9,71,1333,0,54,18.8,7410
3,Dallas Cowboys,16,51,461,1,68,9.0,71,1351,0,53,19.0,8104
4,Green Bay Packers,16,41,329,1,90,8.0,79,1339,0,57,16.9,8235
5,Los Angeles Raiders,16,58,666,1,97,11.5,61,1175,0,48,19.3,8062
6,Chicago Bears,16,56,447,1,59,8.0,58,953,0,38,16.4,7633
7,Atlanta Falcons,16,46,489,1,71,10.6,67,1258,0,35,18.8,7896
8,Washington Redskins,16,49,387,0,42,7.9,63,1301,0,50,20.7,8137
9,Tampa Bay Buccaneers,16,42,299,0,17,7.1,68,1314,0,50,19.3,6525
10,Pittsburgh Steelers,16,51,421,0,57,8.3,59,1068,0,35,18.1,7034
11,Buffalo Bills,16,44,241,0,24,5.5,64,1363,0,60,21.3,6903
12,Philadelphia Eagles,16,45,259,0,23,5.8,62,1168,0,52,18.8,6405
13,Detroit Lions,16,46,522,1,81,11.3,61,1191,0,51,19.5,7208
14,San Diego Chargers,16,33,213,0,30,6.5,74,1377,0,41,18.6,8032
15,Los Angeles Rams,16,55,538,1,72,9.8,52,946,0,44,18.2,7163
16,Baltimore Colts,16,44,294,0,50,6.7,62,1198,0,90,19.3,6943
17,Cleveland Browns,16,42,310,0,19,7.4,63,1290,0,38,20.5,7474
18,Seattle Seahawks,16,34,366,1,75,10.8,71,1575,1,94,22.2,7494
19,New Orleans Saints,16,39,275,0,30,7.1,66,1339,0,61,20.3,6861
20,New York Jets,16,38,420,1,76,11.1,66,1375,0,64,20.8,7632
21,Houston Oilers,16,20,159,0,23,8.0,83,1676,2,97,20.2,7123
22,Cincinnati Bengals,16,49,410,0,43,8.4,54,1097,0,49,20.3,7180
23,Miami Dolphins,16,55,581,1,62,10.6,47,1085,0,78,23.1,7060
24,New England Patriots,16,44,399,0,55,9.1,57,1155,0,53,20.3,7229
25,Kansas City Chiefs,16,40,291,0,19,7.3,54,929,0,46,17.2,7272
26,Denver Broncos,16,38,420,1,70,11.1,56,1077,0,42,19.2,6825
27,Minnesota Vikings,16,24,210,0,34,8.8,68,1466,0,50,21.6,7110
28,San Francisco 49ers,16,36,365,1,56,10.1,52,958,0,46,18.4,7606
,Avg Team,,44.0,378.9,0.4,50,8.6,63.6,1243.4,0.1,55,19.5,7363.7
,League Total,,1233,10610,12,97,8.6,1781,34816,3,97,19.5,206184
,Avg Tm/G,,2.8,23.7,0.0,,8.6,4.0,77.7,0.0,,19.5,460.2
