Tm,#Dr_Defense,Plays/Drive_Defense,Yds/Drive_Defense,AvgStartingPosition_Defense,AvgDriveTime_Defense,Pts/Drive_Defense
Washington Redskins,148.0,5.6,27.8,33.8,156.0,2.03
New York Giants,155.0,5.6,26.2,30.3,155.0,1.32
Atlanta Falcons,159.0,5.5,28.1,26.2,148.0,1.56
St. Louis Rams,162.0,5.0,22.8,32.6,142.0,1.61
Tennessee Oilers,163.0,5.6,28.8,30.3,155.0,1.71
Carolina Panthers,168.0,5.4,30.8,30.6,156.0,2.17
Baltimore Ravens,172.0,5.7,28.8,30.7,163.0,1.62
Pittsburgh Steelers,173.0,5.4,25.3,28.4,147.0,1.32
Indianapolis Colts,174.0,5.7,30.9,31.7,164.0,2.16
Cincinnati Bengals,180.0,5.7,31.9,33.0,167.0,2.16
Chicago Bears,183.0,5.3,26.9,32.1,156.0,1.92
Tampa Bay Buccaneers,185.0,5.0,23.1,30.7,142.0,1.43
Buffalo Bills,185.0,5.2,24.5,30.2,146.0,1.69
Kansas City Chiefs,186.0,5.4,25.3,32.2,152.0,1.74
Dallas Cowboys,189.0,5.4,27.8,25.7,145.0,1.46
Detroit Lions,190.0,5.4,26.6,31.7,154.0,1.79
Philadelphia Eagles,192.0,5.4,26.3,32.5,153.0,1.65
Oakland Raiders,193.0,5.1,22.0,33.1,144.0,1.37
New Orleans Saints,193.0,5.6,29.1,31.6,159.0,1.75
Green Bay Packers,197.0,5.4,24.3,30.2,146.0,1.57
New England Patriots,198.0,5.7,26.5,32.3,158.0,1.71
Seattle Seahawks,199.0,5.8,28.2,29.1,158.0,1.47
San Diego Chargers,200.0,4.8,20.4,35.2,129.0,1.47
Minnesota Vikings,206.0,5.6,28.3,27.7,157.0,1.48
New York Jets,209.0,5.3,24.4,31.1,140.0,1.35
Miami Dolphins,210.0,5.1,25.0,30.8,140.0,1.36
Jacksonville Jaguars,213.0,5.8,28.8,29.2,156.0,1.68
Denver Broncos,213.0,5.2,25.6,28.4,138.0,1.39
Arizona Cardinals,217.0,5.5,26.8,33.0,150.0,1.81
San Francisco 49ers,220.0,5.2,26.7,31.4,137.0,1.68
Avg Team,187.7333333333333,5.413333333333332,26.6,30.86000000000001,150.43333333333334,1.6476666666666664
