Tm,#Dr_Defense,Plays/Drive_Defense,Yds/Drive_Defense,AvgStartingPosition_Defense,AvgDriveTime_Defense,Pts/Drive_Defense
Atlanta Falcons,169.0,6.4,37.6,27.9,174.0,2.25
New Orleans Saints,171.0,6.2,35.8,26.1,171.0,2.3
Seattle Seahawks,171.0,5.5,25.0,25.7,157.0,1.39
Pittsburgh Steelers,174.0,5.6,32.4,27.5,152.0,2.09
San Francisco 49ers,175.0,5.8,29.3,25.8,160.0,1.78
Green Bay Packers,175.0,6.2,31.6,27.5,162.0,1.84
Chicago Bears,177.0,5.9,34.0,32.8,163.0,2.38
Kansas City Chiefs,178.0,6.0,29.7,27.7,162.0,1.56
San Diego Chargers,179.0,5.7,30.2,28.5,157.0,1.88
Minnesota Vikings,179.0,5.9,30.6,28.2,169.0,1.83
Carolina Panthers,179.0,5.7,30.3,27.6,154.0,1.89
Dallas Cowboys,179.0,5.6,31.7,26.9,150.0,1.83
Baltimore Ravens,180.0,5.9,29.8,27.3,162.0,1.67
Miami Dolphins,180.0,5.9,30.3,29.5,159.0,1.99
Detroit Lions,182.0,5.5,26.3,26.1,149.0,1.49
St. Louis Rams,182.0,5.7,30.8,25.6,162.0,1.57
Washington Redskins,182.0,5.5,31.2,30.0,156.0,2.13
New England Patriots,182.0,5.9,30.2,25.5,160.0,1.63
New York Jets,183.0,5.5,28.4,28.5,154.0,2.03
Cincinnati Bengals,184.0,6.0,31.1,26.2,159.0,1.72
Tampa Bay Buccaneers,185.0,6.0,31.8,31.2,172.0,2.1
Arizona Cardinals,188.0,5.5,31.3,26.0,154.0,1.55
Tennessee Titans,191.0,6.0,31.2,29.9,163.0,2.17
Jacksonville Jaguars,193.0,5.8,30.7,29.8,163.0,1.9
Denver Broncos,195.0,5.4,24.9,28.3,146.0,1.72
New York Giants,195.0,5.3,30.8,28.5,144.0,1.88
Oakland Raiders,197.0,5.5,29.1,32.9,154.0,2.12
Cleveland Browns,198.0,5.8,29.3,27.5,154.0,1.68
Buffalo Bills,198.0,5.4,25.2,26.9,148.0,1.37
Houston Texans,199.0,5.5,27.8,27.6,142.0,1.48
Indianapolis Colts,199.0,5.2,27.5,25.5,136.0,1.67
Philadelphia Eagles,212.0,5.4,28.2,26.4,151.0,1.76
Avg Team,184.71875,5.725000000000002,30.128125000000004,27.85625,156.84375,1.8328124999999995
